연월,감자,고구마,고추(화건),깻잎,녹두(국산),단감,당근(무세척),대파,들깨(국산),딸기,무,미나리,방울토마토,배(신고),배추,백참깨(국산),복숭아(백도),사과(후지),생강(국산),수박,시금치,애호박,양배추,양파,오이(가시),적상추,참외,콩(흰콩국산),토마토,팥(국산),포도(캠벨),풋고추
2001_1,12191.0,8348.0,224565.0,16365.0,237774.0,14214.0,9313.0,855.0,171565.0,4383.333333333334,5303.0,26191.0,6761.0,22835.0,2552.0,331500.0,4830.428571428572,20568.0,116226.0,10270.0,6067.0,21774.0,3186.0,13734.0,20007.0,8772.0,18722.666666666668,101957.0,8916.333333333332,147000.0,4490.857142857143,33783.0
2001_2,11558.0,9567.0,231208.0,12367.0,241875.0,16394.0,10258.0,645.0,173458.0,6765.666666666668,5153.0,24225.0,10367.0,27800.0,2822.0,331500.0,7659.857142857143,21428.0,148883.0,11325.0,5225.0,20407.0,2747.0,14062.0,23917.0,8510.0,35444.333333333336,95875.0,15831.666666666664,147875.0,6980.714285714284,58408.0
2001_3,11885.0,13990.0,231962.0,10785.0,242000.0,21579.0,11277.0,669.0,183885.0,9148.0,5075.0,24900.0,16808.0,34723.0,3540.0,331500.0,10489.285714285714,22354.0,141154.0,13385.0,4738.0,20689.0,2783.0,14422.0,19942.0,6909.0,52166.0,93885.0,22747.0,147154.0,9470.571428571428,60646.0
2001_4,12133.0,14367.0,230333.0,8813.0,239833.0,21671.0,13658.0,528.0,198375.0,9667.0,4433.0,17613.0,15858.0,42392.0,3890.0,331500.0,13318.714285714286,25511.0,142783.0,12792.0,6654.0,11433.0,2574.0,8752.0,13074.0,5284.0,39989.0,91575.0,19756.0,147000.0,11960.428571428569,24283.0
2001_5,22625.0,13594.0,238083.0,7533.0,238000.0,23043.4,14900.0,803.0,199125.0,6278.0,6099.0,12675.0,9150.0,40650.0,2638.0,329958.0,16148.142857142859,26867.0,144867.0,10171.0,6588.0,7940.0,2913.0,5150.0,9236.0,4828.0,21800.0,89142.0,13583.0,147000.0,14450.285714285714,22025.0
2001_6,14440.0,14021.0,272840.0,7240.0,238000.0,24415.8,26312.0,828.0,199480.0,5360.0,8610.0,10602.0,7148.0,40560.0,6023.0,329500.0,18977.571428571428,27808.0,162088.0,8196.0,8148.0,9318.0,4206.0,6573.0,9333.0,7895.0,19061.0,90544.0,11483.0,147000.0,16940.142857142855,20808.0
2001_7,12672.0,18981.0,260840.0,7896.0,238000.0,25788.2,31632.0,873.0,196960.0,5748.285714285716,14362.0,21666.0,6504.0,45880.0,6633.0,329500.0,21807.0,31925.0,178816.0,7484.0,17784.0,10899.0,3923.0,7155.0,11262.0,14480.0,14208.0,90896.0,11792.0,147000.0,19430.0,26680.0
2001_8,13726.0,12415.0,227167.0,8148.0,237630.0,27160.6,29489.0,1080.0,195926.0,6136.571428571428,13772.0,31594.0,9541.0,41807.0,7108.0,329500.0,16230.0,24919.0,205704.0,9259.0,24196.0,8566.0,5804.0,7003.0,11251.0,8335.0,14211.0,89667.0,15822.0,146926.0,9959.0,26526.0
2001_9,13856.0,9776.0,248200.0,9192.0,222640.0,28533.0,22232.0,1132.0,194000.0,6524.857142857143,9224.0,29292.0,10624.0,37371.0,6098.0,329500.0,17708.0,33850.0,168080.0,8700.0,14664.0,8365.0,6203.0,7630.0,6298.0,6405.0,13749.0,89000.0,17744.0,145240.0,8944.0,24192.0
2001_10,13750.0,9511.0,240625.0,7992.0,195500.0,19367.0,15242.0,988.0,182292.0,6913.142857142857,5862.0,29450.0,7054.0,23883.0,3797.0,329500.0,17713.5,29661.0,65733.0,7004.0,5896.0,11480.0,3901.0,8753.0,9181.0,5885.0,12931.0,89000.0,18440.0,148458.0,8958.0,16292.0
2001_11,13700.0,9456.0,234192.0,8962.0,183538.0,14226.0,9646.0,780.0,175000.0,7301.428571428572,4443.0,29337.0,7792.0,20977.0,2323.0,329500.0,17719.0,23092.0,55385.0,5888.0,5719.0,18480.0,2168.0,8969.0,16603.0,8418.0,15525.0,89000.0,17518.333333333332,147000.0,8500.0,17492.0
2001_12,14720.0,10565.0,233760.0,13280.0,182000.0,16859.0,11896.0,758.0,173400.0,7689.714285714286,4891.0,29772.0,9280.0,26184.0,3046.0,328620.0,17724.5,26661.0,63696.0,8188.0,6144.0,20563.0,1987.0,9000.0,18507.0,9350.0,18119.0,89000.0,16596.666666666668,141080.0,9449.0,22664.0
2002_1,15462.0,16392.0,233308.0,15862.0,178615.0,18964.0,11315.0,830.0,174962.0,6716.5,4631.0,27658.0,12535.0,29477.0,3125.0,326000.0,3317.5714285714284,30010.0,67692.0,10065.0,6877.0,25954.0,2001.0,9000.0,30077.0,9808.0,11539.0,89000.0,7504.5,139192.0,4715.285714285714,41738.0
2002_2,15419.0,17914.0,234810.0,13086.0,177238.0,22552.0,9857.0,730.0,176000.0,11431.0,4259.0,27029.0,11962.0,35000.0,2614.0,326000.0,4633.142857142857,36051.0,68457.0,11971.0,5395.0,24771.0,1941.0,8869.0,27730.0,6893.0,21076.0,90190.0,13007.0,138619.0,7428.571428571428,61543.0
2002_3,14472.0,16920.0,231560.0,8496.0,176000.0,22123.0,9140.0,654.0,177200.0,9675.0,3968.0,26052.0,17056.0,33880.0,2284.0,326000.0,5948.714285714286,33925.0,66120.0,10572.0,4114.0,22136.0,2213.0,7834.0,15293.0,4690.0,30613.0,91504.0,18509.5,137560.0,10141.857142857143,48504.0
2002_4,21192.0,16936.0,211520.0,8000.0,167160.0,23227.0,10504.0,616.0,176720.0,9664.0,4865.0,21618.0,16928.0,33440.0,2153.0,326000.0,7264.285714285716,34565.0,66600.0,10236.0,4804.0,16128.0,2701.0,6462.0,13107.0,4408.0,40150.0,91712.0,24012.0,135040.0,12855.142857142857,27312.0
2002_5,20768.0,18696.0,188520.0,8616.0,164296.0,23502.0,12480.0,847.0,171600.0,7827.0,7612.0,19908.0,13752.0,33632.0,3098.0,325840.0,8579.857142857143,36709.0,65832.0,10800.0,6992.0,14408.0,2449.0,5755.0,14093.0,5155.0,32144.0,99272.0,22923.0,130640.0,15568.428571428569,38232.0
2002_6,12374.0,21165.0,178000.0,6470.0,160139.0,25868.75,18017.0,753.0,166870.0,5667.0,7932.0,14707.0,9974.0,32322.0,3300.0,324000.0,9895.428571428572,35994.0,65191.0,8135.0,6800.0,7326.0,3147.0,6661.0,9580.0,5761.0,25664.0,107600.0,14736.0,130000.0,18281.714285714286,23617.0
2002_7,11168.0,21176.0,171240.0,7488.0,153080.0,28235.5,17552.0,704.0,160280.0,6165.0,7765.0,15840.0,6892.0,31448.0,3611.0,324880.0,11211.0,38683.0,64688.0,7848.0,9192.0,7620.0,2341.0,6966.0,8156.0,9790.0,15088.0,108480.0,10565.0,129440.0,20995.0,17888.0
2002_8,12131.0,15623.0,148231.0,15438.0,152000.0,30602.25,17038.0,1030.0,158769.0,6663.0,9049.0,28737.0,7562.0,30177.0,6888.0,323308.0,10620.0,40613.0,59354.0,7254.0,20546.0,16258.0,2644.0,7309.0,13077.0,22365.0,17872.0,105062.0,13426.0,125423.0,12165.0,22438.0
2002_9,13087.0,13861.0,196522.0,17870.0,156478.0,32969.0,17357.0,1563.0,155957.0,7161.0,13677.0,40591.0,12730.0,33905.0,8710.0,324870.0,14259.0,32242.5,40609.0,8378.0,18974.0,25078.0,3765.0,8529.0,15493.0,16804.0,17265.0,99739.0,19664.0,121913.0,11330.0,28922.0
2002_10,12600.0,10846.0,187154.0,11277.0,156231.0,20580.0,17862.0,1067.0,153923.0,7659.0,10367.0,35008.0,15285.0,23223.0,4942.0,337154.0,13530.25,23872.0,25108.0,7400.0,8146.0,11531.0,3826.0,9035.0,14859.0,8962.0,13819.0,100600.0,21698.0,122808.0,11238.0,21008.0
2002_11,12615.0,11162.0,180038.0,10710.0,155692.0,16410.0,18977.0,963.0,151462.0,8157.0,9472.0,36444.0,16323.0,23569.0,4062.0,354615.0,12801.5,21677.0,20200.0,7562.0,8308.0,18192.0,5025.0,9440.0,12449.0,12654.0,14202.0,103908.0,21067.0,132108.0,9860.0,46131.0
2002_12,12675.0,12475.0,177833.0,13608.0,152917.0,20955.0,19633.0,1102.0,158542.0,8655.0,12605.0,32331.0,16517.0,24492.0,6918.0,389250.0,12072.75,24872.0,21417.0,7746.0,8150.0,22950.0,8613.0,10758.0,19014.0,11708.0,18405.0,103083.0,17728.0,133892.0,11643.5,61683.0
2003_1,20039.0,13072.0,178120.0,17504.0,153960.0,21408.0,15888.0,1471.0,164880.0,7868.0,11768.0,29970.0,14128.0,25544.0,7161.0,415000.0,4467.285714285714,27819.0,30888.0,7996.0,8484.0,27920.0,9484.0,15485.0,24653.0,18430.0,15255.0,104600.0,17792.0,152160.0,5810.714285714286,46728.0
2003_2,21935.0,14026.0,185130.0,11930.0,158739.0,20180.0,14165.0,1859.0,185217.0,13733.0,11642.0,29126.0,11548.0,24165.0,7333.0,439391.0,6931.571428571428,29449.0,35904.0,9330.0,7835.0,27122.0,8665.0,21087.0,25855.0,8696.0,28507.0,108652.0,21087.0,169348.0,9618.428571428572,44287.0
2003_3,23700.0,13904.0,194280.0,13192.0,160680.0,20165.0,13288.0,2052.0,189120.0,11173.0,15418.0,29370.0,14776.0,22728.0,10429.0,448720.0,9395.857142857143,27435.0,35232.0,11024.0,5220.0,28352.0,7924.0,34746.0,20280.0,8410.0,41759.0,114960.0,24600.0,178640.0,13426.142857142857,57648.0
2003_4,25928.0,18128.0,187960.0,8400.0,165000.0,20896.0,15760.0,1501.0,187880.0,9814.0,15897.0,22038.0,14808.0,22192.0,9860.0,448200.0,11860.142857142857,27536.0,33912.0,11556.0,4832.0,17040.0,6156.0,31607.0,12493.0,6347.0,44299.0,122640.0,20832.0,196560.0,17233.857142857145,26288.0
2003_5,22000.0,26575.0,189083.0,7513.0,167417.0,22958.6,17592.0,1411.0,186958.0,6944.0,10227.0,14675.0,11075.0,22917.0,6524.0,446000.0,14324.428571428569,25928.0,39358.0,9863.0,5629.0,10954.0,4850.0,13972.0,8917.0,7922.0,28283.0,124750.0,18475.0,201500.0,21041.571428571428,31558.0
2003_6,15425.0,36817.0,200292.0,5904.0,169000.0,25021.2,24092.0,937.0,189083.0,8354.714285714286,5522.0,14350.0,8056.0,25375.0,3608.0,438917.0,16788.714285714286,25595.0,46742.0,7975.0,6700.0,9263.0,2550.0,10373.0,9167.0,6922.0,21662.0,128200.0,13750.0,203917.0,24849.285714285717,22725.0
