구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,19495.0,22182.0,24891.0,23526.0,20250.0,13258.0,11003.0,11713.0,12305.0,11006.0,10259.0,12861.0,15831.0
1997,15306.0,16455.0,14360.0,14446.0,14950.0,10459.0,8359.0,10393.0,11286.0,12764.0,16640.0,22464.0,13969.0
1998,23292.0,24330.0,25173.0,31683.0,24546.0,12528.0,11753.0,14845.0,15882.0,20604.0,21358.0,22668.0,20738.0
1999,26387.0,28114.0,28128.0,39867.0,28087.0,11823.0,11288.0,12769.0,13026.0,15146.0,15992.0,15462.0,20191.0
2000,15096.0,14861.0,13538.0,9461.0,9142.0,11216.0,9358.0,10388.0,12374.0,11283.0,11100.0,11936.0,11652.0
2001,12191.0,11558.0,11885.0,12133.0,22625.0,14440.0,12672.0,13726.0,13856.0,13750.0,13700.0,14720.0,13926.0
2002,15462.0,15419.0,14472.0,21192.0,20768.0,12374.0,11168.0,12131.0,13087.0,12600.0,12615.0,12675.0,14497.0
2003,20039.0,21935.0,23700.0,25928.0,22000.0,15425.0,15859.0,18644.0,23774.0,28077.0,34474.0,39600.0,24194.0
2004,39683.0,49296.0,52431.0,47192.0,27213.0,16738.0,15535.0,20522.0,24937.0,26781.0,24273.0,23538.0,31148.0
2005,24771.0,27512.0,25982.0,26181.0,25177.0,12338.0,10014.0,12958.0,12909.0,11457.0,10833.0,13397.0,17527.0
2006,13859.0,13330.0,12950.0,22940.0,22485.0,13156.0,11497.0,17855.0,21955.0,22042.0,20752.0,25625.0,18129.0
2007,25682.0,26147.0,21357.0,21156.0,19876.0,14021.0,15707.0,18145.0,19129.0,21155.0,21355.0,23442.0,20596.0
2008,32327.0,43639.0,36224.0,35914.0,35600.0,18355.0,14752.0,16290.0,16429.0,15000.0,14230.0,16089.0,24265.0
2009,22509.0,26990.0,29882.0,50027.0,40295.0,20309.0,17991.0,20133.0,21936.0,22933.0,25419.0,29895.0,27274.0
2010,37075.0,41389.0,39545.0,37445.0,36695.0,26114.0,21855.0,25773.0,26937.0,26876.0,33118.0,38430.0,32555.0
2011,47110.0,44841.0,39986.0,30971.0,19385.0,23857.0,22762.0,31336.0,34770.0,34480.0,34300.0,34948.0,33110.0
2012,35150.0,38710.0,41329.0,44690.0,54757.0,34720.0,27682.0,28345.0,30050.0,29162.0,28582.0,28947.0,35127.0
2013,35386.0,35311.0,28960.0,24159.0,20091.0,18895.0,15722.0,20276.0,23100.0,20552.0,19733.0,19571.0,23392.0
2014,24455.0,27200.0,26405.0,21786.0,23842.0,20832.0,21991.0,23200.0,22889.0,20638.0,20220.0,21200.0,22870.0
2015,29100.0,39606.0,42973.0,44000.0,51922.0,33836.0,26174.0,25500.0,24910.0,24714.0,25381.0,25495.0,32558.0
2016,28360.0,35406.0,38877.0,31020.0,37150.0,24724.0,19229.0,21709.0,25168.0,25380.0,28827.0,32486.0,28967.0
2017,44255.0,51370.0,40250.0,33110.0,49074.0,31524.0,32486.0,39855.0,41276.0,42775.0,42236.0,47011.0,41100.0
2018,53727.0,60733.0,61186.0,107705.0,63540.0,29537.0,29618.0,43464.0,46624.0,44257.0,46573.0,46158.0,52809.0
2019,44418.0,40076.0,33680.0,52418.0,42957.0,24058.0,21352.0,21005.0,21605.0,20805.0,22481.0,22660.0,30689.0
2020,23428.0,22870.0,24250.0,45820.0,47279.0,28765.0,24743.0,32806.0,35413.0,34283.0,35830.0,32948.0,32143.0
