구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,7782.0,9215.0,9869.0,10269.0,11555.0,12489.0,14887.0,11873.0,9149.0,7455.0,7625.0,8671.0,10033.0
1997,10420.0,10692.0,10486.0,11636.0,14898.0,14303.0,18165.0,12314.0,9354.0,8248.0,8606.0,9710.0,11400.0
1998,10881.0,11050.0,12949.0,16571.0,17441.0,22641.0,18045.0,11826.0,9866.0,10125.0,8802.0,9645.0,13316.0
1999,11078.0,11384.0,11429.0,11356.0,12012.0,12861.0,13893.0,11005.0,9090.0,7785.0,6915.0,7744.0,10506.0
2000,7781.0,7490.0,7252.0,7516.0,10181.0,12789.0,14022.0,10656.0,9989.0,7550.0,6851.0,7547.0,9128.0
2001,8348.0,9567.0,13990.0,14367.0,13594.0,14021.0,18981.0,12415.0,9776.0,9511.0,9456.0,10565.0,12078.0
2002,16392.0,17914.0,16920.0,16936.0,18696.0,21165.0,21176.0,15623.0,13861.0,10846.0,11162.0,12475.0,16031.0
2003,13072.0,14026.0,13904.0,18128.0,26575.0,36817.0,35338.0,19938.0,17983.0,16131.0,16936.0,18469.0,20622.0
2004,18322.0,19825.0,21538.0,25017.0,29150.0,30662.0,28500.0,18904.0,15042.0,13714.0,12964.0,12920.0,20926.0
2005,12705.0,12388.0,13864.0,15876.0,17327.0,16248.0,20000.0,15825.0,12845.0,12029.0,11035.0,12227.0,14403.0
2006,13318.0,14610.0,16173.0,18340.0,18580.0,25381.0,31870.0,20536.0,16382.0,14653.0,15286.0,16300.0,18423.0
2007,18773.0,21105.0,20171.0,21524.0,21390.0,21070.0,22295.0,18018.0,17000.0,13827.0,13827.0,14200.0,18591.0
2008,15009.0,15344.0,16143.0,21295.0,27505.0,29900.0,28078.0,19870.0,16400.0,15436.0,14920.0,15943.0,19652.0
2009,20474.0,20740.0,22464.0,26755.0,28758.0,27045.0,28296.0,23257.0,18218.0,16610.0,16867.0,18933.0,22406.0
2010,21180.0,21326.0,21209.0,22791.0,25000.0,27410.0,27500.0,29355.0,27505.0,22238.0,22818.0,24557.0,24423.0
2011,28924.0,29153.0,28600.0,30600.0,33530.0,41057.0,48762.0,35073.0,28530.0,28530.0,27018.0,29943.0,32531.0
2012,30140.0,33229.0,37124.0,45510.0,50000.0,50350.0,44018.0,34009.0,35320.0,25971.0,23500.0,24558.0,36142.0
2013,25509.0,27179.0,25320.0,21073.0,23438.0,24916.0,25017.0,29771.0,25200.0,19295.0,16629.0,17038.0,23305.0
2014,18380.0,19040.0,18952.0,19700.0,25284.0,29695.0,32417.0,28568.0,24233.0,20629.0,19880.0,20590.0,23095.0
2015,22343.0,23376.0,27855.0,28682.0,31089.0,32909.0,35878.0,30790.0,24650.0,22248.0,21686.0,22333.0,27095.0
2016,24850.0,27456.0,26864.0,29730.0,30670.0,29810.0,27486.0,29700.0,27442.0,25450.0,25073.0,24990.0,27454.0
2017,25840.0,25930.0,26000.0,26040.0,26863.0,27771.0,33410.0,33627.0,29114.0,24550.0,25332.0,28116.0,27814.0
2018,31964.0,33633.0,36392.0,38800.0,43810.0,44014.0,44736.0,41273.0,38447.0,33705.0,35100.0,37537.0,38275.0
2019,37491.0,36941.0,35130.0,35600.0,36419.0,35537.0,29035.0,27838.0,28095.0,26876.0,25067.0,25200.0,31543.0
2020,26216.0,27703.0,35593.0,41760.0,53863.0,57888.0,61063.0,55765.0,38834.0,33565.0,36263.0,39418.0,42564.0
