구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,262273.0,270244.0,272196.0,272381.0,268793.0,259737.0,243734.0,221162.0,209858.0,175398.0,155114.0,147864.0,226784.0
1997,140627.0,129519.0,128400.0,121471.0,120312.0,122710.0,125630.0,126977.0,145323.0,141546.0,138007.0,138179.0,131568.0
1998,137875.0,138306.0,137688.0,136684.0,137317.0,145301.0,149320.0,160770.0,278777.0,265685.0,267073.0,267706.0,186351.0
1999,275630.0,278000.0,275680.0,275000.0,274565.0,255385.0,218600.0,192769.0,176913.0,195923.0,211000.0,208000.0,235233.0
2000,209520.0,218739.0,220000.0,217304.0,217000.0,227480.0,221500.0,191442.0,212043.0,230708.0,227154.0,222640.0,217896.0
2001,224565.0,231208.0,231962.0,230333.0,238083.0,272840.0,260840.0,227167.0,248200.0,240625.0,234192.0,233760.0,239515.0
2002,233308.0,234810.0,231560.0,211520.0,188520.0,178000.0,171240.0,148231.0,196522.0,187154.0,180038.0,177833.0,194410.0
2003,178120.0,185130.0,194280.0,187960.0,189083.0,200292.0,208038.0,236288.0,307261.0,299385.0,301000.0,302500.0,232904.0
2004,309609.0,316792.0,322615.0,315750.0,306167.0,293731.0,292682.0,262630.0,264316.0,258143.0,262136.0,267800.0,290951.0
2005,265810.0,266059.0,271318.0,269143.0,262955.0,241857.0,238818.0,217146.0,225000.0,223476.0,224739.0,225591.0,243529.0
2006,226136.0,226825.0,226591.0,217950.0,213000.0,213476.0,217650.0,253364.0,321545.0,320053.0,318143.0,317000.0,255829.0
2007,315409.0,314000.0,310095.0,302190.0,288286.0,279100.0,270762.0,222515.0,221294.0,233045.0,235773.0,235105.0,269325.0
2008,234045.0,232000.0,237143.0,231476.0,221211.0,234700.0,252217.0,261996.0,289619.0,292455.0,291000.0,290702.0,256229.0
2009,286368.0,284400.0,284000.0,282261.0,282947.0,296455.0,298000.0,301788.0,308409.0,299952.0,290238.0,282286.0,291634.0
2010,279850.0,279000.0,279000.0,278182.0,276000.0,276000.0,275000.0,281105.0,311211.0,417524.0,441636.0,447913.0,321942.0
2011,442762.0,441000.0,441000.0,440571.0,435600.0,437000.0,438000.0,516159.0,773000.0,721750.0,711818.0,710000.0,542970.0
2012,710000.0,710000.0,700952.0,666000.0,635000.0,628500.0,630000.0,640909.0,603000.0,547143.0,518182.0,497895.0,624197.0
2013,460227.0,455000.0,452750.0,433273.0,403952.0,403000.0,401696.0,363143.0,346667.0,344524.0,340000.0,340000.0,395633.0
2014,340000.0,333000.0,326667.0,323182.0,320000.0,327368.0,340957.0,384816.0,443667.0,433524.0,430000.0,420095.0,367883.0
2015,411905.0,410000.0,410000.0,410000.0,410000.0,410000.0,410000.0,410097.0,416500.0,410619.0,404905.0,399952.0,409463.0
2016,390400.0,390000.0,386727.0,369150.0,356000.0,355000.0,344524.0,310000.0,321842.0,294600.0,290182.0,290000.0,340772.0
2017,285500.0,280000.0,284545.0,281750.0,275316.0,286738.0,323238.0,373973.0,628571.0,696875.0,648864.0,616842.0,410773.0
2018,590000.0,586944.0,571667.0,575000.0,575000.0,597537.0,596891.0,647261.0,702906.0,616576.0,589409.0,600474.0,602963.0
2019,590209.0,583600.0,587600.0,576555.0,573362.0,566758.0,560426.0,513171.0,466842.0,430476.0,432571.0,433450.0,526343.0
2020,400100.0,397575.0,400830.0,406000.0,407263.0,442100.0,452600.0,692489.0,871229.0,812179.0,824724.0,794505.0,573978.0
