구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1998,11973.0,9521.0,8547.0,6855.0,6409.0,5173.0,6206.0,9806.0,9316.0,11642.0,9169.0,10241.0,8705.0
1999,11383.0,10548.0,8004.0,7800.0,5378.0,5104.0,4624.0,8212.0,10461.0,15477.0,9323.0,10746.0,8915.0
2000,11700.0,9130.0,7888.0,6404.0,5775.0,5688.0,7675.0,8269.0,12504.0,8075.0,7531.0,11028.0,8462.0
2001,16365.0,12367.0,10785.0,8813.0,7533.0,7240.0,7896.0,8148.0,9192.0,7992.0,8962.0,13280.0,9835.0
2002,15862.0,13086.0,8496.0,8000.0,8616.0,6470.0,7488.0,15438.0,17870.0,11277.0,10710.0,13608.0,11395.0
2003,17504.0,11930.0,13192.0,8400.0,7513.0,5904.0,10600.0,9023.0,17348.0,13385.0,10328.0,14638.0,11644.0
2004,16443.0,13250.0,11938.0,10325.0,9400.0,7800.0,9918.0,10583.0,13011.0,10638.0,8118.0,11570.0,11040.0
2005,17143.0,16529.0,12818.0,10848.0,9718.0,7862.0,11573.0,12125.0,13882.0,13514.0,11652.0,17382.0,12848.0
2006,23973.0,16760.0,13218.0,13155.0,10660.0,7857.0,12480.0,12745.0,16618.0,11600.0,10552.0,21630.0,14317.0
2007,16191.0,14821.0,11352.0,12067.0,10990.0,9570.0,10057.0,13945.0,21553.0,17036.0,12945.0,17905.0,13911.0
2008,21182.0,16989.0,12248.0,12324.0,11853.0,9610.0,9322.0,15240.0,15305.0,14327.0,12230.0,17352.0,13992.0
2009,22968.0,15930.0,15182.0,13964.0,12568.0,11391.0,16739.0,15314.0,15227.0,12505.0,13571.0,20629.0,15447.0
2010,25750.0,20274.0,20491.0,16018.0,16579.0,13695.0,14845.0,19927.0,26042.0,15857.0,15155.0,18113.0,18448.0
2011,23552.0,18965.0,17318.0,15105.0,15440.0,12743.0,19143.0,21173.0,19470.0,16900.0,13882.0,22000.0,17960.0
2012,27590.0,22562.0,20695.0,16420.0,16990.0,11230.0,12791.0,18882.0,28470.0,20143.0,16736.0,23347.0,19562.0
2013,25309.0,23926.0,15535.0,16755.0,15114.0,12379.0,15391.0,19714.0,20644.0,14467.0,14029.0,19971.0,17745.0
2014,23760.0,17670.0,18295.0,16845.0,17063.0,13116.0,13487.0,21126.0,23089.0,19162.0,19460.0,25162.0,18947.0
2015,24419.0,24835.0,16382.0,21255.0,17778.0,13618.0,13887.0,18380.0,20890.0,14276.0,18324.0,28933.0,19273.0
2016,24590.0,25100.0,18655.0,16170.0,17450.0,13933.0,20410.0,23364.0,24989.0,23540.0,20236.0,19810.0,20603.0
2017,26500.0,19240.0,15873.0,15060.0,15579.0,15057.0,18048.0,24764.0,23467.0,15313.0,14991.0,20800.0,18782.0
2018,28709.0,27622.0,19714.0,19419.0,21350.0,14061.0,16564.0,26987.0,34118.0,21095.0,17255.0,20505.0,22111.0
2019,22095.0,18788.0,15250.0,15332.0,17362.0,15011.0,14374.0,22819.0,32326.0,28124.0,21343.0,27350.0,20762.0
2020,35728.0,21763.0,19859.0,19205.0,19095.0,18215.0,20001.0,37550.0,35653.0,22075.0,18950.0,24227.0,24275.0
