구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,198836.0,206536.0,206161.0,211755.0,216548.0,217169.0,214037.0,210476.0,212549.0,211273.0,204057.0,199351.0,208820.0
1997,192869.0,189453.0,179193.0,174204.0,172578.0,169690.0,163005.0,159880.0,152602.0,141558.0,140020.0,138277.0,164142.0
1998,145648.0,145901.0,140387.0,137497.0,133950.0,132860.0,133843.0,134398.0,139011.0,137054.0,137395.0,138701.0,138021.0
1999,136687.0,137600.0,137600.0,139233.0,141243.0,141200.0,141200.0,141985.0,175861.0,212662.0,227085.0,236138.0,165218.0
2000,237560.0,246348.0,266423.0,269000.0,269375.0,270000.0,270000.0,258323.0,246304.0,241200.0,239985.0,235880.0,254152.0
2001,237774.0,241875.0,242000.0,239833.0,238000.0,238000.0,238000.0,237630.0,222640.0,195500.0,183538.0,182000.0,224597.0
2002,178615.0,177238.0,176000.0,167160.0,164296.0,160139.0,153080.0,152000.0,156478.0,156231.0,155692.0,152917.0,162351.0
2003,153960.0,158739.0,160680.0,165000.0,167417.0,169000.0,170000.0,170800.0,181398.0,251731.0,266600.0,272615.0,191433.0
2004,271304.0,277833.0,280154.0,287333.0,290000.0,289500.0,283000.0,275565.0,318737.0,315476.0,308273.0,326300.0,292438.0
2005,321952.0,319882.0,317273.0,314857.0,315909.0,327714.0,318273.0,313500.0,304091.0,298476.0,292000.0,291545.0,310996.0
2006,282545.0,274000.0,260273.0,250800.0,248000.0,248000.0,251300.0,254545.0,265636.0,289368.0,279143.0,270150.0,264414.0
2007,271182.0,273000.0,272667.0,272000.0,269905.0,265200.0,263000.0,250773.0,221412.0,221091.0,229636.0,227474.0,253462.0
2008,226818.0,232889.0,234000.0,232667.0,230000.0,230000.0,230000.0,226820.0,227810.0,223727.0,222000.0,225429.0,228461.0
2009,226642.0,226100.0,226000.0,226000.0,226000.0,226000.0,226000.0,226000.0,230909.0,238381.0,242000.0,242000.0,230167.0
2010,242620.0,256863.0,258000.0,259364.0,261263.0,271714.0,278455.0,281818.0,364421.0,415381.0,463091.0,473522.0,320781.0
2011,482305.0,492576.0,498855.0,500448.0,501400.0,497210.0,490276.0,494727.0,589200.0,497300.0,486364.0,485429.0,501047.0
2012,482000.0,486190.0,490000.0,490000.0,490000.0,490000.0,490000.0,489455.0,482600.0,482952.0,474818.0,469737.0,484912.0
2013,465000.0,464947.0,464000.0,463000.0,462000.0,462000.0,462000.0,456286.0,445000.0,382857.0,371905.0,359905.0,438048.0
2014,358000.0,347900.0,336000.0,336000.0,336000.0,331263.0,330000.0,339621.0,354533.0,348019.0,347100.0,346000.0,342324.0
2015,346000.0,347882.0,344545.0,341000.0,340222.0,344000.0,344000.0,344000.0,350080.0,347352.0,352400.0,352400.0,346140.0
2016,354300.0,354400.0,354400.0,351320.0,344000.0,344000.0,345333.0,351818.0,356000.0,358500.0,374545.0,378000.0,355676.0
2017,377350.0,378900.0,385000.0,385000.0,385684.0,392000.0,398476.0,402545.0,404000.0,406000.0,404545.0,404000.0,393560.0
2018,404000.0,404000.0,404000.0,404000.0,398400.0,391000.0,390727.0,389327.0,399271.0,400362.0,401155.0,403147.0,399043.0
2019,400655.0,400200.0,400200.0,400200.0,400200.0,400800.0,402609.0,400000.0,400768.0,393590.0,393286.0,398670.0,399260.0
2020,394570.0,395782.0,396107.0,412160.0,427989.0,433282.0,448096.0,463910.0,498295.0,542379.0,586057.0,637743.0,469686.0
