구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,9543.0,10103.0,11186.0,11556.0,13876.0,19571.0,25343.0,28173.0,22161.0,14568.0,9910.0,10543.0,15427.0
1997,11481.0,14844.0,15134.0,14839.0,15652.0,20805.0,21177.0,19016.0,17127.0,15352.0,15514.0,15851.0,16411.0
1998,14147.0,11944.0,10040.0,10073.0,10672.0,12466.0,11709.0,12884.0,24973.0,34680.0,24866.0,19157.0,16500.0
1999,14817.0,15481.0,15504.0,14908.0,14652.0,12131.0,11112.0,12315.0,14004.0,20692.0,15892.0,13881.0,14612.0
2000,10640.0,10017.0,9046.0,10570.0,11658.0,13008.0,17125.0,23108.0,25235.0,22392.0,16238.0,10048.0,14907.0
2001,9313.0,10258.0,11277.0,13658.0,14900.0,26312.0,31632.0,29489.0,22232.0,15242.0,9646.0,11896.0,17294.0
2002,11315.0,9857.0,9140.0,10504.0,12480.0,18017.0,17552.0,17038.0,17357.0,17862.0,18977.0,19633.0,15013.0
2003,15888.0,14165.0,13288.0,15760.0,17592.0,24092.0,21123.0,20469.0,22052.0,27554.0,25440.0,15908.0,19477.0
2004,13557.0,13067.0,13046.0,14933.0,18017.0,18838.0,17818.0,21339.0,24821.0,27790.0,26827.0,25230.0,19263.0
2005,22162.0,20435.0,18927.0,18752.0,19673.0,17810.0,18091.0,19017.0,18745.0,17381.0,16496.0,13655.0,18378.0
2006,11555.0,11450.0,12255.0,15630.0,27890.0,33267.0,33610.0,34664.0,39673.0,42821.0,21810.0,15110.0,24912.0
2007,12691.0,12495.0,10562.0,13419.0,15410.0,17680.0,16781.0,17536.0,18694.0,28409.0,28909.0,26326.0,18278.0
2008,19273.0,21689.0,22824.0,27019.0,24789.0,20410.0,18826.0,21350.0,28838.0,24291.0,17870.0,16486.0,21951.0
2009,16305.0,17870.0,17864.0,22955.0,29863.0,26427.0,30200.0,31324.0,32900.0,31752.0,24971.0,21181.0,25400.0
2010,19170.0,17116.0,14609.0,15236.0,20084.0,22771.0,31000.0,31691.0,34389.0,45286.0,39191.0,25661.0,26433.0
2011,25371.0,29447.0,32855.0,34924.0,34080.0,35781.0,38971.0,43445.0,54540.0,59040.0,31736.0,23086.0,36901.0
2012,22350.0,22152.0,23524.0,24600.0,28571.0,33490.0,29455.0,28655.0,37480.0,46229.0,45227.0,56842.0,33100.0
2013,90473.0,95821.0,93330.0,100618.0,41086.0,31989.0,33217.0,33057.0,35389.0,39133.0,33476.0,22638.0,54263.0
2014,20120.0,18650.0,18752.0,24527.0,31684.0,32621.0,34522.0,44116.0,56111.0,39762.0,18810.0,16676.0,29359.0
2015,16114.0,18553.0,20818.0,22382.0,25800.0,30036.0,30878.0,30340.0,32610.0,31505.0,27295.0,25029.0,26044.0
2016,24580.0,24978.0,25027.0,27070.0,31570.0,30857.0,30286.0,41655.0,45337.0,49700.0,66327.0,74629.0,39621.0
2017,73440.0,55580.0,40109.0,43140.0,34916.0,31924.0,29200.0,28718.0,47629.0,52838.0,32382.0,25505.0,40934.0
2018,24955.0,29389.0,25543.0,28867.0,35550.0,36516.0,43423.0,52891.0,73953.0,63343.0,58627.0,38463.0,42427.0
2019,30364.0,26847.0,24820.0,30236.0,32495.0,32200.0,29704.0,29543.0,36000.0,52848.0,54610.0,46730.0,35606.0
2020,44570.0,35825.0,47075.0,59250.0,42926.0,36300.0,42408.0,45977.0,70528.0,66874.0,42214.0,26412.0,46494.0
