구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,744.0,825.0,840.0,696.0,594.0,725.0,750.0,922.0,922.0,773.0,649.0,730.0,760.0
1997,736.0,760.0,803.0,648.0,733.0,978.0,871.0,909.0,925.0,860.0,869.0,951.0,837.0
1998,869.0,810.0,804.0,849.0,989.0,829.0,701.0,862.0,1083.0,1028.0,947.0,911.0,890.0
1999,1050.0,1408.0,1407.0,1064.0,682.0,556.0,571.0,1211.0,1317.0,1360.0,1164.0,1035.0,1065.0
2000,968.0,936.0,904.0,656.0,604.0,830.0,844.0,1000.0,1522.0,1256.0,953.0,757.0,934.0
2001,855.0,645.0,669.0,528.0,803.0,828.0,873.0,1080.0,1132.0,988.0,780.0,758.0,830.0
2002,830.0,730.0,654.0,616.0,847.0,753.0,704.0,1030.0,1563.0,1067.0,963.0,1102.0,904.0
2003,1471.0,1859.0,2052.0,1501.0,1411.0,937.0,964.0,1123.0,1662.0,2223.0,1864.0,1466.0,1543.0
2004,1313.0,1625.0,1712.0,1121.0,741.0,660.0,705.0,1051.0,1161.0,996.0,788.0,663.0,1054.0
2005,657.0,786.0,753.0,568.0,661.0,960.0,1056.0,1313.0,1520.0,1522.0,1437.0,1643.0,1084.0
2006,1770.0,2262.0,2170.0,1973.0,1400.0,984.0,1012.0,1187.0,1107.0,998.0,855.0,792.0,1380.0
2007,764.0,768.0,628.0,616.0,795.0,907.0,840.0,1112.0,1685.0,2192.0,1803.0,1820.0,1156.0
2008,1706.0,1679.0,1939.0,1120.0,979.0,811.0,780.0,905.0,1011.0,929.0,903.0,920.0,1137.0
2009,1032.0,983.0,930.0,1005.0,1225.0,1646.0,1563.0,1669.0,1685.0,1520.0,1551.0,1465.0,1362.0
2010,1516.0,1693.0,1692.0,1811.0,2127.0,2079.0,1843.0,1877.0,3868.0,3144.0,2770.0,2453.0,2232.0
2011,3408.0,2789.0,2413.0,1405.0,1034.0,884.0,1046.0,1301.0,1562.0,1211.0,1139.0,992.0,1584.0
2012,1138.0,1600.0,1665.0,1400.0,1670.0,2116.0,1936.0,2346.0,3046.0,2538.0,2224.0,2319.0,2001.0
2013,2224.0,2204.0,2206.0,2229.0,2002.0,1409.0,1303.0,1382.0,1669.0,1423.0,1453.0,1408.0,1741.0
2014,1235.0,1304.0,1201.0,1048.0,1083.0,1164.0,1058.0,1212.0,1313.0,1135.0,1071.0,1425.0,1185.0
2015,1255.0,1478.0,1551.0,1535.0,1923.0,2465.0,2134.0,1991.0,1902.0,1770.0,1823.0,2026.0,1827.0
2016,2295.0,3228.0,2723.0,2345.0,2315.0,1898.0,1596.0,1891.0,2414.0,2310.0,2379.0,2528.0,2315.0
2017,2444.0,2533.0,2854.0,2148.0,1631.0,1399.0,1445.0,2097.0,2232.0,1750.0,1677.0,1753.0,2005.0
2018,1965.0,2390.0,1850.0,1294.0,1467.0,1422.0,1566.0,2188.0,3031.0,2313.0,1950.0,1724.0,1914.0
2019,1614.0,1587.0,1276.0,1195.0,1456.0,1553.0,1685.0,1894.0,2002.0,1922.0,1851.0,1769.0,1649.0
2020,1657.0,1363.0,1064.0,1265.0,1664.0,1852.0,1982.0,3081.0,3178.0,3019.0,2982.0,2400.0,2120.0
