구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,129253.0,128938.0,128769.0,130135.0,133009.0,137374.0,140232.0,140201.0,140214.0,140233.0,136982.0,137956.0,135421.0
1997,137693.0,138360.0,138303.0,137957.0,137726.0,136929.0,135234.0,134561.0,132733.0,131203.0,132586.0,133143.0,135498.0
1998,134186.0,135865.0,136319.0,136405.0,136156.0,136214.0,134382.0,133938.0,135113.0,138143.0,136046.0,135602.0,135709.0
1999,131096.0,128400.0,127920.0,126567.0,130400.0,131208.0,132912.0,135746.0,140443.0,142769.0,137923.0,141615.0,134082.0
2000,150312.0,154174.0,154400.0,154400.0,154400.0,154048.0,153850.0,152600.0,149817.0,150308.0,154500.0,166680.0,154161.0
2001,171565.0,173458.0,183885.0,198375.0,199125.0,199480.0,196960.0,195926.0,194000.0,182292.0,175000.0,173400.0,187050.0
2002,174962.0,176000.0,177200.0,176720.0,171600.0,166870.0,160280.0,158769.0,155957.0,153923.0,151462.0,158542.0,165044.0
2003,164880.0,185217.0,189120.0,187880.0,186958.0,189083.0,191931.0,193554.0,194817.0,188731.0,186400.0,204154.0,188626.0
2004,206304.0,207000.0,207692.0,207542.0,203250.0,201154.0,187909.0,184087.0,179105.0,182429.0,214455.0,251600.0,202752.0
2005,262429.0,267353.0,268727.0,268000.0,267909.0,259857.0,235227.0,214583.0,214000.0,213476.0,234391.0,256591.0,246120.0
2006,256000.0,250300.0,244091.0,246150.0,245000.0,244000.0,244000.0,244091.0,251545.0,248632.0,238762.0,231600.0,245418.0
2007,236636.0,252737.0,237810.0,236143.0,230429.0,214900.0,209000.0,206864.0,199765.0,202545.0,233227.0,231263.0,224352.0
2008,230364.0,232000.0,232524.0,238714.0,235526.0,235050.0,243435.0,247600.0,248190.0,244636.0,244000.0,247905.0,240109.0
2009,256316.0,270050.0,285955.0,309773.0,324632.0,343636.0,348957.0,346286.0,342000.0,326190.0,317429.0,334762.0,318075.0
2010,340700.0,346526.0,350364.0,356273.0,342105.0,338857.0,337636.0,316273.0,292947.0,289810.0,339273.0,348957.0,333683.0
2011,349714.0,347059.0,343879.0,328492.0,306900.0,281238.0,272190.0,267818.0,272700.0,272900.0,284364.0,290000.0,300878.0
2012,287150.0,287000.0,287000.0,287000.0,287000.0,287000.0,288273.0,289000.0,290100.0,297571.0,406136.0,417158.0,308900.0
2013,419273.0,420632.0,429620.0,466255.0,480000.0,483474.0,487826.0,492667.0,498667.0,440000.0,390771.0,430190.0,453041.0
2014,436000.0,436000.0,446381.0,450000.0,448526.0,443684.0,440696.0,438842.0,437778.0,420667.0,407360.0,421857.0,435639.0
2015,430000.0,430000.0,426727.0,423091.0,420000.0,420000.0,420000.0,420000.0,421300.0,420571.0,418000.0,408571.0,421419.0
2016,398000.0,398000.0,398000.0,396200.0,388000.0,388000.0,376571.0,363636.0,367474.0,372500.0,368727.0,351333.0,380252.0
2017,346900.0,346600.0,343455.0,340600.0,333263.0,332000.0,331714.0,330000.0,329190.0,324575.0,315418.0,313316.0,332372.0
2018,313000.0,318000.0,316429.0,315000.0,316600.0,320579.0,320755.0,340061.0,394247.0,435857.0,443218.0,445084.0,356121.0
2019,449391.0,457224.0,478010.0,488564.0,492000.0,495642.0,499904.0,502029.0,498232.0,492876.0,473648.0,458500.0,482484.0
2020,459200.0,456340.0,465675.0,466360.0,470158.0,475427.0,479800.0,488530.0,527714.0,571126.0,606486.0,639914.0,508827.0
