구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,7673.0,9025.0,11127.0,14729.0,12302.0,7043.0,7312.0,8874.0,7987.0,4722.0,3822.0,4410.0,8096.0
1997,3436.0,3352.0,3299.0,4823.0,6128.0,7559.0,6732.0,8583.0,7317.0,6026.0,6309.0,6567.0,5856.0
1998,5335.0,5025.0,4998.0,5723.0,5640.0,4169.0,4735.0,10231.0,18154.0,12800.0,6321.0,5524.0,7409.0
1999,4923.0,5150.0,5198.0,5677.0,6448.0,5094.0,5614.0,8568.0,8946.0,10554.0,10069.0,11117.0,7355.0
2000,11866.0,12805.0,11062.0,10818.0,7774.0,5870.0,6586.0,7395.0,10052.0,9965.0,6338.0,5619.0,8799.0
2001,5303.0,5153.0,5075.0,4433.0,6099.0,8610.0,14362.0,13772.0,9224.0,5862.0,4443.0,4891.0,7334.0
2002,4631.0,4259.0,3968.0,4865.0,7612.0,7932.0,7765.0,9049.0,13677.0,10367.0,9472.0,12605.0,8019.0
2003,11768.0,11642.0,15418.0,15897.0,10227.0,5522.0,5347.0,5193.0,9600.0,13409.0,12011.0,9088.0,10412.0
2004,5750.0,5255.0,5846.0,5701.0,4458.0,6952.0,13667.0,28993.0,20979.0,9273.0,5711.0,4438.0,9526.0
2005,4451.0,4064.0,3347.0,5895.0,6393.0,6148.0,11274.0,12094.0,17035.0,16808.0,14146.0,12421.0,9668.0
2006,9682.0,10496.0,10689.0,9769.0,8074.0,8586.0,8950.0,13490.0,16913.0,9217.0,5727.0,5216.0,9810.0
2007,4276.0,4655.0,5512.0,6559.0,6649.0,13280.0,12912.0,11726.0,13680.0,17682.0,16335.0,13846.0,10585.0
2008,9496.0,7438.0,7850.0,7510.0,7304.0,6591.0,6454.0,8606.0,7817.0,7316.0,7482.0,7289.0,7598.0
2009,7801.0,7542.0,7093.0,7180.0,8973.0,7209.0,7976.0,8286.0,8438.0,7905.0,7362.0,6857.0,7707.0
2010,7052.0,8128.0,9660.0,13918.0,16753.0,16524.0,21700.0,23364.0,26947.0,33470.0,21914.0,19200.0,18292.0
2011,13450.0,12416.0,15164.0,14362.0,10896.0,7370.0,13010.0,27727.0,17600.0,9750.0,7007.0,6333.0,12979.0
2012,6830.0,8910.0,10267.0,9850.0,11210.0,12545.0,15125.0,11845.0,15030.0,19048.0,15332.0,15542.0,12647.0
2013,11482.0,11000.0,10500.0,10855.0,16024.0,15674.0,13096.0,15657.0,16311.0,10857.0,9900.0,9062.0,12478.0
2014,8650.0,8158.0,8448.0,9293.0,9806.0,9780.0,10245.0,10853.0,11589.0,10949.0,9380.0,9384.0,9692.0
2015,8805.0,9671.0,9755.0,9727.0,10500.0,13670.0,18043.0,13369.0,9115.0,8614.0,9060.0,9190.0,10873.0
2016,10580.0,13633.0,15118.0,19190.0,17720.0,11433.0,12476.0,15782.0,23737.0,26560.0,17814.0,25429.0,17420.0
2017,21416.0,18950.0,16755.0,15810.0,15695.0,12276.0,14410.0,21623.0,17371.0,9628.0,8764.0,9282.0,15286.0
2018,9225.0,16594.0,18638.0,20267.0,23170.0,13473.0,17415.0,27236.0,25847.0,14843.0,8918.0,8105.0,16892.0
2019,7967.0,8304.0,7579.0,8097.0,9051.0,9133.0,9276.0,9352.0,13163.0,20433.0,20524.0,25329.0,12343.0
2020,21805.0,11953.0,10345.0,10275.0,9789.0,12253.0,13642.0,18451.0,25917.0,17093.0,11125.0,11234.0,14456.0
