구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,21852.0,24028.0,25464.0,22418.0,17902.0,15463.0,16056.0,16625.0,21458.0,24306.0,23315.0,26772.0,21399.0
1997,25934.0,28533.0,25968.0,19451.0,18667.0,16163.0,15326.0,19353.0,24995.0,24783.0,23248.0,24131.0,22147.0
1998,22341.0,23808.0,22488.0,17976.0,15009.0,13180.0,13595.0,23296.0,25001.0,26080.0,25686.0,24756.0,21110.0
1999,18789.0,20464.0,19422.0,14956.0,10741.0,10200.0,10392.0,20585.0,26648.0,33450.0,26060.0,24265.0,19744.0
2000,21486.0,22983.0,27098.0,18391.0,11988.0,9006.0,11475.0,19148.0,39750.0,24813.0,21254.0,25992.0,21060.0
2001,26191.0,24225.0,24900.0,17613.0,12675.0,10602.0,21666.0,31594.0,29292.0,29450.0,29337.0,29772.0,24040.0
2002,27658.0,27029.0,26052.0,21618.0,19908.0,14707.0,15840.0,28737.0,40591.0,35008.0,36444.0,32331.0,27203.0
2003,29970.0,29126.0,29370.0,22038.0,14675.0,14350.0,18427.0,25050.0,49180.0,33237.0,34380.0,41383.0,28396.0
2004,37285.0,41225.0,32562.0,25663.0,17594.0,15762.0,22970.0,26439.0,37074.0,35586.0,31514.0,31733.0,29323.0
2005,27407.0,30776.0,30320.0,26979.0,18014.0,12800.0,27457.0,34575.0,41025.0,36907.0,40226.0,37411.0,30454.0
2006,38761.0,44888.0,34636.0,39998.0,23138.0,15636.0,28031.0,38448.0,35577.0,32068.0,34525.0,34448.0,33398.0
2007,29093.0,37145.0,31632.0,24950.0,18114.0,16178.0,21396.0,34350.0,50912.0,40111.0,33430.0,42111.0,31281.0
2008,35175.0,38083.0,37486.0,23700.0,18178.0,15615.0,25767.0,41168.0,39457.0,42205.0,43733.0,47136.0,34030.0
2009,42513.0,48908.0,43630.0,34698.0,24568.0,22050.0,31911.0,39286.0,46739.0,48993.0,54443.0,58329.0,41286.0
2010,52433.0,60608.0,55582.0,54682.0,40374.0,32157.0,34180.0,52950.0,99632.0,51986.0,53843.0,49911.0,52788.0
2011,55893.0,60406.0,50577.0,47479.0,38063.0,25379.0,34521.0,48566.0,41948.0,41903.0,57280.0,57529.0,46545.0
2012,55058.0,67079.0,56586.0,40133.0,29793.0,19350.0,25411.0,42157.0,57285.0,48464.0,52275.0,50084.0,45241.0
2013,47925.0,52129.0,48548.0,45181.0,28250.0,21300.0,36893.0,48986.0,56600.0,43850.0,58329.0,52829.0,44995.0
2014,43718.0,48270.0,53021.0,42245.0,35787.0,28958.0,33809.0,49768.0,60108.0,52714.0,57510.0,61886.0,47221.0
2015,55871.0,61359.0,58582.0,48095.0,33875.0,26216.0,30261.0,49493.0,52110.0,48721.0,54479.0,60764.0,48069.0
2016,58005.0,85975.0,66955.0,41828.0,38978.0,26114.0,36614.0,62441.0,82089.0,49740.0,67384.0,56261.0,55716.0
2017,56633.0,57780.0,57109.0,48975.0,36632.0,24740.0,26429.0,43643.0,49543.0,51516.0,59952.0,61295.0,47749.0
2018,63843.0,78456.0,69962.0,62171.0,47510.0,33213.0,30881.0,91609.0,129953.0,66505.0,72673.0,70853.0,67288.0
2019,73009.0,76871.0,71480.0,61445.0,52162.0,35895.0,31043.0,66162.0,84600.0,70171.0,75743.0,69260.0,63545.0
2020,71870.0,66061.0,65025.0,51000.0,47421.0,38600.0,36791.0,76888.0,96030.0,74923.0,92830.0,83191.0,66452.0
