구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1998,12404.0,11287.0,17489.0,17120.0,13815.0,9942.0,8152.0,8769.0,9145.0,8974.0,9813.0,11774.0,11580.0
1999,15257.0,14390.0,15644.0,15533.0,12370.0,5938.0,5464.0,6838.0,10722.0,13100.0,12065.0,13392.0,11631.0
2000,9872.0,7900.0,10762.0,9509.0,6808.0,5648.0,5625.0,7038.0,8861.0,11842.0,8673.0,9032.0,8466.0
2001,6761.0,10367.0,16808.0,15858.0,9150.0,7148.0,6504.0,9541.0,10624.0,7054.0,7792.0,9280.0,9765.0
2002,12535.0,11962.0,17056.0,16928.0,13752.0,9974.0,6892.0,7562.0,12730.0,15285.0,16323.0,16517.0,13152.0
2003,14128.0,11548.0,14776.0,14808.0,11075.0,8056.0,13265.0,18808.0,10426.0,16062.0,14936.0,14977.0,13663.0
2004,16009.0,15617.0,20662.0,19758.0,14083.0,11046.0,8745.0,12739.0,20758.0,15524.0,12500.0,16540.0,15296.0
2005,13467.0,13000.0,18991.0,19562.0,13891.0,8467.0,11749.0,12350.0,11309.0,12771.0,10261.0,16127.0,13482.0
2006,14000.0,13830.0,18291.0,18400.0,13800.0,11738.0,11755.0,20900.0,21564.0,10816.0,9343.0,11560.0,14778.0
2007,11864.0,15021.0,20114.0,18914.0,13924.0,9450.0,7114.0,6845.0,15318.0,19382.0,21782.0,26432.0,15448.0
2008,18009.0,12400.0,16895.0,15086.0,13179.0,10840.0,10835.0,11650.0,12076.0,11236.0,8590.0,11905.0,12754.0
2009,13842.0,15460.0,19691.0,20355.0,13789.0,10482.0,10148.0,15076.0,14991.0,11848.0,10848.0,18533.0,14591.0
2010,18450.0,15347.0,18573.0,25309.0,23253.0,15619.0,13491.0,16391.0,24495.0,30305.0,26609.0,28487.0,21411.0
2011,27848.0,22824.0,22754.0,21815.0,18093.0,13714.0,15429.0,20236.0,25140.0,25540.0,13018.0,20048.0,20450.0
2012,17920.0,22600.0,30371.0,26200.0,21305.0,14000.0,10609.0,13745.0,23730.0,23410.0,17209.0,23253.0,20259.0
2013,22745.0,21474.0,24440.0,22773.0,16571.0,11905.0,11861.0,20781.0,20667.0,18457.0,16371.0,18867.0,18876.0
2014,21270.0,24600.0,28800.0,24591.0,16863.0,11737.0,9435.0,9126.0,11100.0,11790.0,11050.0,13248.0,16229.0
2015,17581.0,18200.0,18136.0,22545.0,18089.0,14109.0,12252.0,13260.0,14810.0,11705.0,10124.0,12200.0,15191.0
2016,19580.0,23089.0,30473.0,22115.0,15030.0,12505.0,14152.0,16191.0,21558.0,29670.0,23527.0,27495.0,21278.0
2017,24550.0,21300.0,21309.0,21030.0,19737.0,16762.0,14000.0,22318.0,31295.0,21538.0,20145.0,17103.0,20940.0
2018,16873.0,16989.0,18067.0,22343.0,20660.0,14484.0,14845.0,16982.0,28988.0,32114.0,22545.0,24579.0,20674.0
2019,25673.0,24353.0,26550.0,24609.0,18257.0,15689.0,14104.0,14476.0,17605.0,22143.0,24133.0,28270.0,21272.0
2020,29038.0,24970.0,27686.0,23648.0,14259.0,14336.0,19443.0,21653.0,27540.0,32663.0,15862.0,17971.0,22332.0
