구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,31860.0,34767.0,37136.0,36950.0,38203.0,40437.0,46561.0,51831.0,45605.0,37717.0,34530.0,38776.0,39481.0
1997,41377.0,45685.0,48043.0,48351.0,50590.0,51694.0,49874.0,49642.0,45687.0,31327.0,32897.0,34540.0,44045.0
1998,34451.0,32631.0,32545.0,35661.0,39097.0,39295.0,38965.0,36745.0,33769.0,28560.0,28317.0,31173.0,34227.0
1999,34435.0,46410.0,55160.0,57817.0,58757.0,65100.0,74792.0,76054.0,56626.0,28246.0,25969.0,28985.0,50646.0
2000,30768.0,30748.0,29123.0,29235.0,26042.0,24296.0,24350.0,25877.0,33043.0,20375.0,19377.0,21688.0,26159.0
2001,22835.0,27800.0,34723.0,42392.0,40650.0,40560.0,45880.0,41807.0,37371.0,23883.0,20977.0,26184.0,33796.0
2002,29477.0,35000.0,33880.0,33440.0,33632.0,32322.0,31448.0,30177.0,33905.0,23223.0,23569.0,24492.0,30199.0
2003,25544.0,24165.0,22728.0,22192.0,22917.0,25375.0,26877.0,27446.0,36600.0,28677.0,34112.0,37446.0,27834.0
2004,40174.0,40058.0,42038.0,45467.0,55517.0,68308.0,73745.0,72591.0,50968.0,27762.0,28045.0,30550.0,48355.0
2005,32429.0,33729.0,36264.0,39857.0,40382.0,41200.0,43027.0,42775.0,40264.0,24086.0,21591.0,24700.0,35068.0
2006,26209.0,25450.0,23655.0,22340.0,21990.0,23410.0,23110.0,20380.0,28112.0,25821.0,25962.0,32100.0,24742.0
2007,35064.0,43242.0,45743.0,47371.0,48952.0,51770.0,58857.0,60963.0,33750.0,22827.0,21064.0,23326.0,40606.0
2008,23573.0,23289.0,24295.0,23857.0,25526.0,30810.0,35000.0,28563.0,24063.0,17791.0,21110.0,24286.0,25220.0
2009,28526.0,28250.0,29673.0,33609.0,37811.0,44291.0,49887.0,48031.0,25646.0,24238.0,25352.0,27095.0,33808.0
2010,28980.0,36442.0,35345.0,33936.0,33632.0,34686.0,34036.0,30009.0,36516.0,34581.0,38155.0,43270.0,35029.0
2011,45429.0,50153.0,48984.0,46246.0,48206.0,60419.0,80857.0,85796.0,38853.0,34590.0,38318.0,41352.0,50951.0
2012,44550.0,43257.0,44343.0,43600.0,46838.0,50980.0,56282.0,57600.0,60130.0,64733.0,65482.0,65674.0,53661.0
2013,65273.0,72032.0,71990.0,68973.0,67162.0,63653.0,60452.0,48838.0,49256.0,34067.0,39400.0,41095.0,56815.0
2014,46610.0,47090.0,44733.0,45127.0,49484.0,59411.0,80235.0,78000.0,38833.0,28390.0,30230.0,33800.0,48610.0
2015,35181.0,36200.0,39091.0,40300.0,40900.0,40145.0,39600.0,35550.0,36950.0,39619.0,40971.0,43600.0,39069.0
2016,44170.0,45800.0,44455.0,44000.0,44280.0,45257.0,50343.0,55164.0,46232.0,36060.0,35745.0,37971.0,44130.0
2017,39800.0,39580.0,40964.0,41870.0,44400.0,49371.0,57724.0,56045.0,45683.0,38100.0,33864.0,33516.0,43553.0
2018,35364.0,39111.0,39038.0,38238.0,36250.0,37242.0,35109.0,35036.0,47506.0,38390.0,43091.0,47211.0,39096.0
2019,51827.0,50612.0,50920.0,49973.0,53010.0,57884.0,66026.0,73067.0,40011.0,35705.0,40857.0,43930.0,51257.0
2020,43425.0,45078.0,45248.0,47330.0,54905.0,56513.0,57691.0,56568.0,64793.0,63741.0,65381.0,70990.0,55797.0
