구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,3557.0,3723.0,5328.0,7160.0,5963.0,3442.0,3846.0,4135.0,3627.0,2312.0,2038.0,2518.0,3914.0
1997,2339.0,2327.0,2803.0,3694.0,3240.0,4157.0,4549.0,5997.0,4125.0,2753.0,2856.0,2978.0,3492.0
1998,2706.0,2967.0,4020.0,4072.0,3130.0,2321.0,3703.0,7098.0,10385.0,6191.0,3595.0,3220.0,4476.0
1999,2838.0,3019.0,2804.0,2283.0,2149.0,2035.0,2882.0,5667.0,5658.0,6906.0,5889.0,5144.0,3986.0
2000,6192.0,8154.0,8522.0,7832.0,4058.0,2901.0,4466.0,4534.0,5997.0,4995.0,2680.0,2162.0,5172.0
2001,2552.0,2822.0,3540.0,3890.0,2638.0,6023.0,6633.0,7108.0,6098.0,3797.0,2323.0,3046.0,4240.0
2002,3125.0,2614.0,2284.0,2153.0,3098.0,3300.0,3611.0,6888.0,8710.0,4942.0,4062.0,6918.0,4306.0
2003,7161.0,7333.0,10429.0,9860.0,6524.0,3608.0,5182.0,6529.0,8361.0,8474.0,5988.0,3871.0,6931.0
2004,2964.0,2709.0,3542.0,4162.0,3270.0,3400.0,6549.0,12057.0,8607.0,3951.0,2776.0,2485.0,4638.0
2005,2398.0,2887.0,3187.0,3579.0,3090.0,2961.0,4792.0,5883.0,9085.0,9937.0,6755.0,7106.0,5201.0
2006,6105.0,6778.0,8398.0,7942.0,5986.0,3340.0,4035.0,9534.0,10704.0,3839.0,3020.0,3495.0,6167.0
2007,2781.0,2287.0,2679.0,3102.0,2705.0,3991.0,5813.0,6057.0,9648.0,9480.0,7914.0,6309.0,5201.0
2008,4740.0,4667.0,4691.0,5193.0,3951.0,3461.0,3430.0,6183.0,5204.0,3732.0,3970.0,3810.0,4409.0
2009,3911.0,3960.0,6236.0,11552.0,9942.0,4270.0,4870.0,6848.0,6855.0,4357.0,3527.0,3647.0,5836.0
2010,4913.0,7979.0,11327.0,13859.0,9453.0,6186.0,8965.0,9291.0,19516.0,15726.0,9216.0,11174.0,10619.0
2011,13310.0,12259.0,13105.0,8176.0,3794.0,3352.0,6729.0,10895.0,8995.0,5865.0,3645.0,3219.0,7743.0
2012,3500.0,5245.0,9210.0,12140.0,7262.0,4918.0,7945.0,9018.0,12790.0,9952.0,7900.0,10816.0,8371.0
2013,12182.0,12358.0,12400.0,11243.0,6938.0,5289.0,6287.0,13424.0,12511.0,5636.0,5586.0,5024.0,9021.0
2014,4623.0,4074.0,3604.0,3564.0,3369.0,3907.0,6010.0,7684.0,8042.0,4970.0,4172.0,3838.0,4789.0
2015,3800.0,4153.0,4850.0,4991.0,8978.0,7468.0,6448.0,6670.0,6110.0,4424.0,4445.0,4333.0,5540.0
2016,5520.0,8228.0,12005.0,15079.0,11430.0,6248.0,7505.0,15236.0,21042.0,10630.0,8473.0,9305.0,10858.0
2017,10110.0,10065.0,9468.0,7775.0,4297.0,4895.0,8459.0,15211.0,17419.0,7251.0,6074.0,6497.0,9066.0
2018,6828.0,9109.0,8733.0,8176.0,6406.0,5728.0,10402.0,18682.0,15165.0,8468.0,7468.0,6168.0,9275.0
2019,4848.0,4020.0,3735.0,3414.0,3904.0,5746.0,7365.0,8771.0,14847.0,15600.0,9671.0,9890.0,7643.0
2020,10326.0,9798.0,9639.0,10860.0,11711.0,9269.0,11623.0,19707.0,25957.0,12304.0,6560.0,5072.0,11866.0
