구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,312690.0,311828.0,311879.0,312023.0,311587.0,311540.0,311283.0,311301.0,313001.0,314464.0,313798.0,314449.0,312547.0
1997,317029.0,325446.0,331550.0,339793.0,344576.0,344323.0,346964.0,346507.0,340373.0,340646.0,340664.0,341221.0,338369.0
1998,342050.0,342404.0,340824.0,341249.0,341654.0,341257.0,339870.0,337492.0,339843.0,344079.0,345164.0,345261.0,341775.0
1999,344739.0,345000.0,345000.0,345000.0,345000.0,345000.0,343720.0,342000.0,345478.0,352308.0,353038.0,349000.0,346354.0
2000,349080.0,351000.0,351000.0,351000.0,351750.0,354000.0,354750.0,349923.0,338261.0,334896.0,333808.0,332840.0,345988.0
2001,331500.0,331500.0,331500.0,331500.0,329958.0,329500.0,329500.0,329500.0,329500.0,329500.0,329500.0,328620.0,330114.0
2002,326000.0,326000.0,326000.0,326000.0,325840.0,324000.0,324880.0,323308.0,324870.0,337154.0,354615.0,389250.0,334061.0
2003,415000.0,439391.0,448720.0,448200.0,446000.0,438917.0,438654.0,444858.0,497750.0,595346.0,617440.0,632077.0,489633.0
2004,636783.0,637583.0,636577.0,642375.0,632917.0,601115.0,540545.0,491348.0,429211.0,415095.0,415636.0,438800.0,550073.0
2005,456238.0,459294.0,460000.0,460000.0,460000.0,458000.0,453727.0,409000.0,388273.0,375714.0,378261.0,379091.0,427043.0
2006,378000.0,370600.0,361091.0,354138.0,349500.0,347000.0,347300.0,348091.0,363864.0,418158.0,416000.0,417900.0,372208.0
2007,424500.0,439579.0,442571.0,452333.0,462000.0,467750.0,467048.0,459773.0,449412.0,449318.0,465955.0,480053.0,454903.0
2008,503591.0,529778.0,533000.0,532714.0,525316.0,515000.0,511304.0,495050.0,426524.0,400636.0,398000.0,398000.0,479944.0
2009,399158.0,403000.0,403591.0,400455.0,401316.0,403000.0,403000.0,403000.0,407364.0,414952.0,421524.0,444238.0,408747.0
2010,469750.0,481974.0,495045.0,498545.0,496000.0,496000.0,496545.0,492591.0,489737.0,499524.0,558727.0,608087.0,508276.0
2011,611905.0,612000.0,605015.0,600809.0,582550.0,560000.0,550714.0,544000.0,578700.0,580000.0,569727.0,566000.0,579513.0
2012,570600.0,578524.0,590429.0,591000.0,591000.0,591000.0,591000.0,588045.0,578500.0,581000.0,581000.0,581000.0,584506.0
2013,581000.0,581000.0,581700.0,586250.0,588000.0,587000.0,586826.0,583619.0,573889.0,543238.0,510143.0,526857.0,569038.0
2014,534000.0,534000.0,534000.0,534000.0,534000.0,534000.0,532696.0,530842.0,524111.0,521905.0,511800.0,514000.0,528296.0
2015,519714.0,527765.0,528000.0,531091.0,532000.0,532000.0,532000.0,531500.0,530000.0,530000.0,532095.0,531619.0,529839.0
2016,529000.0,529000.0,529000.0,529000.0,526100.0,532571.0,536857.0,546000.0,536632.0,521780.0,512509.0,521219.0,529124.0
2017,523000.0,520200.0,519000.0,519000.0,519000.0,521000.0,520543.0,516782.0,516410.0,506350.0,498182.0,498842.0,515016.0
2018,499000.0,499000.0,497476.0,498000.0,498000.0,498347.0,498055.0,498009.0,496424.0,498305.0,495209.0,496137.0,497671.0
2019,496500.0,496200.0,496200.0,496336.0,499200.0,498789.0,500513.0,502314.0,502274.0,493676.0,493048.0,487200.0,496873.0
2020,482000.0,483608.0,491670.0,500220.0,513011.0,516573.0,522504.0,545670.0,662029.0,766579.0,831524.0,884571.0,599523.0
