구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996.0,12258.0,13451.0,14109.0,13770.0,13777.0,15580.0,19053.0,19749.0,24833.0,21574.0,17018.0,18089.0,16627.0
1997.0,19507.0,20443.0,19611.0,20377.0,21423.0,21333.0,18926.0,16304.0,17613.0,19040.0,17206.0,17983.0,19128.0
1998.0,18718.0,18873.0,20200.0,25054.0,27040.0,34175.0,38951.0,37273.0,40371.0,20700.0,18544.0,20494.0,26767.0
1999.0,23722.0,30629.0,33056.0,34439.0,33472.0,28708.0,27125.0,28149.0,28870.0,23308.0,20251.0,22600.0,27728.0
2000.0,24720.0,25664.0,24102.0,22893.0,21889.0,18800.0,18906.0,19128.0,19527.0,20435.0,17215.0,17888.0,20952.0
2001.0,20568.0,21428.0,22354.0,25511.0,26867.0,27808.0,31925.0,24919.0,33850.0,29661.0,23092.0,26661.0,25770.0
2002.0,30010.0,36051.0,33925.0,34565.0,36709.0,35994.0,38683.0,40613.0,32242.5,23872.0,21677.0,24872.0,32358.0
2003.0,27819.0,29449.0,27435.0,27536.0,25928.0,25595.0,25323.0,26730.0,27494.0,28258.0,29520.0,33051.0,27881.0
2004.0,36817.0,36617.0,39144.0,44189.0,46633.0,48805.0,49800.0,48945.0,48000.0,35888.0,34012.0,43407.0,42512.0
2005.0,54794.0,58745.0,53503.0,55371.0,57152.0,57295.0,58364.0,57042.0,55294.0,25176.0,27212.0,31679.0,48989.0
2006.0,35533.0,32927.0,33121.0,34980.0,34673.0,39410.0,42953.0,42179.0,36850.0,31521.0,32190.0,36313.0,36058.0
2007.0,38727.0,45207.0,41905.0,46698.0,46978.0,42813.0,34743.0,29612.0,28503.5,27395.0,28079.0,29635.0,38201.0
2008.0,31267.0,32133.0,31467.0,32914.0,34505.0,41733.0,49409.0,46270.0,36185.0,26100.0,27294.0,28229.0,35191.0
2009.0,35439.0,32667.0,40139.0,43072.0,43305.0,44272.0,42394.0,37095.0,30494.0,23893.0,26933.0,32006.0,37517.0
2010.0,34713.0,39390.0,36352.0,36879.0,37151.0,38210.0,37800.0,37661.0,38050.0,40222.0,42394.0,60058.0,40184.0
2011.0,60921.0,59255.0,55426.0,52685.0,55040.0,56083.0,55695.0,55638.0,48152.5,40667.0,45667.0,50933.0,54363.0
2012.0,55933.0,51403.0,52470.0,54493.0,58794.0,62760.0,70939.0,74000.0,74000.0,59473.5,44947.0,45937.0,57853.0
2013.0,45933.0,51045.0,49133.0,48770.0,48209.0,46105.0,46470.0,46019.0,45867.0,46606.5,47346.0,48940.0,47723.0
2014.0,59573.0,59560.0,56946.0,55867.0,57256.0,60968.0,61942.0,60980.0,50204.5,39429.0,36820.0,36260.0,54015.0
2015.0,37219.0,40957.0,41758.0,42533.0,44200.0,45200.0,44678.0,44760.0,41401.333333333336,38042.666666666664,34684.0,35781.0,41246.0
2016.0,36460.0,37178.0,36736.0,37000.0,36860.0,36962.0,38286.0,39936.0,38853.5,37771.0,37900.0,38305.0,37594.0
2017.0,40890.0,40200.0,38755.0,38430.0,38842.0,38762.0,41895.0,40536.0,38227.0,35918.0,33609.0,33705.0,38575.0
2018.0,36436.0,41611.0,42067.0,40771.0,38350.0,38989.0,37855.0,36873.0,38720.0,36550.0,38282.0,41505.0,39081.0
2019.0,44400.0,38741.0,38940.0,38400.0,40733.0,42147.0,40991.0,34762.0,34246.0,33500.0,34257.0,37530.0,38732.0
2020.0,38815.0,36335.0,37820.0,40420.0,55979.0,61462.0,68068.0,71972.0,65004.0,58036.0,52028.0,60957.0,52186.0
