구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,35628.0,37936.0,38507.0,38255.0,38646.0,39932.0,51413.0,83296.0,123455.0,88750.0,67503.0,83814.0,61037.0
1997,89854.0,106815.0,108620.0,121974.0,144488.0,151051.0,152352.0,154574.0,158587.0,87137.0,91063.0,95509.0,121549.0
1998,89463.0,86500.0,86489.0,81974.0,84393.0,87619.0,87687.0,86997.0,78632.0,55545.0,38003.0,29794.0,74072.0
1999,31487.0,35990.0,34688.0,34967.0,31835.0,30985.0,32600.0,34477.0,30730.0,26269.0,16385.0,19238.0,29767.0
2000,24016.0,25739.0,24985.0,25200.0,25775.0,49272.0,57700.0,79092.0,81548.0,61933.0,89431.0,107600.0,54729.0
2001,116226.0,148883.0,141154.0,142783.0,144867.0,162088.0,178816.0,205704.0,168080.0,65733.0,55385.0,63696.0,133250.0
2002,67692.0,68457.0,66120.0,66600.0,65832.0,65191.0,64688.0,59354.0,40609.0,25108.0,20200.0,21417.0,52363.0
2003,30888.0,35904.0,35232.0,33912.0,39358.0,46742.0,51285.0,51846.0,50922.0,31192.0,39416.0,44977.0,40978.0
2004,45104.0,53067.0,79369.0,77392.0,88408.0,89300.0,88464.0,102391.0,110358.0,74952.0,78482.0,90320.0,80951.0
2005,93190.0,105624.0,106709.0,99848.0,96936.0,96400.0,95673.0,92200.0,75273.0,40143.0,30748.0,32473.0,79815.0
2006,36700.0,37440.0,37200.0,37060.0,36750.0,37333.0,44890.0,49027.0,54582.0,48558.0,47152.0,57720.0,43692.0
2007,59227.0,59000.0,59000.0,58162.0,55629.0,54110.0,54743.0,58873.0,52176.0,26400.0,17673.0,22716.0,48048.0
2008,26164.0,28456.0,30162.0,32933.0,39305.0,42020.0,44174.0,51240.0,64171.0,58482.0,65950.0,78390.0,46936.0
2009,78368.0,79470.0,81436.0,94545.0,116821.0,118800.0,143548.0,145714.0,97545.0,60495.0,72305.0,81067.0,97953.0
2010,102840.0,106274.0,105436.0,106473.0,108053.0,107924.0,111309.0,126109.0,122189.0,75057.0,58636.0,65026.0,99063.0
2011,73752.0,78953.0,76882.0,73943.0,73350.0,72829.0,71524.0,68709.0,68850.0,44530.0,62400.0,73210.0,69851.0
2012,68380.0,67286.0,67971.0,68040.0,72971.0,91730.0,100482.0,126600.0,138390.0,91248.0,93255.0,100147.0,90643.0
2013,100318.0,108716.0,115940.0,115191.0,116152.0,121337.0,121643.0,119400.0,90411.0,56952.0,60057.0,60762.0,98935.0
2014,61540.0,66130.0,92562.0,110373.0,110789.0,110179.0,109557.0,169495.0,168056.0,110143.0,105000.0,111286.0,109626.0
2015,115905.0,117188.0,117955.0,126082.0,149522.0,155927.0,164026.0,164160.0,155350.0,100895.0,88038.0,94276.0,129141.0
2016,97650.0,98156.0,97155.0,95210.0,91850.0,80629.0,56857.0,46236.0,46863.0,48560.0,37864.0,48305.0,69967.0
2017,48860.0,48010.0,46555.0,45600.0,43326.0,43810.0,45752.0,45255.0,44924.0,50300.0,75018.0,89537.0,52152.0
2018,91818.0,92711.0,97162.0,97619.0,103300.0,103547.0,104036.0,135291.0,167176.0,155638.0,186500.0,201842.0,127566.0
2019,206136.0,212824.0,220500.0,223545.0,228267.0,285000.0,309704.0,315086.0,231684.0,110429.0,127324.0,127330.0,216955.0
2020,131098.0,133028.0,175250.0,173650.0,180379.0,199873.0,205130.0,206550.0,144105.0,94364.0,104192.0,114676.0,156047.0
