구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996.0,3918.5,5841.0,7763.5,9686.0,11224.0,10368.0,10109.0,9863.0,7862.0,7340.0,5125.0,7077.0,9029.0
1997.0,4620.75,7244.5,9868.25,12492.0,11205.0,8770.0,7540.0,7984.0,9876.0,7212.0,7354.0,9763.0,9009.0
1998.0,11000.0,11018.666666666666,11037.333333333334,11056.0,9860.0,7809.0,8481.0,8266.0,9669.0,8789.0,9039.0,9997.0,9270.0
1999.0,9783.0,9321.0,10178.0,9467.0,9835.0,7365.0,7200.0,6412.0,8057.0,8108.0,9146.0,9662.0,8680.0
2000.0,11012.0,12500.0,11165.0,8087.0,8013.0,8088.0,9121.0,7469.0,8548.0,8283.0,8338.0,8564.0,9092.0
2001.0,10270.0,11325.0,13385.0,12792.0,10171.0,8196.0,7484.0,9259.0,8700.0,7004.0,5888.0,8188.0,9371.0
2002.0,10065.0,11971.0,10572.0,10236.0,10800.0,8135.0,7848.0,7254.0,8378.0,7400.0,7562.0,7746.0,8959.0
2003.0,7996.0,9330.0,11024.0,11556.0,9863.0,7975.0,9296.0,11185.0,9883.0,7881.0,7580.0,7704.0,9267.0
2004.0,9574.0,9642.0,10188.0,9750.0,9400.0,9919.0,11018.0,13343.0,10721.0,8362.0,7505.0,7670.0,9785.0
2005.0,9657.0,10412.0,11218.0,11324.0,10455.0,8448.0,9127.0,9446.0,9559.0,8005.0,8765.0,9736.0,9665.0
2006.0,10855.0,11270.0,12464.0,11520.0,10950.0,9810.0,10080.0,13936.0,8264.0,6658.0,6105.0,7750.0,10014.0
2007.0,10318.0,17484.0,11105.0,11143.0,11971.0,9670.0,10810.0,10982.0,11588.0,11564.0,11582.0,11747.0,11616.0
2008.0,12873.0,13067.0,11943.0,13276.0,11726.0,9200.0,13270.0,12090.0,9200.0,7109.0,6540.0,6990.0,10601.0
2009.0,9468.0,12170.0,17964.0,15818.0,10526.0,9598.0,11870.0,8352.0,8050.0,6724.0,6067.0,10943.0,10678.0
2010.0,14680.0,15295.0,15636.0,17282.0,15505.0,14162.0,13736.0,19273.0,16442.0,10300.0,10736.0,17113.0,15020.0
2011.0,18467.0,16941.0,16938.0,15570.0,14220.0,15568.0,15438.0,16236.0,12160.0,10160.0,10500.0,10124.0,14347.0
2012.0,11110.0,16838.0,20152.0,17390.0,18324.0,14630.0,13127.0,18100.0,15610.0,19438.0,14400.0,12821.0,16032.0
2013.0,14400.0,21221.0,15460.0,15636.0,17057.0,14600.0,17165.0,23043.0,15667.0,8895.0,7000.0,11343.0,15087.0
2014.0,13130.0,16950.0,15010.0,15736.0,16105.0,12084.0,14609.0,11211.0,9000.0,7810.0,7380.0,11771.0,12627.0
2015.0,18019.0,18082.0,15236.0,15945.0,16889.0,13773.0,14139.0,15190.0,12030.0,9000.0,8843.0,17238.0,14456.0
2016.0,21390.0,18517.0,18109.0,16290.0,15820.0,13886.0,15238.0,19927.0,15274.0,12340.0,13864.0,16200.0,16398.0
2017.0,13970.0,17955.0,18345.0,16220.0,17821.0,15462.0,15695.0,17791.0,13371.0,11275.0,9718.0,9537.0,14844.0
2018.0,10686.0,17100.0,18438.0,18781.0,19210.0,15937.0,16905.0,25133.0,22212.0,17610.0,13927.0,16653.0,17650.0
2019.0,22445.0,19659.0,16620.0,17145.0,18462.0,15084.0,17700.0,17105.0,15021.0,16210.0,17924.0,19090.0,17733.0
2020.0,18870.0,19663.0,18845.0,17060.0,15789.0,16133.0,16756.0,20384.0,22145.0,9465.0,7647.0,8324.0,15946.0
