구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,7696.0,7903.0,6116.0,4595.0,3900.0,5059.0,8910.0,11162.0,10443.0,5107.0,5327.0,6509.0,6854.0
1997,5959.0,5932.0,3700.0,3984.0,4993.0,5717.0,10603.0,12909.0,9974.0,4703.0,4145.0,4499.0,6423.0
1998,4896.0,5532.0,4788.0,4509.0,5239.0,4964.0,8595.0,14470.0,11873.0,8525.0,6409.0,6260.0,7168.0
1999,6458.0,4763.0,2882.0,3995.0,4659.0,6846.0,8972.0,20000.0,19165.0,15331.0,7473.0,5685.0,8937.0
2000,5760.0,6030.0,4865.0,5661.0,5221.0,7340.0,13250.0,16392.0,19713.0,7129.0,4571.0,4771.0,8350.0
2001,6067.0,5225.0,4738.0,6654.0,6588.0,8148.0,17784.0,24196.0,14664.0,5896.0,5719.0,6144.0,9456.0
2002,6877.0,5395.0,4114.0,4804.0,6992.0,6800.0,9192.0,20546.0,18974.0,8146.0,8308.0,8150.0,9051.0
2003,8484.0,7835.0,5220.0,4832.0,5629.0,6700.0,10862.0,14785.0,18470.0,9685.0,5616.0,4954.0,8564.0
2004,5596.0,6833.0,5538.0,5063.0,6042.0,7423.0,16600.0,22939.0,16589.0,8643.0,6014.0,4675.0,9166.0
2005,5371.0,6112.0,5436.0,5186.0,5564.0,6457.0,15427.0,24867.0,20573.0,10933.0,6243.0,7336.0,10181.0
2006,9100.0,8815.0,5632.0,6225.0,6220.0,7038.0,13940.0,19845.0,18664.0,5395.0,5643.0,7700.0,9631.0
2007,7377.0,6616.0,4957.0,6338.0,5548.0,6815.0,12743.0,17091.0,23129.0,11550.0,7986.0,7953.0,9699.0
2008,7355.0,7433.0,5171.0,4362.0,5826.0,7845.0,10261.0,20540.0,14143.0,9464.0,5960.0,5614.0,8679.0
2009,7616.0,6595.0,5636.0,7241.0,7153.0,7645.0,12130.0,14305.0,13345.0,8438.0,7914.0,10200.0,9070.0
2010,14920.0,13800.0,9541.0,12318.0,10926.0,12210.0,17627.0,28982.0,40779.0,14800.0,8709.0,7530.0,15799.0
2011,10324.0,11224.0,6955.0,6352.0,11270.0,12095.0,19410.0,26700.0,22960.0,10210.0,6700.0,7471.0,12646.0
2012,11065.0,15714.0,11429.0,9090.0,8676.0,10060.0,17709.0,32745.0,25870.0,10338.0,11255.0,14105.0,14926.0
2013,15650.0,11711.0,6440.0,10945.0,8133.0,10747.0,23983.0,34657.0,33367.0,10152.0,8038.0,7752.0,15065.0
2014,7430.0,6930.0,6376.0,8545.0,8747.0,7747.0,12530.0,22832.0,15822.0,10152.0,8770.0,10038.0,10406.0
2015,11124.0,12465.0,9718.0,11255.0,10567.0,11455.0,15200.0,30790.0,17680.0,8914.0,9743.0,11276.0,13293.0
2016,10990.0,12622.0,10418.0,10200.0,11890.0,12419.0,17886.0,49582.0,35316.0,16706.0,14427.0,11429.0,17918.0
2017,10400.0,8895.0,7936.0,8710.0,8611.0,10076.0,22324.0,38555.0,21219.0,11050.0,10336.0,10368.0,14295.0
2018,11227.0,14900.0,10352.0,12576.0,10430.0,10524.0,22727.0,61809.0,43812.0,13781.0,10473.0,8684.0,19240.0
2019,8945.0,8706.0,7850.0,9027.0,9326.0,11211.0,17548.0,38648.0,32453.0,18362.0,10019.0,9900.0,15183.0
2020,9345.0,9080.0,10188.0,10350.0,10284.0,14386.0,20711.0,39156.0,43377.0,12106.0,9849.0,9711.0,16624.0
