구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,18632.0,19556.0,16947.0,16256.0,11270.0,8178.0,8466.0,6261.0,9316.0,8461.0,16125.0,20183.0,13407.0
1997,20460.0,20687.0,22479.0,19635.0,15836.0,11219.0,9490.0,8295.0,9772.0,12015.0,13189.0,16961.0,14962.0
1998,20421.0,22005.0,24163.0,17185.0,10745.0,6910.0,7277.0,16874.0,9908.0,9332.0,12100.0,17713.0,14533.0
1999,17868.0,18770.0,15498.0,15507.0,9012.0,7123.0,4736.0,14500.0,12125.0,15803.0,17022.0,18615.0,13840.0
2000,20602.0,20348.0,20443.0,15033.0,9200.0,7146.0,5427.0,6658.0,25426.0,7797.0,10314.0,14675.0,13504.0
2001,21774.0,20407.0,20689.0,11433.0,7940.0,9318.0,10899.0,8566.0,8365.0,11480.0,18480.0,20563.0,14125.0
2002,25954.0,24771.0,22136.0,16128.0,14408.0,7326.0,7620.0,16258.0,25078.0,11531.0,18192.0,22950.0,17606.0
2003,27920.0,27122.0,28352.0,17040.0,10954.0,9263.0,10158.0,12346.0,30400.0,12708.0,16392.0,20438.0,18449.0
2004,24261.0,22350.0,21592.0,14208.0,13292.0,11985.0,14355.0,12452.0,16695.0,10938.0,15773.0,16910.0,16284.0
2005,22619.0,25247.0,21755.0,13781.0,8518.0,8471.0,12114.0,17825.0,19773.0,17410.0,15939.0,17009.0,16563.0
2006,24018.0,20070.0,20136.0,14105.0,11305.0,9352.0,18685.0,12955.0,15627.0,8553.0,12790.0,22760.0,15929.0
2007,21918.0,25442.0,18000.0,14343.0,10448.0,10590.0,11248.0,17591.0,30071.0,18382.0,17273.0,17884.0,17549.0
2008,23145.0,19344.0,19371.0,11819.0,8216.0,10240.0,9174.0,14420.0,13067.0,15073.0,18210.0,20057.0,15178.0
2009,27189.0,24260.0,25382.0,13836.0,10547.0,10691.0,14878.0,11324.0,13091.0,11448.0,19038.0,18467.0,16586.0
2010,22730.0,29368.0,32545.0,19773.0,11758.0,11162.0,12845.0,21164.0,42568.0,21200.0,19209.0,18757.0,21737.0
2011,27419.0,24506.0,23136.0,15590.0,15850.0,14643.0,25333.0,27827.0,17300.0,16820.0,26145.0,21819.0,21425.0
2012,29740.0,30657.0,28790.0,17700.0,12571.0,9590.0,12082.0,22736.0,36660.0,16971.0,25209.0,26874.0,22385.0
2013,29773.0,31684.0,22900.0,15973.0,12405.0,17400.0,17930.0,19257.0,20433.0,17571.0,14648.0,20000.0,19914.0
2014,29270.0,28810.0,27581.0,18682.0,12621.0,12800.0,9287.0,18568.0,15167.0,13343.0,21800.0,25467.0,19445.0
2015,28305.0,34388.0,22518.0,19200.0,10933.0,10755.0,13339.0,16680.0,15780.0,13371.0,21162.0,28181.0,19368.0
2016,31070.0,32878.0,25755.0,14400.0,11180.0,12848.0,14390.0,17882.0,30442.0,23780.0,20482.0,21390.0,21181.0
2017,29720.0,21880.0,17818.0,13020.0,10895.0,12086.0,21076.0,31827.0,27743.0,14113.0,13494.0,19053.0,19569.0
2018,30582.0,32389.0,30010.0,19362.0,19150.0,13216.0,12236.0,22227.0,33212.0,17990.0,24882.0,23358.0,23027.0
2019,25082.0,20929.0,17510.0,12773.0,12890.0,14695.0,13770.0,23543.0,24295.0,19029.0,14733.0,20305.0,18197.0
2020,32240.0,31198.0,27132.0,15140.0,14137.0,14625.0,18268.0,42685.0,33678.0,14328.0,15743.0,23911.0,23568.0
