구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,3488.0,3521.0,3632.0,3389.0,3144.0,3436.0,3868.0,4232.0,4158.0,3015.0,2406.0,2474.0,3361.0
1997,2337.0,2424.0,2548.0,3822.0,4416.0,5130.0,4055.0,4654.0,4883.0,3553.0,3281.0,3493.0,3715.0
1998,3254.0,3190.0,3634.0,5663.0,7179.0,4544.0,2590.0,3556.0,5940.0,6311.0,5739.0,5716.0,4784.0
1999,6442.0,7381.0,7300.0,6854.0,4954.0,2343.0,2282.0,4572.0,4793.0,4803.0,6280.0,6693.0,5351.0
2000,6758.0,7454.0,7330.0,6363.0,6926.0,4301.0,3713.0,3372.0,4296.0,4903.0,4473.0,3509.0,5266.0
2001,3186.0,2747.0,2783.0,2574.0,2913.0,4206.0,3923.0,5804.0,6203.0,3901.0,2168.0,1987.0,3550.0
2002,2001.0,1941.0,2213.0,2701.0,2449.0,3147.0,2341.0,2644.0,3765.0,3826.0,5025.0,8613.0,3390.0
2003,9484.0,8665.0,7924.0,6156.0,4850.0,2550.0,2675.0,3412.0,4556.0,7568.0,6124.0,4751.0,5713.0
2004,4437.0,4979.0,5633.0,5917.0,5997.0,5888.0,7641.0,15887.0,7284.0,4309.0,2978.0,2488.0,6148.0
2005,2806.0,3179.0,3193.0,3639.0,4918.0,3680.0,4343.0,5213.0,6523.0,7114.0,6083.0,6918.0,4848.0
2006,6035.0,5431.0,4177.0,4180.0,5855.0,4112.0,3288.0,7073.0,6714.0,4862.0,2514.0,2559.0,4762.0
2007,2625.0,2857.0,3632.0,5533.0,5133.0,3120.0,3790.0,3628.0,5565.0,10050.0,10782.0,10653.0,5625.0
2008,7918.0,7189.0,7362.0,5667.0,4342.0,3235.0,3370.0,4211.0,4062.0,3201.0,3486.0,3615.0,4788.0
2009,4442.0,4900.0,5373.0,7095.0,9921.0,7705.0,5274.0,4814.0,4573.0,3757.0,2982.0,3606.0,5355.0
2010,4280.0,4213.0,3801.0,4500.0,9247.0,13876.0,5094.0,6545.0,15937.0,18210.0,15100.0,12670.0,9445.0
2011,12238.0,11259.0,7909.0,5929.0,3915.0,3052.0,3890.0,8962.0,9865.0,7700.0,4755.0,4462.0,6926.0
2012,5590.0,6357.0,8133.0,8580.0,16238.0,7670.0,5877.0,8223.0,8620.0,9834.0,9373.0,12163.0,8870.0
2013,12809.0,11847.0,8215.0,6209.0,6971.0,5084.0,5496.0,12105.0,9989.0,5919.0,5229.0,5071.0,7870.0
2014,5010.0,4185.0,3973.0,3786.0,4028.0,4121.0,5263.0,5089.0,4641.0,4502.0,4455.0,4922.0,4501.0
2015,5000.0,5818.0,6127.0,5845.0,8650.0,9827.0,6904.0,6965.0,6710.0,5071.0,3929.0,3690.0,6202.0
2016,5225.0,6756.0,7327.0,10413.0,12265.0,6781.0,5943.0,6009.0,9337.0,10540.0,14064.0,15000.0,9158.0
2017,13570.0,13060.0,10855.0,5315.0,4263.0,3696.0,4605.0,10605.0,11476.0,8444.0,7418.0,7789.0,8451.0
2018,8226.0,7939.0,7110.0,5957.0,5565.0,4751.0,7676.0,16239.0,10659.0,9933.0,7564.0,6284.0,8203.0
2019,5598.0,4820.0,4505.0,4205.0,5559.0,5411.0,5557.0,4657.0,4200.0,6910.0,9562.0,11335.0,6038.0
2020,12960.0,11840.0,10998.0,14700.0,9426.0,5166.0,5385.0,9079.0,13033.0,17068.0,12744.0,7646.0,10711.0
