구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,7601.0,8279.0,9759.0,15392.0,16230.0,14454.0,13486.0,13826.0,16716.0,17397.0,17257.0,17519.0,14145.0
1997,19764.0,23039.0,19347.0,17185.0,6533.0,7054.0,8191.0,11946.0,14075.0,14121.0,14167.0,14291.0,14082.0
1998,13948.0,14424.0,15818.0,16033.0,9431.0,9109.0,8338.0,9366.0,11335.0,12551.0,13758.0,13644.0,12351.0
1999,15358.0,20118.0,19240.0,18379.0,13106.0,7618.0,6154.0,7909.0,8779.0,8972.0,9058.0,9186.0,11676.0
2000,9581.0,10320.0,14875.0,18634.0,12327.0,7718.0,8182.0,9205.0,10197.0,10692.0,12657.0,13552.0,11433.0
2001,13734.0,14062.0,14422.0,8752.0,5150.0,6573.0,7155.0,7003.0,7630.0,8753.0,8969.0,9000.0,9239.0
2002,9000.0,8869.0,7834.0,6462.0,5755.0,6661.0,6966.0,7309.0,8529.0,9035.0,9440.0,10758.0,8046.0
2003,15485.0,21087.0,34746.0,31607.0,13972.0,10373.0,12003.0,14612.0,17167.0,17472.0,17789.0,18411.0,18414.0
2004,17765.0,17693.0,17129.0,15329.0,9187.0,8080.0,8647.0,11042.0,12223.0,11859.0,11885.0,11850.0,12720.0
2005,11954.0,15207.0,18631.0,20939.0,11489.0,8493.0,7745.0,8357.0,9553.0,9851.0,9833.0,9898.0,11494.0
2006,10189.0,12008.0,17091.0,17523.0,13568.0,8964.0,11704.0,14691.0,16205.0,18337.0,21029.0,24634.0,15449.0
2007,22118.0,20326.0,14044.0,15765.0,6434.0,6922.0,6568.0,7225.0,8864.0,9245.0,9756.0,10067.0,11253.0
2008,10331.0,10571.0,10434.0,14579.0,11836.0,12998.0,15257.0,15536.0,15552.0,16447.0,18604.0,19650.0,14365.0
2009,20806.0,26110.0,27755.0,22718.0,16221.0,9945.0,10355.0,12400.0,13176.0,13410.0,13371.0,12371.0,16465.0
2010,12060.0,13164.0,18282.0,30100.0,19189.0,12543.0,15398.0,17685.0,18768.0,18400.0,18755.0,18548.0,17832.0
2011,21190.0,27059.0,22127.0,12152.0,9710.0,11476.0,13600.0,15009.0,15200.0,15740.0,15536.0,14524.0,15982.0
2012,13860.0,13486.0,12189.0,11140.0,15295.0,16790.0,17918.0,19891.0,21000.0,22771.0,25055.0,26432.0,17990.0
2013,28164.0,35211.0,40460.0,49755.0,34495.0,18947.0,15504.0,16600.0,18633.0,19200.0,19667.0,17610.0,26223.0
2014,16200.0,15480.0,13731.0,12718.0,12335.0,9958.0,9118.0,9949.0,10529.0,10486.0,10400.0,10400.0,11770.0
2015,10400.0,11271.0,13155.0,12973.0,15033.0,16964.0,22991.0,27710.0,27990.0,28343.0,31876.0,34343.0,21198.0
2016,33450.0,32633.0,32155.0,31262.0,14680.0,14495.0,14133.0,16355.0,18421.0,19450.0,20564.0,21219.0,22016.0
2017,24690.0,26720.0,28300.0,24530.0,20400.0,21390.0,24067.0,25582.0,25590.0,24913.0,24945.0,24411.0,24671.0
2018,23895.0,22489.0,18133.0,15724.0,16700.0,13995.0,13302.0,15382.0,15600.0,14390.0,13986.0,13211.0,16387.0
2019,12304.0,12104.0,13463.0,17359.0,13152.0,9700.0,8452.0,9990.0,10774.0,10410.0,12100.0,14970.0,12070.0
2020,18578.0,22008.0,23468.0,22900.0,20063.0,14022.0,16054.0,20492.0,23636.0,23749.0,25540.0,27366.0,21425.0
