구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
2000,6780.0,5788.0,4564.0,3304.0,4609.0,4090.0,6865.0,6024.0,13207.0,7245.0,4413.0,5640.0,6003.0
2001,8772.0,8510.0,6909.0,5284.0,4828.0,7895.0,14480.0,8335.0,6405.0,5885.0,8418.0,9350.0,7942.0
2002,9808.0,6893.0,4690.0,4408.0,5155.0,5761.0,9790.0,22365.0,16804.0,8962.0,12654.0,11708.0,9981.0
2003,18430.0,8696.0,8410.0,6347.0,7922.0,6922.0,11000.0,10692.0,26793.0,16298.0,7955.0,8962.0,11483.0
2004,7217.0,6792.0,8034.0,8104.0,8656.0,6774.0,20674.0,13870.0,16439.0,10794.0,6492.0,6333.0,9849.0
2005,8619.0,7902.0,6970.0,6889.0,6439.0,5786.0,18758.0,21556.0,18303.0,18365.0,9775.0,13924.0,12116.0
2006,22167.0,8583.0,7303.0,7733.0,6950.0,6421.0,16417.0,15561.0,13182.0,9509.0,11540.0,16300.0,11880.0
2007,12606.0,7140.0,6921.0,7976.0,6524.0,6100.0,10508.0,16000.0,30549.0,21955.0,8045.0,9246.0,11791.0
2008,8864.0,7731.0,5540.0,7929.0,8404.0,7517.0,10710.0,18300.0,10460.0,11409.0,12117.0,15000.0,10352.0
2009,19807.0,11867.0,10333.0,8894.0,7544.0,8591.0,21319.0,13524.0,8485.0,9540.0,15254.0,22460.0,13132.0
2010,29450.0,12105.0,15152.0,12636.0,10930.0,10810.0,15576.0,31932.0,60263.0,16238.0,10727.0,7696.0,19084.0
2011,10110.0,9394.0,9427.0,9610.0,14170.0,10133.0,36105.0,30745.0,17930.0,15050.0,14136.0,20000.0,16543.0
2012,21500.0,13467.0,13476.0,11590.0,12143.0,10750.0,20073.0,32055.0,56850.0,19543.0,16200.0,17432.0,20399.0
2013,21636.0,14474.0,9745.0,12091.0,11105.0,13674.0,27113.0,26962.0,27100.0,23829.0,13819.0,13695.0,17987.0
2014,12370.0,10700.0,10648.0,12682.0,11916.0,11968.0,16565.0,28453.0,26233.0,16048.0,19510.0,26162.0,16824.0
2015,25819.0,19082.0,11791.0,15382.0,13333.0,12927.0,21678.0,25610.0,22420.0,16790.0,21733.0,39314.0,20494.0
2016,26460.0,19056.0,17400.0,13800.0,16442.0,15790.0,33676.0,31545.0,36326.0,37500.0,20118.0,13248.0,23389.0
2017,13720.0,11230.0,10900.0,12560.0,13189.0,11086.0,35895.0,47491.0,27505.0,14363.0,15309.0,18621.0,19630.0
2018,23200.0,19211.0,13019.0,14010.0,15350.0,11908.0,24436.0,34024.0,61071.0,21648.0,12536.0,14200.0,21646.0
2019,13768.0,10988.0,11640.0,12609.0,14300.0,13716.0,19287.0,34829.0,35832.0,39019.0,20486.0,20250.0,20615.0
2020,27578.0,11834.0,11902.0,10265.0,12958.0,17636.0,29818.0,49308.0,30401.0,11982.0,11180.0,17630.0,20293.0
