구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996.0,13271.666666666666,24547.333333333332,35823.0,32576.0,28460.0,20531.0,18009.0,17361.0,9737.0,9608.0,9330.0,14667.0,20004.0
1997.0,14641.333333333334,27285.666666666668,39930.0,36532.0,26297.0,17906.0,12600.0,13496.0,13294.0,11096.0,10818.0,11330.0,18656.0
1998.0,17049.0,32100.0,47151.0,40031.0,29069.0,18343.0,14741.0,13542.0,15351.0,14023.0,16701.0,19379.0,22057.0
1999.0,14721.666666666666,27444.333333333332,40167.0,37317.0,30562.0,12487.0,10332.0,12640.0,11588.0,11427.0,14067.666666666666,16708.333333333332,19349.0
2000.0,12118.333333333334,22236.666666666668,32355.0,28539.0,20839.0,20144.0,13789.0,12133.0,10666.0,12756.5,14847.0,16937.5,19028.0
2001.0,18722.666666666668,35444.333333333336,52166.0,39989.0,21800.0,19061.0,14208.0,14211.0,13749.0,12931.0,15525.0,18119.0,20713.0
2002.0,11539.0,21076.0,30613.0,40150.0,32144.0,25664.0,15088.0,17872.0,17265.0,13819.0,14202.0,18405.0,22608.0
2003.0,15255.0,28507.0,41759.0,44299.0,28283.0,21662.0,21682.0,25164.0,18365.0,17487.0,19330.0,23118.0,26906.0
2004.0,20254.666666666668,38505.333333333336,56756.0,41094.0,30061.0,24631.0,20909.0,22063.0,19376.0,15624.0,16859.0,22462.0,28065.0
2005.0,20429.333333333332,38853.666666666664,57278.0,56698.0,28940.0,18832.0,19067.0,15989.0,15448.0,13965.0,14744.0,19549.0,24354.0
2006.0,12134.25,22262.5,32390.75,42519.0,33786.0,25137.0,20674.0,29273.0,14576.0,8463.0,7786.0,15708.0,23630.0
2007.0,13097.25,24187.5,35277.75,46368.0,39498.0,26434.0,23029.0,21405.0,20612.0,16177.0,16293.0,21709.0,27125.0
2008.0,11737.0,21466.0,31195.0,40924.0,37741.0,25253.0,25971.0,22467.0,20648.0,17828.0,20787.0,23746.0,26705.0
2009.0,15547.0,29085.0,42623.0,56161.0,31537.0,28218.0,23414.0,23980.0,25218.0,16133.0,13066.0,20361.5,27657.0
2010.0,19081.25,36152.5,53223.75,70295.0,50245.0,31917.0,30491.0,31969.0,30849.0,21789.0,20400.0,26977.0,33554.0
2011.0,11735.0,21459.0,31183.0,40907.0,38153.0,36714.0,29251.0,30509.0,22046.0,19498.0,23306.333333333332,27114.666666666668,30923.0
2012.0,17839.0,33666.0,49493.0,65320.0,48305.0,31960.0,24464.0,28618.0,28420.0,30908.0,32563.666666666668,34219.333333333336,35875.0
2013.0,23237.333333333332,44461.666666666664,65686.0,58164.0,38400.0,35874.0,28800.0,30000.0,30444.0,24943.0,29291.333333333332,33639.666666666664,37988.0
2014.0,21190.333333333332,40366.666666666664,59543.0,73336.0,40874.0,31747.0,25974.0,21274.0,22920.0,27480.25,32040.5,36600.75,41161.0
2015.0,20994.666666666668,39974.333333333336,58954.0,62982.0,46311.0,34555.0,23661.0,25760.0,24160.0,27700.5,31241.0,34781.5,38322.0
2016.0,25775.0,49534.0,73293.0,62960.0,35480.0,32181.0,25400.0,26100.0,33255.0,34974.75,36694.5,38414.25,40134.0
2017.0,18732.333333333332,35447.666666666664,52163.0,48740.0,46105.0,30286.0,21143.0,25455.0,27565.0,29455.0,31345.0,33235.0,35125.0
2018.0,25007.666666666668,47997.333333333336,70987.0,68010.0,43140.0,44221.0,29303.0,35664.0,37985.4,40306.8,42628.2,44949.6,47271.0
2019.0,21712.666666666668,41406.333333333336,61100.0,59745.0,42486.0,34674.0,24270.0,36790.0,31723.0,33907.75,36092.5,38277.25,40462.0
2020.0,26093.333333333332,50166.666666666664,74240.0,55910.0,41505.0,42632.0,29212.0,49751.0,70438.0,64834.5,59231.0,53627.5,48024.0
