구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,92043.0,88997.0,87447.0,87616.0,89277.0,94563.0,97932.0,99039.0,97260.0,95105.0,89660.0,86968.0,92080.0
1997,83467.0,78429.0,72436.0,70642.0,70148.0,69490.0,68416.0,67999.0,65806.0,64969.0,66677.0,66209.0,70319.0
1998,67960.0,70800.0,72942.0,73316.0,74133.0,75210.0,78319.0,80371.0,81071.0,81393.0,90103.0,93995.0,78473.0
1999,100191.0,106267.0,110232.0,111600.0,115270.0,118400.0,125976.0,126962.0,127217.0,128231.0,133985.0,130792.0,120049.0
2000,126256.0,126200.0,125715.0,125600.0,125800.0,129080.0,129467.0,129092.0,124139.0,118067.0,117592.0,108816.0,123785.0
2001,101957.0,95875.0,93885.0,91575.0,89142.0,90544.0,90896.0,89667.0,89000.0,89000.0,89000.0,89000.0,91548.0
2002,89000.0,90190.0,91504.0,91712.0,99272.0,107600.0,108480.0,105062.0,99739.0,100600.0,103908.0,103083.0,99233.0
2003,104600.0,108652.0,114960.0,122640.0,124750.0,128200.0,130862.0,129962.0,123487.0,127846.0,136160.0,139231.0,124478.0
2004,144522.0,151542.0,170115.0,194500.0,230667.0,263769.0,225227.0,211217.0,179737.0,162571.0,149091.0,148450.0,187361.0
2005,149857.0,157329.0,168809.0,164410.0,157864.0,151476.0,141800.0,128879.0,124900.0,122114.0,121913.0,114859.0,141464.0
2006,105643.0,102400.0,99318.0,97970.0,93000.0,93429.0,93800.0,93709.0,89723.0,85379.0,80705.0,82765.0,93262.0
2007,82855.0,85147.0,84200.0,83438.0,84229.0,85590.0,84714.0,84291.0,83929.0,95791.0,125682.0,128200.0,92348.0
2008,131582.0,151306.0,173652.0,177800.0,165200.0,152900.0,149139.0,148500.0,146000.0,142364.0,124550.0,120000.0,148406.0
2009,120421.0,124400.0,129286.0,129900.0,129758.0,129600.0,129926.0,130110.0,130245.0,130148.0,128762.0,128071.0,128487.0
2010,131620.0,135089.0,142473.0,149917.0,155992.0,168486.0,172505.0,169782.0,165179.0,189343.0,220818.0,235270.0,170825.0
2011,245962.0,249224.0,251486.0,253742.0,253539.0,250702.0,247799.0,243985.0,239916.0,215092.0,195318.0,186190.0,235796.0
2012,181200.0,183000.0,183895.0,190275.0,194171.0,195300.0,195400.0,195400.0,195400.0,197657.0,208636.0,215421.0,194608.0
2013,218000.0,220895.0,221000.0,221000.0,221667.0,221421.0,221826.0,220000.0,220000.0,205981.0,181771.0,160790.0,211042.0
2014,151710.0,144980.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,137571.0,139900.0,139048.0,142234.0
2015,139190.0,140000.0,136091.0,136000.0,137500.0,139000.0,139000.0,138100.0,137000.0,138333.0,145781.0,147876.0,139487.0
2016,148940.0,149556.0,150000.0,150000.0,150000.0,150000.0,151048.0,152000.0,152053.0,152000.0,170145.0,185448.0,155298.0
2017,178000.0,173550.0,172000.0,172000.0,171779.0,170619.0,171181.0,171800.0,172181.0,173200.0,165264.0,163442.0,171212.0
2018,164000.0,165811.0,172476.0,176095.0,179280.0,181526.0,180800.0,177709.0,178118.0,183714.0,189009.0,186526.0,177961.0
2019,184218.0,184259.0,187660.0,190655.0,194962.0,197568.0,197852.0,198200.0,198011.0,196733.0,188810.0,180430.0,191711.0
2020,178600.0,178495.0,178805.0,179050.0,179737.0,182845.0,185374.0,184790.0,188171.0,189516.0,203514.0,216124.0,187171.0
