구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996.0,5596.333333333334,9196.666666666668,12797.0,12922.0,12529.0,12838.0,14720.0,16623.0,20269.0,24667.0,21401.0,18135.0,14869.0
1997.0,9026.333333333332,16055.666666666666,23085.0,22611.0,14330.0,9329.0,7007.0,9751.0,13650.0,15815.0,15086.0,14357.0,13628.0
1998.0,7924.666666666667,13851.333333333334,19778.0,20735.0,18622.0,13949.0,12228.0,13668.0,14465.0,14314.0,14762.666666666666,15211.333333333334,15660.0
1999.0,8664.333333333332,15329.666666666666,21995.0,18692.0,16562.0,9856.0,8069.0,9908.0,12997.0,15959.0,17467.0,15583.0,13699.0
2000.0,6293.0,10586.0,14879.0,11522.0,8239.0,8821.0,11272.0,16800.0,17867.0,16431.75,14996.5,13561.25,12126.0
2001.0,8916.333333333332,15831.666666666666,22747.0,19756.0,13583.0,11483.0,11792.0,15822.0,17744.0,18440.0,17518.333333333332,16596.666666666668,15675.0
2002.0,7504.5,13007.0,18509.5,24012.0,22923.0,14736.0,10565.0,13426.0,19664.0,21698.0,21067.0,17728.0,18247.0
2003.0,17792.0,21087.0,24600.0,20832.0,18475.0,13750.0,23408.0,30554.0,23217.0,31192.0,30016.0,24900.0,23439.0
2004.0,27957.0,33592.0,35623.0,30108.0,22042.0,15677.0,13982.0,19270.0,31011.0,28990.0,16218.0,16590.0,24350.0
2005.0,19505.0,24212.0,29709.0,29171.0,19845.0,12343.0,18582.0,20033.0,20545.0,20238.0,18365.0,18182.0,20822.0
2006.0,19082.0,24570.0,28609.0,24490.0,19870.0,13943.0,14350.0,23173.0,29827.0,19568.0,14790.0,17090.0,20875.0
2007.0,20991.0,28168.0,29143.0,27267.0,18905.0,11340.0,11705.0,10973.0,23071.0,33264.0,29455.0,29305.0,22759.0
2008.0,21682.0,20622.0,24674.0,23486.0,18568.0,12410.0,15687.0,18970.0,19790.0,21318.0,16420.0,19657.0,19462.0
2009.0,24453.0,30670.0,31645.0,29045.0,19663.0,13636.0,12948.0,18571.0,21055.0,18714.0,17305.0,23533.0,21693.0
2010.0,27820.0,27926.0,31109.0,32227.0,28263.0,19038.0,19009.0,21009.0,34537.0,46848.0,42845.0,36809.0,30662.0
2011.0,35257.0,32388.0,32820.0,32202.0,21970.0,19571.0,21543.0,31609.0,33280.0,40820.0,24155.0,28562.0,29438.0
2012.0,34330.0,40219.0,43648.0,41390.0,30981.0,18100.0,14036.0,19145.0,38190.0,44857.0,29991.0,26905.0,31707.0
2013.0,30464.0,34558.0,33090.0,33509.0,21752.0,17021.0,24235.0,29276.0,31311.0,28933.0,29048.0,32095.0,28764.0
2014.0,35400.0,36820.0,35543.0,32836.0,23158.0,15274.0,14243.0,15737.0,23200.0,24629.0,21030.0,23438.0,25175.0
2015.0,27390.0,29541.0,30155.0,31555.0,23522.0,17509.0,19270.0,18100.0,25460.0,21229.0,16867.0,21171.0,23398.0
2016.0,28110.0,31200.0,37582.0,31030.0,17620.0,13819.0,15762.0,18500.0,30337.0,37020.0,30091.0,39810.0,27507.0
2017.0,36010.0,36650.0,31564.0,25200.0,21211.0,17867.0,15390.0,29882.0,38762.0,26650.0,24664.0,22926.0,27280.0
2018.0,22155.0,24033.0,25333.0,27810.0,23110.0,19632.0,21427.0,20955.0,43929.0,42133.0,33509.0,30474.0,27670.0
2019.0,29473.0,28729.0,32116.0,28618.0,19448.0,18005.0,17522.0,20457.0,26895.0,29448.0,33352.0,31580.0,26233.0
2020.0,32818.0,37190.0,43750.0,42140.0,23679.0,17539.0,23860.0,29638.0,50354.0,50018.0,35261.0,29929.0,34514.0
