구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,142765.0,141368.0,139082.0,137803.0,132980.0,125754.0,119101.0,113937.0,108876.0,107828.0,106697.0,105369.0,122719.0
1997,104623.0,103276.0,100691.0,99606.0,96652.0,92362.0,88213.0,87669.0,87183.0,93140.0,110864.0,116934.0,98435.0
1998,136709.0,157170.0,153736.0,145480.0,145307.0,145762.0,147157.0,147261.0,150527.0,150512.0,144502.0,145308.0,147557.0
1999,147765.0,149343.0,152760.0,154742.0,155270.0,157800.0,157800.0,157800.0,158670.0,160069.0,161569.0,164415.0,156722.0
2000,170800.0,173000.0,173000.0,171174.0,169792.0,169000.0,167333.0,163077.0,159609.0,158333.0,162692.0,150640.0,165670.0
2001,147000.0,147875.0,147154.0,147000.0,147000.0,147000.0,147000.0,146926.0,145240.0,148458.0,147000.0,141080.0,146550.0
2002,139192.0,138619.0,137560.0,135040.0,130640.0,130000.0,129440.0,125423.0,121913.0,122808.0,132108.0,133892.0,131333.0
2003,152160.0,169348.0,178640.0,196560.0,201500.0,203917.0,204923.0,204031.0,209150.0,223008.0,227040.0,219115.0,199408.0
2004,204217.0,202933.0,203600.0,205350.0,208975.0,201415.0,180955.0,170304.0,160579.0,161476.0,171318.0,169950.0,188137.0
2005,162000.0,158765.0,158091.0,159762.0,158818.0,154571.0,147591.0,138708.0,138318.0,140667.0,151739.0,158909.0,152066.0
2006,158000.0,158150.0,158068.0,156800.0,150780.0,150305.0,150000.0,150045.0,151455.0,151947.0,146952.0,146050.0,152416.0
2007,150636.0,163000.0,166810.0,165762.0,163286.0,162400.0,161762.0,161055.0,164600.0,191091.0,256545.0,235263.0,178657.0
2008,227227.0,246389.0,256333.0,260000.0,253263.0,253100.0,257391.0,262400.0,262905.0,229091.0,182700.0,179429.0,239121.0
2009,178105.0,177100.0,177455.0,175773.0,175000.0,175227.0,176000.0,176000.0,176000.0,175514.0,170810.0,167857.0,175062.0
2010,167600.0,168000.0,168545.0,169518.0,172842.0,178667.0,178227.0,178000.0,178337.0,197524.0,297636.0,336391.0,201094.0
2011,344952.0,345647.0,345000.0,345301.0,341432.0,338078.0,336142.0,336530.0,337683.0,342050.0,342727.0,342000.0,341407.0
2012,340300.0,343333.0,367619.0,392500.0,402190.0,414550.0,416591.0,419455.0,438600.0,440714.0,458682.0,459737.0,407908.0
2013,448682.0,447632.0,451410.0,455418.0,458000.0,457558.0,455200.0,455200.0,453756.0,404448.0,250981.0,231857.0,413566.0
2014,231000.0,231000.0,231000.0,231000.0,230368.0,229000.0,232304.0,234105.0,240833.0,234810.0,207450.0,192667.0,226967.0
2015,190381.0,187000.0,185318.0,180855.0,177444.0,177000.0,177000.0,177000.0,180600.0,178810.0,177190.0,177619.0,180443.0
2016,180700.0,183556.0,184000.0,184200.0,188000.0,192381.0,205333.0,204000.0,211684.0,225680.0,367109.0,447571.0,232768.0
2017,453800.0,463360.0,498636.0,543850.0,561421.0,574381.0,581286.0,607955.0,624905.0,555938.0,325091.0,330632.0,510095.0
2018,342227.0,341800.0,337600.0,336733.0,335700.0,324884.0,314427.0,325800.0,347459.0,365333.0,405082.0,456547.0,352374.0
2019,455409.0,452576.0,454000.0,454927.0,456200.0,455116.0,448913.0,445819.0,440253.0,435629.0,396571.0,354250.0,437568.0
2020,341000.0,338958.0,336220.0,337000.0,338474.0,347545.0,353148.0,355400.0,365095.0,382979.0,453448.0,479800.0,369295.0
