구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,43265.0,67506.0,48148.0,40651.0,28378.0,22624.0,19205.0,16565.0,21465.0,17862.0,19570.0,29506.0,30667.0
1997,54908.0,59536.0,60800.0,46211.0,28969.0,27432.0,19725.0,15308.0,14907.0,21349.0,34189.0,40926.0,35196.0
1998,36753.0,33087.0,48580.0,29209.0,25540.0,17601.0,15912.0,18970.0,25004.0,19924.0,23524.0,25596.0,26667.0
1999,28417.0,39562.0,35096.0,36775.0,26217.0,21469.0,15320.0,21554.0,26087.0,26115.0,28108.0,42800.0,28815.0
2000,46192.0,40583.0,30308.0,17922.0,20750.0,20488.0,18133.0,17092.0,30904.0,21342.0,19354.0,21576.0,25319.0
2001,33783.0,58408.0,60646.0,24283.0,22025.0,20808.0,26680.0,26526.0,24192.0,16292.0,17492.0,22664.0,29489.0
2002,41738.0,61543.0,48504.0,27312.0,38232.0,23617.0,17888.0,22438.0,28922.0,21008.0,46131.0,61683.0,36250.0
2003,46728.0,44287.0,57648.0,26288.0,31558.0,22725.0,24646.0,24408.0,32591.0,28631.0,29272.0,30754.0,33184.0
2004,39635.0,45050.0,44908.0,29700.0,29758.0,28208.0,29364.0,28713.0,32095.0,31724.0,35736.0,36320.0,34364.0
2005,39057.0,57494.0,54818.0,40810.0,29245.0,24819.0,27291.0,21367.0,30064.0,26676.0,26296.0,32264.0,33622.0
2006,62027.0,81420.0,69691.0,41210.0,43100.0,31248.0,37130.0,43082.0,44100.0,19895.0,22848.0,37120.0,44696.0
2007,39764.0,49189.0,43581.0,34724.0,31076.0,25940.0,26267.0,26073.0,41188.0,38336.0,52691.0,66621.0,39348.0
2008,68018.0,62956.0,51476.0,34181.0,32274.0,26810.0,25287.0,22620.0,19962.0,23836.0,31500.0,34990.0,35969.0
2009,56568.0,86610.0,75755.0,41545.0,40211.0,30845.0,34070.0,29448.0,29318.0,25810.0,39429.0,49410.0,44604.0
2010,48470.0,73884.0,101164.0,63773.0,48000.0,35381.0,33127.0,28545.0,57779.0,47590.0,54245.0,35852.0,52098.0
2011,39802.0,46400.0,63545.0,29838.0,36210.0,35476.0,52010.0,49473.0,43010.0,42810.0,41355.0,50467.0,44295.0
2012,63630.0,88905.0,88762.0,47970.0,52390.0,33400.0,33118.0,38973.0,59550.0,44686.0,52900.0,63432.0,55484.0
2013,70909.0,86295.0,67700.0,40173.0,37210.0,37958.0,39357.0,36648.0,38500.0,24857.0,31486.0,34276.0,45205.0
2014,70760.0,84030.0,77438.0,56509.0,45811.0,35958.0,36096.0,41558.0,53867.0,36838.0,62660.0,60971.0,55207.0
2015,57867.0,107635.0,76627.0,52336.0,51500.0,39518.0,32330.0,24760.0,25900.0,21286.0,31429.0,40314.0,45923.0
2016,46870.0,80789.0,49082.0,42500.0,43240.0,34819.0,47943.0,62073.0,82126.0,47240.0,65245.0,53781.0,54308.0
2017,68880.0,60010.0,53800.0,51450.0,48716.0,40076.0,44990.0,47764.0,61048.0,33663.0,37682.0,30895.0,48518.0
2018,53345.0,84022.0,58571.0,40771.0,41200.0,36842.0,49087.0,53500.0,67471.0,41400.0,35791.0,31095.0,48966.0
2019,40891.0,61941.0,68650.0,39827.0,44000.0,39211.0,41304.0,58352.0,57442.0,50629.0,50343.0,34540.0,48572.0
2020,65250.0,84035.0,62178.0,47785.0,40602.0,42578.0,45886.0,51334.0,92749.0,63283.0,49019.0,30745.0,56148.0
