연월,감자_true,감자_pred
2001_7,14440.001,15287.27
2001_8,12672.001,16862.408
2001_9,13726.001,18189.955
2001_10,13856.002,16931.613
2001_11,13750.0,17174.568
2001_12,13699.999,15569.188
2002_1,14720.0,15886.466
2002_2,15462.002,16331.077
2002_3,15419.0,16795.521
2002_4,14472.0,17390.506
2002_5,21192.0,18006.707
2002_6,20768.002,19846.639
2002_7,12374.0,21888.176
2002_8,11167.999,21780.799
2002_9,12131.0,18172.121
2002_10,13087.0,16068.112
2002_11,12600.001,14597.738
2002_12,12615.001,13233.313
2003_1,12674.999,13756.189
2003_2,20039.0,14320.679
2003_3,21935.0,15942.77
2003_4,23700.0,18674.723
2003_5,25928.0,22788.506
2003_6,22000.0,27545.582
2003_7,15425.0,27263.57
2003_8,15859.0,23166.055
2003_9,18644.002,18378.184
2003_10,23774.0,20037.428
2003_11,28077.0,23034.281
2003_12,34474.0,26536.17
2004_1,39600.0,32414.432
2004_2,39683.0,36118.37
2004_3,49296.0,38162.418
2004_4,52431.0,38715.746
2004_5,47192.0,35630.016
2004_6,27212.998,35942.13
2004_7,16738.0,22366.615
2004_8,15535.0,20186.535
2004_9,20522.0,19065.1
2004_10,24937.0,19155.986
2004_11,26781.0,24684.545
2004_12,24273.0,27390.967
2005_1,23538.0,29168.193
2005_2,24771.0,26030.188
2005_3,27511.998,24521.447
2005_4,25981.998,26951.62
2005_5,26181.0,28427.447
2005_6,25177.0,27758.209
2005_7,12338.0,25953.746
2005_8,10014.0,22487.537
2005_9,12958.001,16196.716
2005_10,12909.002,13690.287
2005_11,11457.001,14795.001
2005_12,10832.999,12591.477
2006_1,13396.999,13168.223
2006_2,13859.001,13528.8955
2006_3,13330.002,13398.527
2006_4,12950.0,13726.927
2006_5,22940.0,15034.661
2006_6,22485.002,17830.496
2006_7,13156.001,20619.604
2006_8,11497.001,22016.164
2006_9,17855.002,18219.803
2006_10,21955.0,17198.328
2006_11,22042.0,19374.303
2006_12,20752.0,20684.924
2007_1,25625.0,25366.959
2007_2,25682.0,25647.371
2007_3,26147.0,27405.76
2007_4,21357.002,29323.23
2007_5,21156.0,25611.512
2007_6,19876.0,23475.805
2007_7,14021.001,21664.797
2007_8,15707.0,22139.238
2007_9,18145.002,19858.145
2007_10,19129.0,20172.701
2007_11,21155.002,20713.832
2007_12,21355.002,22601.533
2008_1,23442.0,24646.906
2008_2,32326.998,26000.41
2008_3,43639.0,28849.22
2008_4,36224.0,36187.984
2008_5,35914.0,40118.777
2008_6,35600.0,36472.812
2008_7,18355.0,24386.176
2008_8,14752.0,27913.264
2008_9,16290.0,22041.703
2008_10,16429.0,17521.846
2008_11,15000.0,20962.393
2008_12,14230.0,19494.916
2009_1,16089.002,18991.637
2009_2,22509.0,18883.535
2009_3,26989.998,20313.91
2009_4,29882.0,23725.283
2009_5,50027.0,29606.857
2009_6,40295.0,37374.926
2009_7,20309.002,41891.36
2009_8,17991.0,36058.445
2009_9,20133.0,19430.475
2009_10,21936.002,19460.352
2009_11,22933.002,24749.258
2009_12,25419.0,25988.182
2010_1,29895.0,27196.377
2010_2,37075.0,29082.008
2010_3,41389.0,33143.17
2010_4,39545.0,37338.08
2010_5,37445.0,39020.566
2010_6,36695.0,33053.844
2010_7,26113.998,27140.16
2010_8,21855.0,27257.852
2010_9,25772.998,25049.447
2010_10,26936.998,23211.875
2010_11,26875.998,26058.2
2010_12,33118.0,29594.713
2011_1,38430.0,29579.254
2011_2,47110.0,33334.027
2011_3,44841.0,39786.934
2011_4,39986.0,41486.02
2011_5,30971.0,33684.49
2011_6,19385.002,22649.375
2011_7,23857.002,22161.898
2011_8,22762.0,22046.076
2011_9,31335.998,21734.514
2011_10,34770.0,29807.053
2011_11,34480.0,32081.418
2011_12,34300.0,35940.67
2012_1,34948.0,33717.07
2012_2,35150.0,31917.135
2012_3,38710.0,32313.297
2012_4,41329.0,33535.09
2012_5,44690.0,35075.66
2012_6,54757.0,37203.59
2012_7,34720.0,36095.24
2012_8,27681.998,31494.994
2012_9,28344.998,23595.871
2012_10,30049.998,19749.17
2012_11,29161.998,26942.857
2012_12,28582.0,29369.422
2013_1,28946.998,29083.197
2013_2,35386.0,28368.748
2013_3,35311.0,30384.707
2013_4,28959.998,33366.02
2013_5,24159.0,33115.53
2013_6,20091.0,27352.578
2013_7,18895.0,23618.365
2013_8,15722.0,20821.553
2013_9,20276.0,20383.79
2013_10,23100.0,22068.953
2013_11,20552.0,23954.098
2013_12,19733.0,25353.295
2014_1,19571.0,24856.39
2014_2,24455.0,22526.533
2014_3,27199.998,24862.375
2014_4,26404.998,27832.74
2014_5,21786.002,30127.035
2014_6,23842.002,26850.742
2014_7,20832.0,23889.19
2014_8,21991.0,23073.986
2014_9,23200.0,25149.309
2014_10,22889.002,24155.654
2014_11,20638.0,26441.045
2014_12,20220.0,25397.023
2015_1,21200.0,23542.246
2015_2,29100.0,23300.926
2015_3,39606.0,26931.941
2015_4,42973.0,33479.555
2015_5,44000.0,40424.59
2015_6,51922.0,41953.953
2015_7,33836.0,34104.39
2015_8,26174.0,28517.127
2015_9,25499.998,23822.047
2015_10,24910.0,19775.846
2015_11,24714.0,24260.523
2015_12,25381.0,25761.217
2016_1,25495.0,25956.732
2016_2,28359.998,26551.488
2016_3,35406.0,27697.389
2016_4,38877.0,30705.32
2016_5,31019.998,35447.53
2016_6,37150.0,35431.344
2016_7,24724.0,31586.389
2016_8,19229.002,26867.96
