연월,고구마_true,고구마_pred
2001_7,14020.999,15483.876
2001_8,18981.0,16038.139
2001_9,12415.0,22134.432
2001_10,9776.0,11014.161
2001_11,9511.0,11185.548
2001_12,9456.0,9560.931
2002_1,10565.001,9568.864
2002_2,16392.0,11984.826
2002_3,17914.0,19411.514
2002_4,16920.0,18604.207
2002_5,16935.998,18091.676
2002_6,18696.0,17893.758
2002_7,21165.0,20180.432
2002_8,21176.0,22835.355
2002_9,15623.0,21489.873
2002_10,13860.999,14347.546
2002_11,10846.0,13554.84
2002_12,11162.0,9553.931
2003_1,12475.0,11936.815
2003_2,13072.001,13682.047
2003_3,14026.0,14331.682
2003_4,13904.0,16082.08
2003_5,18128.0,15541.645
2003_6,26575.0,21298.838
2003_7,36817.0,29861.37
2003_8,35338.0,35620.605
2003_9,19937.998,21759.023
2003_10,17982.998,14535.962
2003_11,16131.0,15389.439
2003_12,16935.998,16087.611
2004_1,18469.0,18585.422
2004_2,18321.998,19843.475
2004_3,19825.0,19176.113
2004_4,21538.0,21372.629
2004_5,25017.0,22502.744
2004_6,29149.998,26542.137
2004_7,30662.002,29265.643
2004_8,28500.0,28423.865
2004_9,18904.0,25955.486
2004_10,15041.999,15815.942
2004_11,13714.0,13097.282
2004_12,12964.001,13242.017
2005_1,12920.001,13082.895
2005_2,12705.001,13781.628
2005_3,12388.0,13891.831
2005_4,13864.0,13811.0205
2005_5,15876.0,15951.597
2005_6,17327.0,17829.977
2005_7,16247.999,19168.223
2005_8,20000.0,17331.695
2005_9,15825.0,22674.525
2005_10,12845.0,14620.435
2005_11,12029.001,13542.022
2005_12,11035.001,11972.623
2006_1,12227.001,11085.827
2006_2,13318.0,13841.851
2006_3,14610.0,14817.583
2006_4,16173.0,16545.018
2006_5,18340.0,18268.361
2006_6,18580.0,20437.674
2006_7,25381.0,19659.336
2006_8,31870.0,28611.19
2006_9,20536.0,31459.635
2006_10,16381.999,13935.192
2006_11,14652.999,14108.539
2006_12,15286.0,13320.271
2007_1,16299.999,16451.408
2007_2,18772.998,17476.338
2007_3,21104.998,20904.264
2007_4,20171.0,22636.943
2007_5,21524.0,20205.084
2007_6,21390.0,22370.877
2007_7,21070.0,21225.367
2007_8,22295.0,21557.643
2007_9,18018.0,23072.566
2007_10,17000.0,16592.943
2007_11,13826.999,17420.598
2007_12,13826.999,12659.424
2008_1,14199.999,14682.737
2008_2,15008.999,15006.875
2008_3,15343.999,16477.867
2008_4,16143.0,16897.166
2008_5,21295.0,17941.078
2008_6,27504.998,24392.105
2008_7,29899.998,29196.148
2008_8,28078.0,26954.035
2008_9,19870.0,23247.506
2008_10,16400.0,16676.203
2008_11,15435.999,14926.412
2008_12,14919.999,15514.286
2009_1,15943.0,15450.193
2009_2,20474.0,17344.217
2009_3,20740.0,23311.613
2009_4,22464.0,21023.807
2009_5,26754.998,23477.193
2009_6,28758.002,27283.91
2009_7,27045.002,27952.865
2009_8,28296.0,24836.1
2009_9,23257.0,28382.281
2009_10,18218.0,21483.229
2009_11,16610.0,17242.51
2009_12,16867.0,16134.073
2010_1,18932.998,17942.963
2010_2,21180.0,20778.777
2010_3,21326.0,22747.611
2010_4,21209.0,21697.207
2010_5,22791.0,21345.352
2010_6,25000.0,23493.463
2010_7,27409.998,25950.398
2010_8,27500.0,27886.96
2010_9,29354.998,26299.77
2010_10,27504.998,29493.379
2010_11,22238.0,26260.865
2010_12,22818.0,20955.008
2011_1,24557.0,23870.264
2011_2,28924.0,27017.766
2011_3,29153.0,31917.635
2011_4,28600.0,27430.098
2011_5,30599.998,27529.83
2011_6,33530.0,31162.406
2011_7,41057.0,34972.37
2011_8,48762.0,42942.68
2011_9,35073.0,45719.883
2011_10,28530.002,27931.043
2011_11,28530.002,27654.598
2011_12,27017.998,25598.035
2012_1,29943.0,28576.162
2012_2,30140.002,33480.906
2012_3,33229.0,30445.143
2012_4,37124.0,34770.535
2012_5,45510.0,37399.73
2012_6,50000.0,46019.586
2012_7,50350.0,44366.207
2012_8,44018.0,43992.453
2012_9,34009.0,38116.39
2012_10,35320.0,31107.63
2012_11,25971.0,29588.643
2012_12,23500.0,23382.48
2013_1,24558.0,23378.76
2013_2,25509.0,26875.676
2013_3,27179.0,28481.686
2013_4,25320.0,28454.105
2013_5,21073.0,24169.588
2013_6,23438.0,19886.65
2013_7,24916.0,25176.34
2013_8,25017.0,26649.002
2013_9,29771.002,25573.256
2013_10,25200.0,31148.248
2013_11,19295.0,21999.314
2013_12,16629.0,17974.611
2014_1,17038.0,15245.477
2014_2,18380.0,18194.08
2014_3,19040.0,19905.09
2014_4,18951.998,20170.484
2014_5,19699.998,19791.049
2014_6,25284.0,20673.838
2014_7,29695.002,28015.303
2014_8,32417.002,29760.746
2014_9,28568.002,29662.123
2014_10,24233.0,24256.17
2014_11,20628.998,23053.05
2014_12,19880.0,20078.613
2015_1,20590.0,21061.027
2015_2,22343.0,22284.637
2015_3,23376.0,24013.264
2015_4,27854.998,23973.55
2015_5,28682.002,29388.207
2015_6,31089.0,27015.602
2015_7,32909.0,30814.686
2015_8,35878.0,31953.623
2015_9,30790.0,36226.875
2015_10,24650.0,28023.219
2015_11,22248.0,23615.023
2015_12,21686.0,22257.262
2016_1,22333.0,23550.395
2016_2,24850.0,24398.613
2016_3,27455.998,26757.744
2016_4,26864.0,28213.863
2016_5,29730.0,25558.824
2016_6,30670.0,30330.92
2016_7,29810.0,30169.234
2016_8,27485.998,29384.334
2016_9,29700.0,26850.023
2016_10,27442.0,31845.342
2016_11,25450.0,27443.732
2016_12,25073.0,25883.957
2017_1,24990.0,25799.223
2017_2,25840.0,26388.83
2017_3,25930.0,27208.59
2017_4,26000.0,26320.479
2017_5,26040.0,26364.695
2017_6,26863.0,26330.332
2017_7,27771.0,27688.018
2017_8,33410.0,28446.172
2017_9,33627.0,35878.383
2017_10,29114.0,31440.068
2017_11,24550.0,27068.777
2017_12,25332.0,23560.701
2018_1,28116.0,27255.262
2018_2,31964.002,31836.285
2018_3,33633.0,34249.32
2018_4,36392.0,32189.354
2018_5,38800.0,35713.43
2018_6,43810.0,37981.727
2018_7,44014.0,43459.5
2018_8,44736.0,40190.973
2018_9,41273.0,41367.562
2018_10,38447.0,36614.984
2018_11,33705.0,34631.715
2018_12,35100.0,30610.559
2019_1,37537.0,34079.52
2019_2,37491.0,38411.027
2019_3,36941.0,37162.074
2019_4,35130.0,36205.453
2019_5,35600.0,34254.24
2019_6,36419.0,35817.82
2019_7,35537.0,36787.367
2019_8,29035.0,35270.008
2019_9,27838.0,27512.94
2019_10,28094.998,28439.793
2019_11,26876.0,30231.188
2019_12,25067.0,28503.033
2020_1,25200.0,25408.043
2020_2,26216.0,26303.83
2020_3,27702.998,27775.348
2020_4,35593.0,28973.088
2020_5,41760.0,38633.82
2020_6,53863.0,39323.062
2020_7,57887.996,50050.332
2020_8,61062.996,46964.39
2020_9,55765.004,50102.406
2020_10,38834.0,40768.047
2020_11,33565.0,30849.771
2020_12,36263.0,26573.932
