year,고구마_true,고구마_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,18112.999916666668,18007.53975,16767.799866666664,17265.988991666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,18774.99941666667,19381.12125,17918.39988333333,18020.260708333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,19508.332583333333,19326.034833333335,18485.7998,18604.537925,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,22118.916833333333,21993.499249999997,18365.4164,18700.959608333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,23938.74933333333,23737.646083333326,18587.416466666666,18869.28020833333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,32027.833333333332,31145.550666666666,20490.799616666663,20489.16823333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,36592.8335,35103.822083333325,23273.766299999996,23116.770416666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,23992.083499999997,24980.603,26837.333116666665,26261.310583333332,1,1,0.125,0.125,2845.249616666668,1280.7075833333329,355.6562020833335,160.0884479166666,44.457025260416685
2014,22818.0,22400.501916666664,27734.0833,27392.224216666666,1,1,0.2222222222222222,0.2222222222222222,4916.083299999998,4991.722300000001,862.370324074074,696.9366537037038,191.63784979423866
2015,26841.333333333332,26718.91458333333,27873.899933333334,27473.62475,1,1,0.3,0.3,1032.566600000002,754.7101666666676,879.3899516666668,702.7140050000002,263.81698550000004
2016,27238.66633333333,27532.248416666665,28454.416733333335,28069.87845,1,1,0.36363636363636365,0.36363636363636365,1215.7504000000044,537.6300333333347,909.9681742424248,687.7063712121216,330.8975179063363
2017,27455.583333333332,27707.85566666667,27496.583333333332,27347.218,1,0,0.4166666666666667,0.3333333333333333,41.0,0.0,837.5541597222227,630.3975069444447,348.9808998842595
2018,37499.16683333333,35508.38925,25669.133299999998,25868.024716666667,0,0,0.38461538461538464,0.3076923076923077,0.0,0.0,773.1269166666672,581.9053910256413,297.3565064102566
2019,32630.499833333335,33556.20525,28370.549966666662,27973.58196666667,0,0,0.35714285714285715,0.2857142857142857,0.0,0.0,717.9035654761909,540.3407202380955,256.3941305272111
2020,41142.7495,35977.17241666667,30333.04993333333,30204.722633333335,0,0,0.3333333333333333,0.26666666666666666,0.0,0.0,670.0433277777781,504.31800555555577,223.34777592592604
