연월,고추(화건)_true,고추(화건)_pred
2001_7,272840.0,242817.22
2001_8,260839.98,280396.75
2001_9,227167.0,261330.48
2001_10,248199.98,226589.88
2001_11,240625.0,247532.44
2001_12,234191.98,238750.61
2002_1,233760.0,239847.97
2002_2,233308.0,235145.25
2002_3,234810.0,236444.61
2002_4,231560.0,238992.08
2002_5,211520.0,235163.8
2002_6,188520.0,214503.66
2002_7,178000.0,192485.05
2002_8,171240.0,182169.28
2002_9,148231.0,176002.38
2002_10,196522.0,154003.48
2002_11,187154.0,202970.64
2002_12,180038.0,185651.19
2003_1,177833.0,188927.17
2003_2,178119.98,187666.39
2003_3,185129.98,185097.08
2003_4,194280.0,192017.84
2003_5,187960.0,200992.81
2003_6,189083.0,195396.0
2003_7,200292.0,198588.7
2003_8,208038.0,208233.1
2003_9,236288.0,215258.19
2003_10,307261.0,244859.06
2003_11,299385.0,317539.4
2003_12,301000.0,298390.03
2004_1,302500.0,301103.34
2004_2,309609.0,294139.53
2004_3,316792.0,314435.4
2004_4,322615.0,321137.78
2004_5,315750.0,327017.4
2004_6,306167.0,312864.8
2004_7,293731.0,301870.03
2004_8,292682.0,286018.2
2004_9,262630.0,290892.84
2004_10,264316.0,248590.12
2004_11,258142.98,264807.62
2004_12,262136.0,252838.66
2005_1,267800.0,266018.78
2005_2,265810.0,269577.34
2005_3,266059.0,267236.7
2005_4,271318.0,267052.3
2005_5,269143.0,272772.97
2005_6,262955.0,269644.34
2005_7,241857.0,262538.1
2005_8,238818.0,237350.25
2005_9,217146.0,238311.42
2005_10,224999.98,213975.69
2005_11,223475.98,229577.8
2005_12,224738.98,226010.03
2006_1,225591.0,231220.67
2006_2,226135.98,230644.69
2006_3,226825.0,231475.47
2006_4,226591.0,231993.25
2006_5,217950.0,231588.36
2006_6,213000.0,222538.44
2006_7,213476.0,218225.0
2006_8,217650.0,218654.94
2006_9,253363.98,223754.3
2006_10,321545.0,261564.7
2006_11,320053.0,334181.34
2006_12,318143.0,320712.94
2007_1,317000.0,314752.7
2007_2,315409.0,308248.44
2007_3,314000.0,314603.34
2007_4,310095.0,313514.6
2007_5,302190.0,308142.34
2007_6,288286.0,298263.5
2007_7,279100.0,281202.62
2007_8,270762.0,273967.28
2007_9,222515.0,265778.44
2007_10,221293.98,208613.83
2007_11,233045.0,219159.1
2007_12,235773.0,231066.31
2008_1,235105.0,240894.53
2008_2,234045.0,240408.14
2008_3,231999.98,237692.5
2008_4,237143.0,235473.94
2008_5,231475.98,241429.19
2008_6,221210.98,234656.52
2008_7,234700.0,225052.97
2008_8,252217.0,239404.73
2008_9,261996.0,257483.5
2008_10,289619.0,267613.06
2008_11,292455.0,296098.88
2008_12,291000.0,293075.5
2009_1,290702.0,291520.06
2009_2,286368.0,288204.4
2009_3,284400.0,284716.47
2009_4,284000.0,284058.84
2009_5,282261.0,283775.47
2009_6,282947.0,282196.12
2009_7,296455.0,283729.44
2009_8,298000.0,301876.97
2009_9,301788.0,299627.03
2009_10,308409.0,304989.34
2009_11,299952.0,310888.75
2009_12,290238.0,296915.44
2010_1,282286.0,286761.56
2010_2,279850.0,277321.53
2010_3,279000.0,278087.66
2010_4,279000.0,278687.47
2010_5,278182.0,279803.66
2010_6,276000.0,278522.2
2010_7,276000.0,275844.6
2010_8,275000.0,276359.1
2010_9,281105.0,275066.0
2010_10,311211.0,283715.28
2010_11,417524.0,322786.9
2010_12,441636.0,474246.66
2011_1,447913.03,448376.72
2011_2,442762.0,441474.44
2011_3,441000.0,422240.0
2011_4,441000.0,459079.6
2011_5,440571.0,454042.28
2011_6,435600.03,454602.62
2011_7,437000.0,446770.56
2011_8,438000.0,454764.94
2011_9,516158.97,449318.06
2011_10,773000.0,591645.3
2011_11,721750.0,772922.44
2011_12,711818.0,702288.06
2012_1,710000.0,713224.44
2012_2,710000.0,709381.1
2012_3,710000.0,714264.5
2012_4,700952.0,683394.0
2012_5,666000.0,670007.9
2012_6,635000.0,645930.1
2012_7,628500.0,630229.1
2012_8,630000.0,632591.75
2012_9,640909.0,625770.9
2012_10,603000.0,614110.0
2012_11,547143.0,554364.1
2012_12,518182.0,508965.38
2013_1,497895.0,495106.7
2013_2,460227.0,475098.38
2013_3,455000.0,427025.66
2013_4,452749.97,467452.4
2013_5,433272.97,440990.53
2013_6,403952.0,429234.8
2013_7,402999.97,399998.44
2013_8,401696.0,410064.0
2013_9,363143.0,387744.22
2013_10,346667.0,335165.4
2013_11,344524.0,343745.12
2013_12,340000.0,325277.78
2014_1,340000.0,326745.53
2014_2,340000.0,339401.3
2014_3,333000.0,338474.25
2014_4,326667.0,328005.84
2014_5,323182.0,322788.78
2014_6,320000.0,319449.66
2014_7,327368.0,316835.28
2014_8,340957.0,331777.16
2014_9,384816.03,349143.22
2014_10,443667.0,415202.62
2014_11,433524.0,475520.97
2014_12,430000.0,419335.22
2015_1,420095.0,438767.0
2015_2,411905.03,413677.7
2015_3,410000.0,417989.0
2015_4,410000.0,414685.4
2015_5,410000.0,413727.84
2015_6,410000.0,416037.9
2015_7,410000.0,416593.4
2015_8,410000.0,416457.44
2015_9,410097.0,416457.44
2015_10,416500.0,416637.44
2015_11,410619.0,428399.44
2015_12,404905.0,410225.12
2016_1,399951.97,412652.9
2016_2,390400.03,400725.78
2016_3,390000.03,386223.72
2016_4,386726.97,394178.16
2016_5,369150.0,382155.0
2016_6,356000.0,357652.16
2016_7,355000.0,349134.4
2016_8,344524.0,348829.4
2016_9,310000.0,330169.97
2016_10,321842.0,286440.56
2016_11,294600.0,327780.84
2016_12,290182.0,266202.28
2017_1,290000.0,292202.66
2017_2,285500.0,284819.25
2017_3,280000.0,284390.1
2017_4,284545.0,278554.03
2017_5,281750.0,286000.75
2017_6,275316.0,281070.53
2017_7,286738.0,274462.97
2017_8,323238.0,290176.56
2017_9,373973.0,338896.94
2017_10,628571.0,402575.6
2017_11,696875.0,699122.94
2017_12,648864.0,629460.56
2018_1,616842.0,579864.75
2018_2,590000.0,683011.3
2018_3,586944.0,537103.7
2018_4,571667.0,597736.75
2018_5,575000.0,542147.7
2018_6,575000.0,567085.4
2018_7,597537.0,555971.7
2018_8,596891.0,599758.75
2018_9,647261.0,576653.0
2018_10,702906.0,658138.94
2018_11,616576.0,659608.6
2018_12,589409.0,562710.44
2019_1,600474.0,574049.44
2019_2,590209.0,565338.56
2019_3,583600.0,595109.0
2019_4,587600.0,569138.06
2019_5,576555.0,572769.8
2019_6,573362.0,550657.8
2019_7,566758.0,566101.4
2019_8,560426.0,550451.5
2019_9,513171.0,550695.4
2019_10,466842.0,479419.12
2019_11,430476.0,452086.28
2019_12,432570.97,399585.8
2020_1,433450.0,426219.4
2020_2,400100.0,415591.3
2020_3,397575.0,384237.97
2020_4,400829.97,416774.1
2020_5,406000.03,389713.9
2020_6,407263.03,412413.75
2020_7,442099.97,412496.1
2020_8,452600.0,477476.47
2020_9,692489.0,453941.4
2020_10,871229.0,794394.25
2020_11,812179.06,732332.94
2020_12,824724.0,792253.5
