year,고추(화건)_true,고추(화건)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,248360.33,246379.5083333333,241804.21266666666,244282.68933333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,275789.08166666667,278109.37500000006,242014.14733333333,243644.67833333337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,251080.57833333334,250773.62166666667,257260.91366666666,257710.23016666668,1,1,0.3333333333333333,0.3333333333333333,6180.335333333322,6936.608500000002,2060.111777777774,2312.202833333334,686.7039259259246
2009,292126.6666666667,292708.19416666665,263065.86333333334,263982.19166666665,0,0,0.25,0.25,0.0,0.0,1545.0838333333304,1734.1521250000005,386.2709583333326
2010,306399.5,298933.55166666664,263040.0136666667,263928.56849999994,0,0,0.2,0.2,0.0,0.0,1236.0670666666642,1387.3217000000004,247.21341333333285
2011,520547.7525,508127.08500000014,274751.23133333336,273380.85016666667,0,0,0.16666666666666666,0.16666666666666666,0.0,0.0,1030.055888888887,1156.101416666667,171.67598148148116
2012,641640.5,641852.7725,329188.7158333333,325730.3655,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,882.905047619046,990.9440714285718,126.12929251700656
2013,408510.57583333337,411408.6191666667,402358.99950000003,398479.04500000004,0,0,0.125,0.125,0.0,0.0,772.5419166666652,867.0760625000003,96.56773958333315
2014,361931.7525,356889.98583333334,433844.999,430606.0445,1,1,0.2222222222222222,0.2222222222222222,71913.24650000001,73716.05866666668,8677.064648148147,8961.407462962965,1928.236588477366
2015,411176.7525,418304.5933333333,447806.0161666667,443442.40283333336,1,1,0.3,0.3,36629.263666666695,25137.809500000032,11472.284550000002,10579.047666666671,3441.6853650000007
2016,350698.0833333333,353512.0974999999,468761.4666666667,467316.6111666666,1,1,0.36363636363636365,0.36363636363636365,118063.38333333336,113804.5136666667,21162.384439393943,19963.180939393947,7695.41252341598
2017,387947.5,361811.0741666667,434791.5328333334,436393.6136666667,1,1,0.4166666666666667,0.4166666666666667,46844.03283333342,74582.53949999996,23302.52180555557,24514.794152777777,9709.384085648155
2018,605502.75,593315.9191666666,384052.9328333334,380385.27400000003,0,0,0.38461538461538464,0.38461538461538464,0.0,0.0,21510.020128205142,22629.040756410257,8273.084664694286
2019,540170.3308333333,535450.18,423451.36766666675,416766.734,0,0,0.35714285714285715,0.35714285714285715,0.0,0.0,19973.590119047632,21012.680702380952,7133.425042517012
2020,545044.9216666667,508987.09,459099.0833333335,452478.77283333335,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,18642.017444444456,19611.83532222222,6214.005814814818
