연월,깻잎_true,깻잎_pred
2001_7,7239.9995,7336.3906
2001_8,7896.0,8480.217
2001_9,8147.9995,9746.543
2001_10,9192.0,11628.19
2001_11,7991.9995,11748.471
2001_12,8962.0,11255.794
2002_1,13279.999,12854.303
2002_2,15862.0,15862.522
2002_3,13086.0,12701.317
2002_4,8495.999,10078.502
2002_5,8000.0,8161.947
2002_6,8616.0,8298.809
2002_7,6470.0,6727.859
2002_8,7488.0,7200.0527
2002_9,15438.0,12101.241
2002_10,17870.0,16870.65
2002_11,11276.999,12248.518
2002_12,10710.0,9241.249
2003_1,13608.0,13979.415
2003_2,17504.0,16078.856
2003_3,11930.0,12190.051
2003_4,13191.999,11912.529
2003_5,8400.0,11790.214
2003_6,7513.0005,6474.413
2003_7,5904.0,7599.232
2003_8,10599.999,9410.29
2003_9,9022.999,8721.329
2003_10,17348.0,11166.914
2003_11,13384.999,12532.407
2003_12,10327.999,10683.165
2004_1,14638.0,11629.98
2004_2,16443.0,15226.728
2004_3,13249.999,13003.417
2004_4,11937.999,13363.536
2004_5,10324.999,11461.631
2004_6,9399.999,11639.346
2004_7,7799.9995,9706.718
2004_8,9918.0,10533.042
2004_9,10583.0,11441.013
2004_10,13010.999,14169.886
2004_11,10638.0,12694.713
2004_12,8118.0,9299.432
2005_1,11570.0,13802.796
2005_2,17143.0,16343.556
2005_3,16529.0,16487.53
2005_4,12817.999,12720.038
2005_5,10848.0,13564.2295
2005_6,9718.0,12251.984
2005_7,7861.9995,9356.378
2005_8,11573.0,7795.7544
2005_9,12124.999,11571.869
2005_10,13882.0,14627.568
2005_11,13514.0,12404.252
2005_12,11652.0,10119.722
2006_1,17382.0,15227.117
2006_2,23973.0,20837.82
2006_3,16760.0,19506.158
2006_4,13217.999,14203.919
2006_5,13154.999,14084.606
2006_6,10660.0,11568.86
2006_7,7857.0,8554.826
2006_8,12480.0,9160.779
2006_9,12745.0,13785.106
2006_10,16618.0,14149.721
2006_11,11600.0,13514.683
2006_12,10552.0,9955.428
2007_1,21630.0,17102.615
2007_2,16191.0,17934.941
2007_3,14821.0,15286.327
2007_4,11351.999,13827.9375
2007_5,12067.0,12137.14
2007_6,10989.999,13055.782
2007_7,9569.999,11602.391
2007_8,10056.999,10405.081
2007_9,13945.0,16552.54
2007_10,21553.0,16476.232
2007_11,17036.0,16124.73
2007_12,12945.0,12617.851
2008_1,17905.0,15812.457
2008_2,21182.0,22026.035
2008_3,16989.0,17978.887
2008_4,12248.0,15305.057
2008_5,12323.999,12905.334
2008_6,11852.999,12663.302
2008_7,9610.0,10976.547
2008_8,9322.0,9517.873
2008_9,15240.0,15620.825
2008_10,15304.999,17344.19
2008_11,14327.0,14152.84
2008_12,12229.999,11804.182
2009_1,17352.0,13239.598
2009_2,22968.0,22844.873
2009_3,15929.999,20266.133
2009_4,15182.0,14275.964
2009_5,13964.0,15010.577
2009_6,12568.0,13327.39
2009_7,11391.0,12541.098
2009_8,16739.0,16131.869
2009_9,15314.0,18158.29
2009_10,15227.0,15737.588
2009_11,12504.999,14367.699
2009_12,13570.999,13780.106
2010_1,20629.0,17994.703
2010_2,25750.0,23826.148
2010_3,20274.0,17347.984
2010_4,20491.0,19399.883
