year,깻잎_true,깻잎_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,13916.6665,13712.418583333332,10991.399691666666,11341.535246666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,14346.416333333333,14426.963958333334,12127.066375,12077.498776666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,14044.583,14675.627416666668,12719.799691666667,12757.10874,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,15225.916416666669,15806.765416666667,13216.46636666667,13483.253973333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,18771.833083333335,18735.427499999998,13993.94974166667,14241.783023333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,17650.333,17895.61725,15261.08306666667,15471.440574999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,19542.4165,18793.010916666666,16007.816366666671,16308.08030833333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,18050.83325,17564.951333333338,17047.016400000004,17181.289699999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,18586.999916666668,19817.458083333335,17848.266450000003,17759.154483333332,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,19100.499916666668,18156.916500000003,18520.483150000004,18561.293016666667,0,1,0.0,0.1,0.0,404.3765166666635,0.0,40.437651666666355,0.0
2016,21447.5,20197.409541666668,18586.21651666667,18445.59081666667,0,0,0.0,0.09090909090909091,0.0,0.0,0.0,36.76150151515123,0.0
2017,18641.833416666665,18253.931666666667,19345.64991666667,18905.949275000003,1,1,0.08333333333333333,0.16666666666666666,703.8165000000045,652.0176083333354,58.65137500000037,88.03284374999991,4.887614583333364
2018,22307.833166666667,20050.470416666667,19165.533300000003,18798.133425000004,0,0,0.07692307692307693,0.15384615384615385,0.0,0.0,54.139730769231114,81.26108653846146,4.164594674556239
2019,20277.416666666668,17883.979666666663,20016.93328333334,19295.23724166667,0,1,0.07142857142857142,0.21428571428571427,0.0,1411.257575000007,50.27260714285746,176.26083571428612,3.5909005102041043
2020,24620.333166666667,20178.06975,20355.01663333334,18908.541558333338,0,0,0.06666666666666667,0.2,0.0,0.0,46.921100000000294,164.51011333333372,3.128073333333353
