연월,녹두(국산)_true,녹두(국산)_pred
2001_7,238000.0,243849.14
2001_8,238000.0,243994.36
2001_9,237630.0,243985.56
2001_10,222640.0,243694.39
2001_11,195500.0,223370.44
2001_12,183538.0,190878.19
2002_1,182000.0,182562.78
2002_2,178615.0,184017.1
2002_3,177238.0,180902.75
2002_4,176000.02,183328.47
2002_5,167160.0,183636.4
2002_6,164296.0,172182.86
2002_7,160139.0,171881.08
2002_8,153080.0,166863.89
2002_9,152000.0,158293.81
2002_10,156478.0,160283.4
2002_11,156231.0,166001.1
2002_12,155692.0,163804.86
2003_1,152917.0,164794.7
2003_2,153960.0,161991.42
2003_3,158739.0,163556.94
2003_4,160680.0,169160.12
2003_5,165000.0,169785.88
2003_6,167417.0,175898.81
2003_7,169000.02,177988.11
2003_8,170000.0,178998.14
2003_9,170800.0,180054.9
2003_10,181398.0,180396.97
2003_11,251731.0,194098.55
2003_12,266600.0,285557.7
2004_1,272615.0,277898.03
2004_2,271304.0,286794.28
2004_3,277833.0,282503.72
2004_4,280154.0,287692.88
2004_5,287333.0,287916.06
2004_6,290000.0,296516.56
2004_7,289500.0,298266.5
2004_8,283000.0,295972.0
2004_9,275565.0,286706.78
2004_10,318737.0,277444.72
2004_11,315476.0,339292.1
2004_12,308273.0,323581.7
2005_1,326300.0,312755.88
2005_2,321952.0,339768.16
2005_3,319882.0,327262.44
2005_4,317273.0,324263.94
2005_5,314857.0,322256.34
2005_6,315909.0,317896.4
2005_7,327714.0,320527.6
2005_8,318273.0,336938.8
2005_9,313500.0,321465.25
2005_10,304091.0,316317.12
2005_11,298476.0,305178.3
2005_12,292000.0,298485.94
2006_1,291545.0,292554.94
2006_2,282545.0,294218.16
2006_3,274000.0,283337.94
2006_4,260272.98,274232.5
2006_5,250800.02,258472.38
2006_6,248000.02,249259.6
2006_7,248000.02,249338.48
2006_8,251299.98,251386.16
2006_9,254544.98,257449.12
2006_10,265635.97,261941.55
2006_11,289368.0,276626.66
2006_12,279143.0,306421.44
2007_1,270150.0,284194.0
2007_2,271182.0,273716.62
2007_3,273000.0,276806.47
2007_4,272667.0,277653.88
2007_5,271999.97,277697.84
2007_6,269905.0,277620.5
2007_7,265200.0,274801.94
2007_8,263000.0,268702.2
2007_9,250773.0,267013.0
2007_10,221412.02,250954.9
2007_11,221091.02,214215.45
2007_12,229636.0,222051.77
2008_1,227474.0,235038.16
2008_2,226818.0,230558.39
2008_3,232889.0,233912.58
2008_4,234000.0,242605.48
2008_5,232667.0,241203.11
2008_6,230000.0,239300.0
2008_7,230000.0,236193.53
2008_8,230000.0,236369.42
2008_9,226820.02,236230.95
2008_10,227810.0,231976.72
2008_11,223727.02,234632.34
2008_12,222000.0,228692.45
2009_1,225429.0,227577.3
2009_2,226642.02,233168.11
2009_3,226100.0,233542.1
2009_4,226000.0,232896.44
2009_5,226000.0,233206.28
2009_6,226000.0,232858.38
2009_7,226000.0,232711.3
2009_8,226000.0,232771.89
2009_9,226000.0,232783.33
2009_10,230909.0,232783.33
2009_11,238381.0,239536.31
2009_12,242000.0,248262.23
2010_1,242000.0,250888.34
2010_2,242620.0,249853.2
2010_3,256862.98,250261.98
2010_4,257999.98,269065.88
2010_5,259364.0,265846.16
2010_6,261263.0,267294.75
2010_7,271714.0,269428.38
2010_8,278455.0,282115.1
2010_9,281818.0,288329.5
2010_10,364421.0,290648.53
2010_11,415381.0,405229.53
2010_12,463091.0,449916.25
2011_1,473522.0,491830.03
2011_2,482305.0,484008.22
2011_3,492575.97,489578.8
2011_4,498855.03,490486.6
2011_5,500448.0,487688.22
2011_6,501400.0,491785.22
2011_7,497210.0,495560.62
2011_8,490275.97,495583.56
2011_9,494726.97,492634.47
2011_10,589200.0,493715.12
2011_11,497300.0,540549.1
2011_12,486363.97,501743.9
2012_1,485429.0,502695.22
2012_2,482000.0,497806.12
2012_3,486190.03,488435.34
2012_4,490000.0,484260.88
2012_5,490000.0,484597.44
2012_6,490000.0,485026.56
2012_7,490000.0,485592.56
2012_8,490000.0,486723.0
2012_9,489455.0,487322.88
2012_10,482600.0,487010.25
2012_11,482952.0,483012.12
2012_12,474818.0,482353.72
2013_1,469737.0,476426.0
2013_2,465000.0,471483.2
2013_3,464947.0,464976.1
2013_4,464000.0,462551.8
2013_5,463000.0,458932.78
2013_6,462000.0,456747.0
2013_7,462000.0,455295.1
2013_8,462000.0,454999.88
2013_9,456286.0,454699.0
2013_10,445000.0,449926.44
2013_11,382857.0,440378.53
2013_12,371905.0,387672.3
2014_1,359905.0,368919.2
2014_2,358000.0,348316.72
2014_3,347900.0,341964.5
2014_4,336000.0,343845.03
2014_5,336000.0,331584.72
2014_6,336000.0,336321.44
2014_7,331263.0,337568.0
2014_8,330000.0,332517.12
2014_9,339621.0,333336.9
2014_10,354533.0,347081.34
2014_11,348019.0,365500.0
2014_12,347100.0,353060.25
2015_1,346000.0,352141.7
2015_2,346000.0,350735.34
2015_3,347882.0,348725.7
2015_4,344545.0,352344.25
2015_5,341000.0,347625.5
2015_6,340222.0,343450.8
2015_7,344000.0,343415.56
2015_8,344000.0,348622.4
2015_9,344000.0,348401.3
