연월,단감_true,단감_pred
2001_7,24415.8,23917.984
2001_8,25788.2,24689.008
2001_9,27160.6,27621.494
2001_10,28532.998,28752.941
2001_11,19367.0,25508.67
2001_12,14225.999,13593.968
2002_1,16859.0,18690.66
2002_2,18964.0,19702.066
2002_3,22552.0,22815.625
2002_4,22123.0,24345.305
2002_5,23227.0,23755.145
2002_6,23502.0,23740.541
2002_7,25868.75,24386.629
2002_8,28235.502,28392.61
2002_9,30602.248,30120.086
2002_10,32969.0,30845.348
2002_11,20580.0,28915.15
2002_12,16410.0,17084.934
2003_1,20955.0,20155.893
2003_2,21408.0,21193.807
2003_3,20180.0,20331.865
2003_4,20165.0,21934.635
2003_5,20896.0,20634.654
2003_6,22958.6,22207.48
2003_7,25021.201,24349.172
2003_8,27083.799,25974.697
2003_9,29146.398,28203.793
2003_10,31209.002,30925.902
2003_11,25123.0,26765.355
2003_12,20805.0,20961.434
2004_1,22354.0,22319.115
2004_2,22469.0,22530.646
2004_3,23067.0,23269.152
2004_4,27220.002,25961.074
2004_5,28836.0,29376.613
2004_6,27461.166,31110.982
2004_7,26086.334,26883.09
2004_8,24711.5,25253.38
2004_9,23336.666,24526.473
2004_10,21961.834,23680.316
2004_11,20587.0,21049.928
2004_12,19267.0,20205.055
2005_1,22987.0,21370.7
2005_2,25302.0,25492.395
2005_3,32008.0,27123.1
2005_4,35509.0,32695.734
2005_5,39033.0,37752.152
2005_6,36061.0,36605.043
2005_7,33089.0,33039.207
2005_8,30116.998,30299.348
2005_9,27145.0,27043.23
2005_10,24173.0,24456.912
2005_11,21201.0,20869.908
2005_12,17171.0,18496.355
2006_1,20200.0,16980.26
2006_2,19097.0,22425.404
2006_3,20400.0,22085.8
2006_4,23127.0,21913.906
2006_5,27756.998,23974.572
2006_6,28500.002,28367.725
2006_7,28527.75,29139.32
2006_8,28555.5,28933.86
2006_9,28583.248,27366.14
2006_10,28611.0,28232.035
2006_11,23379.0,28495.24
2006_12,17955.0,21646.338
2007_1,22140.0,19686.566
2007_2,25964.0,25578.658
2007_3,33495.0,31685.885
2007_4,32832.0,34178.023
2007_5,34221.0,34210.355
2007_6,35333.0,33594.344
2007_7,31573.6,32405.918
2007_8,27814.2,28747.543
2007_9,24054.799,24650.23
2007_10,20295.4,20916.033
