year,단감_true,단감_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,24557.708166666667,24963.383333333335,24616.303233333332,24933.513733333333,1,0,1.0,0.0,58.595066666664934,0.0,58.595066666664934,0.0,58.595066666664934
2007,26551.916500000007,26406.73716666667,24878.158300000003,25123.38823333333,0,0,0.5,0.0,0.0,0.0,29.297533333332467,0.0,14.648766666666234
2008,22299.666833333333,22060.73220833333,25490.33326666667,25524.834016666664,1,1,0.6666666666666666,0.3333333333333333,3190.6664333333356,3464.101808333333,1083.087166666667,1154.7006027777777,722.0581111111112
2009,25238.833416666665,25415.287833333332,25201.083300000002,25209.66900833333,0,0,0.5,0.25,0.0,0.0,812.3153750000001,866.0254520833332,406.15768750000007
2010,28114.083,27182.549083333335,25459.55828333334,25356.62950833333,0,0,0.4,0.2,0.0,0.0,649.8523000000001,692.8203616666666,259.94092000000006
2011,29845.62483333333,29124.230083333332,25352.441583333337,25205.737924999998,0,0,0.3333333333333333,0.16666666666666666,0.0,0.0,541.5435833333335,577.3503013888889,180.5145277777778
2012,30216.000166666665,29397.854833333335,26410.024916666665,26037.907274999998,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,464.1802142857144,494.8716869047618,132.62291836734695
2013,27395.04166666666,27325.437166666667,27142.841649999995,26636.130808333335,0,0,0.25,0.125,0.0,0.0,406.15768750000007,433.0127260416666,101.53942187500002
2014,25985.24975,25776.471999999998,28161.916616666662,27689.071800000005,1,1,0.3333333333333333,0.2222222222222222,2176.666866666663,1912.5998000000072,602.8809296296292,597.4112898148155,200.96030987654308
2015,19723.583333333332,21248.808999999997,28311.199883333327,27761.30863333334,1,1,0.4,0.3,8587.616549999995,6512.499633333344,1401.3544916666658,1188.9201241666683,560.5417966666663
2016,23231.41633333333,23296.16625,26633.099949999993,26574.560616666673,1,1,0.45454545454545453,0.36363636363636365,3401.6836166666617,3278.3943666666746,1583.2025939393927,1378.8723280303054,719.6375426997239
2017,26097.083166666667,25416.81466666667,25310.25824999999,25408.947850000008,0,0,0.4166666666666667,0.3333333333333333,0.0,0.0,1451.2690444444434,1263.9663006944465,604.6954351851848
2018,30543.0,28301.20958333333,24486.47484999999,24612.739816666675,0,0,0.38461538461538464,0.3076923076923077,0.0,0.0,1339.6329641025632,1166.7381237179507,515.243447731755
2019,30099.333499999997,29022.16416666667,25116.066516666662,24807.894300000007,0,0,0.35714285714285715,0.2857142857142857,0.0,0.0,1243.9448952380942,1083.3996863095256,444.26603401360506
2020,35634.66691666667,34350.909916666664,25938.883266666664,25457.032733333348,0,0,0.3333333333333333,0.26666666666666666,0.0,0.0,1161.0152355555547,1011.1730405555572,387.0050785185182
