연월,당근(무세척)_true,당근(무세척)_pred
2001_7,26312.0,16095.147
2001_8,31632.0,33119.99
2001_9,29488.998,30284.336
2001_10,22232.0,29216.64
2001_11,15242.0,21650.238
2001_12,9645.999,14717.597
2002_1,11896.0,9521.679
2002_2,11315.0,15737.522
2002_3,9857.0,11950.255
2002_4,9140.0,11130.264
2002_5,10504.001,11145.026
2002_6,12480.0,13223.096
2002_7,18017.0,14687.493
2002_8,17551.998,21391.477
2002_9,17037.998,16558.178
2002_10,17357.0,18353.246
2002_11,17861.998,18832.686
2002_12,18977.0,18895.002
2003_1,19633.0,20258.787
2003_2,15888.001,20432.09
2003_3,14165.001,14912.022
2003_4,13287.999,15855.474
2003_5,15760.0,14582.952
2003_6,17591.998,18363.73
2003_7,24092.0,18650.783
2003_8,21123.0,27838.69
2003_9,20469.0,18023.396
2003_10,22052.0,22973.826
2003_11,27554.0,23610.338
2003_12,25440.0,30094.91
2004_1,15908.0,22579.93
2004_2,13556.999,13843.283
2004_3,13067.001,16744.602
2004_4,13046.001,14176.241
2004_5,14932.998,14360.026
2004_6,18017.0,17138.225
2004_7,18837.998,19999.092
2004_8,17818.0,19207.316
2004_9,21338.998,18244.152
2004_10,24820.998,24573.89
2004_11,27789.998,25714.414
2004_12,26827.0,28967.818
2005_1,25230.0,26248.469
2005_2,22162.0,25880.076
2005_3,20434.998,21300.057
2005_4,18927.0,20668.41
2005_5,18751.998,18810.87
2005_6,19673.0,19582.994
2005_7,17810.0,20729.549
2005_8,18090.998,17308.03
2005_9,19017.0,19887.307
2005_10,18745.0,20082.713
2005_11,17381.0,19071.137
2005_12,16496.0,17807.002
2006_1,13655.0,17542.56
2006_2,11555.0,13684.768
2006_3,11450.001,12850.6455
2006_4,12254.999,13578.34
2006_5,15629.999,14210.832
2006_6,27890.0,18353.736
2006_7,33267.0,34242.344
2006_8,33610.0,31865.66
2006_9,34664.0,35330.97
2006_10,39673.0,37488.668
2006_11,42821.0,41442.84
2006_12,21810.0,41120.53
2007_1,15110.001,11067.134
2007_2,12691.001,18482.684
2007_3,12494.999,11925.522
2007_4,10562.0,14063.147
2007_5,13418.999,11244.158
2007_6,15410.001,16894.834
2007_7,17680.0,16731.62
2007_8,16781.0,19325.172
2007_9,17535.998,16750.555
2007_10,18694.0,19450.91
2007_11,28409.0,19915.371
2007_12,28908.998,34093.61
2008_1,26325.998,25479.037
2008_2,19273.0,27505.232
2008_3,21689.0,17741.133
2008_4,22823.998,25471.322
2008_5,27019.0,21580.898
2008_6,24789.0,29359.17
2008_7,20410.0,22483.512
2008_8,18826.0,20385.201
2008_9,21349.998,20098.377
2008_10,28837.998,23108.709
2008_11,24291.0,31955.438
2008_12,17870.0,19586.193
2009_1,16486.0,18560.926
2009_2,16305.001,18702.25
2009_3,17870.0,16801.592
2009_4,17864.0,19378.754
2009_5,22955.0,18193.748
2009_6,29863.0,26585.42
2009_7,26427.0,32061.621
2009_8,30199.998,23055.828
2009_9,31323.998,36305.414
2009_10,32900.0,29172.53
2009_11,31752.0,34016.703
2009_12,24971.0,30350.914
