year,당근(무세척)_true,당근(무세척)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,24856.666583333335,25975.991125,18947.282883333333,20001.940349999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,17307.99975,17495.39308333333,19433.5163,20361.006975,1,1,0.5,0.5,2125.5165500000003,2865.6138916666714,1062.7582750000001,1432.8069458333357,531.3791375000001
2008,22792.082666666665,23729.518500000006,20028.533000000003,20836.320191666666,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,708.5055166666667,955.2046305555572,236.16850555555556
2009,24909.74975,25265.474999999995,20636.016216666667,21488.940591666666,0,0,0.25,0.25,0.0,0.0,531.3791375000001,716.4034729166679,132.84478437500002
2010,25976.999583333334,25902.841916666668,21851.949650000002,22616.219108333335,0,0,0.2,0.2,0.0,0.0,425.1033100000001,573.1227783333343,85.02066200000002
2011,37154.2495,36949.665916666665,23168.699666666664,23673.843925,0,0,0.16666666666666666,0.16666666666666666,0.0,0.0,354.25275833333336,477.6023152777786,59.04212638888889
2012,30401.583333333332,28856.043916666666,25628.216249999998,25868.578883333328,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,303.64522142857146,409.3734130952388,43.37788877551021
2013,57035.91783333333,53902.48125000001,28246.932966666667,28140.709049999998,0,0,0.125,0.125,0.0,0.0,265.68956875000003,358.2017364583339,33.211196093750004
2014,30192.7495,30927.307249999998,35095.700000000004,34175.3016,1,1,0.2222222222222222,0.2222222222222222,4902.950500000003,3247.994350000001,780.9407833333337,679.2898046296302,173.54239629629637
2015,25250.58308333333,25190.22,36152.29995000001,35307.66804999999,1,1,0.3,0.3,10901.716866666677,10117.448049999992,1793.0183916666679,1623.1056291666664,537.9055175000003
2016,35201.333333333336,32558.631000000005,36007.01665000001,35165.14366666666,1,1,0.36363636363636365,0.36363636363636365,805.6833166666765,2606.5126666666583,1703.2606575757598,1712.5062689393928,619.3675118457309
2017,45375.416666666664,42831.44308333334,35616.43341666668,34286.936683333326,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,1561.3222694444464,1569.7974131944436,520.4407564814821
2018,41546.8335,39184.95058333333,38611.200083333344,37082.01651666666,0,0,0.3076923076923077,0.3076923076923077,0.0,0.0,1441.2205564102583,1449.0437660256403,443.4524788954641
2019,34844.1665,34619.0945,35513.383216666676,34138.51038333333,1,0,0.35714285714285715,0.2857142857142857,669.2167166666768,0.0,1386.0774250000024,1345.5406398809516,495.0276517857152
2020,48389.75066666667,45315.15974999999,36443.66661666667,34876.86783333332,0,0,0.3333333333333333,0.26666666666666666,0.0,0.0,1293.6722633333354,1255.8379305555547,431.22408777777844
