연월,대파_true,대파_pred
2001_7,827.99994,996.74115
2001_8,873.0,764.14056
2001_9,1080.0,1014.1828
2001_10,1132.0,1284.5264
2001_11,988.0,1138.4637
2001_12,780.0,1015.14655
2002_1,758.0,769.6957
2002_2,830.0,814.2144
2002_3,730.0,908.0218
2002_4,654.0,684.4757
2002_5,616.0,717.7402
2002_6,847.0,667.8421
2002_7,752.99994,988.7699
2002_8,704.0,665.934
2002_9,1030.0,859.5323
2002_10,1563.0,1275.6487
2002_11,1067.0,1527.677
2002_12,962.99994,915.21936
2003_1,1102.0,1070.402
2003_2,1471.0,1247.6575
2003_3,1858.9999,1594.8721
2003_4,2052.0,1768.3268
2003_5,1501.0,1944.6998
2003_6,1411.0,1246.1427
2003_7,937.0,1449.0925
2003_8,963.99994,874.67535
2003_9,1123.0,1152.1787
2003_10,1662.0,1318.585
2003_11,2223.0,1743.8312
2003_12,1864.0,1943.8938
2004_1,1466.0,1690.0878
2004_2,1313.0,1219.0881
2004_3,1625.0,1402.3457
2004_4,1712.0,1855.1748
2004_5,1121.0,1704.553
2004_6,741.0,940.23413
2004_7,659.99994,531.1728
2004_8,705.0,702.99817
2004_9,1051.0,859.70703
2004_10,1161.0,1191.6174
2004_11,996.0,1089.1426
2004_12,788.0,1087.0878
2005_1,663.0,832.20105
2005_2,657.0,661.7985
2005_3,785.99994,708.0743
2005_4,752.99994,862.30835
2005_5,567.99994,725.2886
2005_6,661.0,608.27295
2005_7,959.99994,843.1781
2005_8,1056.0,1073.364
2005_9,1313.0,995.4986
2005_10,1520.0,1513.7365
2005_11,1522.0,1560.0566
2005_12,1437.0,1520.2212
2006_1,1643.0,1436.4143
2006_2,1770.0,1798.7186
2006_3,2262.0,1820.012
2006_4,2170.0,2298.05
2006_5,1973.0,1999.0211
2006_6,1400.0,1962.6534
2006_7,983.99994,1292.9457
2006_8,1012.0,990.71155
2006_9,1187.0,1224.8776
2006_10,1107.0,1371.2335
2006_11,997.99994,1088.7069
2006_12,855.0,1034.0762
2007_1,792.0,846.7597
2007_2,764.0,828.3381
2007_3,768.0,798.49054
2007_4,628.0,803.9905
2007_5,616.0,599.7179
2007_6,794.99994,700.2636
2007_7,907.0,912.63873
2007_8,840.0,906.1923
2007_9,1111.9999,906.1817
2007_10,1685.0,1378.3903
2007_11,2192.0,1707.2992
2007_12,1803.0,1887.3932
2008_1,1820.0,1648.9231
2008_2,1706.0,1804.22
2008_3,1679.0,1789.2834
2008_4,1939.0,1832.6117
2008_5,1120.0,2109.526
2008_6,979.0,893.7286
2008_7,810.99994,956.6279
2008_8,780.0,881.071
2008_9,904.99994,911.0027
2008_10,1011.0,1010.10974
2008_11,929.0,1039.8927
2008_12,903.0,940.07135
2009_1,920.0,1007.9912
2009_2,1032.0,983.88965
2009_3,983.0,1118.22
2009_4,929.99994,978.0495
2009_5,1004.99994,988.4254
2009_6,1225.0,1106.3883
2009_7,1646.0,1333.2195
2009_8,1563.0,1685.3904
2009_9,1669.0,1454.785
2009_10,1685.0,1753.0076
2009_11,1520.0,1693.5071
2009_12,1551.0,1572.591
2010_1,1465.0,1697.4618
2010_2,1516.0,1555.5631
2010_3,1693.0,1676.306
2010_4,1692.0001,1826.4373
2010_5,1811.0,1728.9479
2010_6,2127.0,1910.9775
2010_7,2079.0,2194.146
2010_8,1842.9999,2022.4468
2010_9,1877.0001,1844.6941
2010_10,3868.0,2074.707
2010_11,3144.0,3249.6921
2010_12,2770.0,2761.467
2011_1,2453.0,2473.1233
2011_2,3408.0,3399.4978
2011_3,2789.0,2788.5474
2011_4,2413.0,2357.8552
2011_5,1405.0,1406.4126
2011_6,1034.0,968.5332
2011_7,883.99994,924.7514
2011_8,1046.0,1081.926
2011_9,1301.0,1170.9071
2011_10,1562.0,1406.6376
2011_11,1211.0,1559.0314
2011_12,1139.0,1108.1393
2012_1,992.0,1163.9949
2012_2,1138.0,1001.80634
2012_3,1600.0,1326.9227
2012_4,1665.0,1738.4305
2012_5,1400.0,1528.0695
2012_6,1670.0,1345.5168
2012_7,2116.0,1844.2163
2012_8,1935.9999,2136.4463
2012_9,2346.0,1835.887
2012_10,3046.0,2468.6028
2012_11,2538.0,2777.0315
2012_12,2224.0,2292.1191
2013_1,2319.0,2284.9734
2013_2,2224.0,2122.0356
2013_3,2204.0,2162.7537
2013_4,2206.0,2191.3855
2013_5,2229.0,2224.9463
2013_6,2001.9999,2232.248
2013_7,1409.0,1977.8174
2013_8,1303.0,1311.6387
2013_9,1382.0,1476.1989
2013_10,1669.0,1608.0955
2013_11,1423.0,1764.1134
2013_12,1453.0,1344.8876
2014_1,1408.0,1552.2136
2014_2,1235.0,1468.5536
2014_3,1304.0,1302.7064
2014_4,1201.0,1452.953
2014_5,1048.0,1245.0928
2014_6,1083.0,1077.293
2014_7,1164.0,1186.38
2014_8,1058.0,1266.263
2014_9,1212.0,1047.8209
2014_10,1313.0,1363.3239
2014_11,1135.0,1358.6105
2014_12,1071.0,1097.3568
2015_1,1425.0,1118.8458
2015_2,1255.0,1650.3331
2015_3,1478.0,1154.9774
2015_4,1551.0,1667.9457
2015_5,1535.0,1546.4359
2015_6,1923.0,1589.3248
2015_7,2465.0,2067.7876
2015_8,2134.0,2314.3362
2015_9,1991.0,1957.0275
2015_10,1901.9999,2027.1586
2015_11,1770.0,2029.0005
2015_12,1823.0,1866.216
2016_1,2026.0,1996.9481
2016_2,2295.0,2130.913
2016_3,3228.0,2274.2058
2016_4,2723.0,2907.7612
2016_5,2345.0,2379.9797
2016_6,2315.0,2243.8772
2016_7,1898.0,2027.7133
2016_8,1596.0,1688.7903
2016_9,1891.0,1617.3707
2016_10,2414.0,2167.3552
2016_11,2310.0,2216.3472
2016_12,2379.0,2155.454
2017_1,2528.0,2434.908
2017_2,2444.0,2581.5723
2017_3,2533.0,2265.985
2017_4,2854.0,2444.8103
2017_5,2148.0,2632.2808
2017_6,1631.0,1673.4766
2017_7,1399.0,1330.6758
2017_8,1445.0,1264.1558
2017_9,2097.0,1649.1477
2017_10,2232.0,2122.1355
2017_11,1750.0001,1991.7388
2017_12,1677.0,1566.6829
2018_1,1753.0,1792.1418
2018_2,1965.0,1948.7766
2018_3,2390.0,2006.4392
2018_4,1849.9999,2355.5713
2018_5,1294.0,1666.892
2018_6,1467.0,1147.8328
2018_7,1422.0,1744.7264
2018_8,1566.0,1487.4791
2018_9,2188.0,1718.542
2018_10,3031.0,2252.595
2018_11,2313.0,2540.6228
2018_12,1950.0,2012.649
2019_1,1723.9999,2052.0737
2019_2,1614.0,1610.8507
2019_3,1587.0,1798.2281
2019_4,1276.0,1752.5049
2019_5,1195.0,1330.4185
2019_6,1456.0,1329.3313
2019_7,1553.0,1694.4049
2019_8,1685.0,1581.7418
2019_9,1894.0001,1747.8328
2019_10,2001.9999,1928.9828
2019_11,1922.0,2000.208
2019_12,1850.9999,1923.9502
2020_1,1769.0,1939.3685
2020_2,1657.0,1888.7151
2020_3,1363.0,1785.4663
2020_4,1064.0,1428.6294
2020_5,1265.0,1107.6187
2020_6,1664.0,1521.9961
2020_7,1852.0001,1784.1685
2020_8,1982.0,1751.5707
2020_9,3081.0,1957.522
2020_10,3178.0,2901.7249
2020_11,3019.0,2645.668
2020_12,2982.0,2860.2415
