year,대파_true,대파_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,1446.74999,1526.4517374999998,1088.016655,1112.5456501666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1075.1666533333334,1022.9713141666667,1187.9999883333335,1210.7292923333332,1,1,0.5,0.5,112.83333500000003,187.75797816666648,56.41666750000002,93.87898908333324,28.20833375000001
2008,1215.1666566666665,1318.0890158333334,1227.7833210000001,1235.4107025,1,0,0.6666666666666666,0.3333333333333333,12.616664333333574,0.0,41.816666444444536,62.58599272222216,27.87777762962969
2009,1310.74999,1306.2887208333334,1167.9999883333335,1209.7892148333335,0,0,0.5,0.25,0.0,0.0,31.362499833333402,46.93949454166662,15.681249916666701
2010,2157.083341666667,2045.2372166666667,1207.8333206666669,1233.1601368333334,0,0,0.4,0.2,0.0,0.0,25.089999866666723,37.55159563333329,10.03599994666669
2011,1720.4166616666669,1720.446858333333,1440.9833263333335,1443.807601,0,0,0.3333333333333333,0.16666666666666666,0.0,0.0,20.908333222222268,31.29299636111108,6.969444407407423
2012,1889.2499916666668,1788.253645,1495.716660666667,1482.6066251666666,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,17.921428476190517,26.82256830952378,5.120408136054433
2013,1818.5833250000003,1891.757833333333,1658.5333283333337,1635.6630913333333,0,0,0.25,0.125,0.0,0.0,15.681249916666701,23.46974727083331,3.9203124791666752
2014,1186.0,1284.880625,1779.2166620000003,1750.3968548333335,1,1,0.3333333333333333,0.2222222222222222,593.2166620000003,465.51622983333345,79.85185125925932,72.5860231111111,26.61728375308644
2015,1770.9999916666666,1749.1157583333334,1754.2666640000002,1746.1152356666666,0,0,0.3,0.2,0.0,0.0,71.86666613333338,65.3274208,21.559999840000014
2016,2285.0,2150.5596416666667,1677.0499940000004,1686.890944,0,0,0.2727272727272727,0.18181818181818182,0.0,0.0,65.3333328484849,59.388564363636355,17.818181685950425
2017,2061.5000083333334,1996.4641250000002,1789.9666616666673,1772.9135006666668,0,0,0.25,0.16666666666666666,0.0,0.0,59.88888844444449,54.43951733333333,14.972222111111122
2018,1932.4166583333333,1889.5223333333336,1824.4166650000006,1814.5555966666666,0,0,0.23076923076923078,0.15384615384615385,0.0,0.0,55.282050871794915,50.25186215384615,12.757396355029597
2019,1646.5833166666664,1729.2106416666666,1847.1833316666675,1814.108496666667,1,1,0.2857142857142857,0.21428571428571427,200.60001500000112,84.89785500000039,65.66190545238108,52.72657592857145,18.76054441496602
2020,2073.000008333333,1964.3908083333333,1939.2999950000008,1902.9745000000003,0,0,0.26666666666666666,0.2,0.0,0.0,61.284445088889,49.21147086666669,16.3425186903704
