연월,들깨(국산)_true,들깨(국산)_pred
2001_7,199480.0,198515.0
2001_8,196960.0,199101.38
2001_9,195926.0,197629.19
2001_10,194000.0,197881.47
2001_11,182292.0,196047.28
2001_12,175000.0,182203.97
2002_1,173400.0,176419.61
2002_2,174962.0,177272.3
2002_3,176000.0,179445.89
2002_4,177200.0,178877.08
2002_5,176720.0,179197.23
2002_6,171600.0,178176.6
2002_7,166870.02,172168.12
2002_8,160280.02,168106.47
2002_9,158769.0,161902.34
2002_10,155957.0,161999.62
2002_11,153923.02,158754.88
2002_12,151462.0,156298.8
2003_1,158542.0,153414.61
2003_2,164880.0,162661.05
2003_3,185217.0,167891.64
2003_4,189120.0,189943.47
2003_5,187880.0,188224.27
2003_6,186958.0,185680.16
2003_7,189083.0,187092.16
2003_8,191931.0,191614.1
2003_9,193554.0,194739.89
2003_10,194817.0,195601.89
2003_11,188731.0,196595.4
2003_12,186400.0,189009.39
2004_1,204154.0,188062.03
2004_2,206304.0,211288.67
2004_3,207000.0,208467.92
2004_4,207692.0,207072.44
2004_5,207542.0,208885.55
2004_6,203250.0,209457.16
2004_7,201154.02,204341.11
2004_8,187909.0,202997.0
2004_9,184087.0,187698.7
2004_10,179105.0,186485.11
2004_11,182429.0,182125.0
2004_12,214455.0,187101.72
2005_1,251600.0,224929.69
2005_2,262428.97,259810.5
2005_3,267353.0,260744.7
2005_4,268726.97,267204.56
2005_5,268000.0,270047.2
2005_6,267909.0,268649.0
2005_7,259856.98,268704.3
2005_8,235227.0,259141.14
2005_9,214583.0,231109.89
2005_10,214000.0,211292.16
2005_11,213476.0,217098.75
2005_12,234391.0,218682.9
2006_1,256590.98,242675.53
2006_2,256000.0,263175.38
2006_3,250300.0,255573.94
2006_4,244091.0,249336.47
2006_5,246150.0,243692.38
2006_6,245000.0,248272.78
2006_7,244000.0,246900.39
2006_8,244000.0,245544.95
2006_9,244091.0,245659.55
2006_10,251545.0,245890.48
2006_11,248632.0,254921.14
2006_12,238762.0,249667.55
2007_1,231600.0,237860.48
2007_2,236636.0,231457.56
2007_3,252736.98,240148.33
2007_4,237810.0,259139.06
2007_5,236143.0,236126.78
2007_6,230429.0,236429.08
2007_7,214900.0,231137.97
2007_8,209000.0,214248.48
2007_9,206864.02,210280.97
2007_10,199765.02,210238.3
2007_11,202545.0,201928.02
2007_12,233227.0,206197.19
2008_1,231263.0,243505.97
2008_2,230364.0,231455.12
2008_3,232000.0,229369.14
2008_4,232524.0,233684.83
2008_5,238714.0,234729.0
2008_6,235526.0,241972.52
2008_7,235050.0,236575.53
2008_8,243435.0,236423.47
2008_9,247600.0,247177.47
2008_10,248189.98,250458.95
2008_11,244635.98,249575.73
2008_12,244000.0,245098.0
2009_1,247904.98,245302.44
2009_2,256316.0,250572.45
2009_3,270050.0,260003.78
2009_4,285955.0,274499.34
2009_5,309773.0,290437.1
2009_6,324632.0,315502.38
2009_7,343636.0,328660.22
2009_8,348957.0,347802.34
2009_9,346286.0,351056.38
2009_10,342000.0,345718.53
2009_11,326190.0,340079.0
2009_12,317429.0,322757.5
2010_1,334762.0,314461.97
2010_2,340700.0,336707.25
2010_3,346526.0,342894.0
2010_4,350364.0,347237.62
2010_5,356273.0,350445.75
2010_6,342105.0,356520.0
2010_7,338857.0,339836.25
2010_8,337636.0,336510.25
2010_9,316273.0,336391.5
2010_10,292947.0,313296.72
2010_11,289810.0,287311.34
2010_12,339273.0,287183.12
2011_1,348957.0,350118.5
2011_2,349714.0,353104.28
2011_3,347059.0,349897.94
2011_4,343879.0,346808.22
2011_5,328492.0,342230.7
2011_6,306900.0,325475.9
2011_7,281238.0,302161.78
2011_8,272190.0,275360.97
2011_9,267817.97,269935.9
2011_10,272700.0,268575.25
2011_11,272900.0,275735.6
2011_12,284364.0,274350.78
2012_1,290000.0,287594.66
2012_2,287150.0,292181.53
2012_3,287000.0,287144.62
2012_4,287000.0,286949.38
2012_5,287000.0,287143.44
2012_6,287000.0,287366.03
2012_7,287000.0,287298.75
2012_8,288273.0,287295.28
2012_9,289000.0,288818.28
2012_10,290100.0,289489.0
2012_11,297571.0,290601.94
2012_12,406136.0,299282.72
2013_1,417158.0,424618.25
2013_2,419273.0,423714.0
2013_3,420632.0,420189.97
2013_4,429620.0,429483.56
2013_5,466255.0,429992.44
2013_6,480000.0,465121.47
2013_7,483474.0,476436.94
2013_8,487826.0,475449.1
2013_9,492667.0,479903.12
2013_10,498667.0,472773.47
2013_11,440000.0,471430.66
2013_12,390771.0,430336.94
2014_1,430190.0,391120.62
2014_2,436000.0,429234.28
2014_3,436000.0,442088.2
2014_4,446381.0,431700.44
2014_5,450000.0,447292.25
2014_6,448526.0,448042.2
2014_7,443684.0,444777.62
2014_8,440696.0,440856.1
2014_9,438842.0,437533.97
2014_10,437778.0,436108.8
2014_11,420667.0,435337.0
2014_12,407360.0,419952.66
2015_1,421857.0,407329.56
2015_2,430000.0,423412.38
2015_3,430000.0,431952.4
2015_4,426727.0,429110.44
2015_5,423091.0,426543.03
2015_6,420000.0,422972.0
2015_7,420000.0,420182.66
2015_8,420000.0,420420.47
2015_9,420000.0,420561.25
2015_10,421300.0,420369.88
2015_11,420571.0,421652.03
2015_12,418000.0,420931.78
2016_1,408571.0,418246.0
2016_2,398000.0,409012.3
2016_3,398000.0,398602.75
2016_4,398000.0,399471.8
2016_5,396200.0,400148.97
2016_6,388000.0,397357.56
2016_7,388000.0,388210.5
2016_8,376571.0,388448.75
2016_9,363636.0,376950.12
2016_10,367474.0,363041.72
2016_11,372500.0,367846.44
2016_12,368727.0,374605.88
2017_1,351333.0,368999.16
2017_2,346900.0,348804.5
2017_3,346600.0,344707.66
2017_4,343455.0,346633.5
2017_5,340600.0,343680.56
2017_6,333263.0,339554.16
2017_7,332000.0,331369.7
2017_8,331714.0,330770.72
2017_9,330000.0,331069.22
2017_10,329190.0,329345.38
2017_11,324575.0,328275.7
2017_12,315418.0,323089.72
2018_1,313316.0,313000.28
2018_2,313000.0,311697.0
2018_3,318000.0,312478.38
2018_4,316429.0,318732.75
2018_5,315000.0,316040.3
2018_6,316600.0,314135.3
2018_7,320579.0,316079.62
2018_8,320755.0,320894.1
2018_9,340061.0,320537.47
2018_10,394247.0,342717.0
2018_11,435857.0,402953.66
2018_12,443218.0,442468.16
2019_1,445084.0,447662.1
2019_2,449391.0,450300.78
2019_3,457224.0,450369.9
2019_4,478010.0,453411.75
2019_5,488563.97,469979.2
2019_6,492000.0,477543.28
2019_7,495642.0,476465.4
2019_8,499904.0,477146.97
2019_9,502029.03,472601.7
2019_10,498231.97,469337.78
2019_11,492876.0,465021.88
2019_12,473648.0,460085.28
2020_1,458500.0,447394.78
2020_2,459200.0,437459.4
2020_3,456340.0,441995.06
