year,들깨(국산)_true,들깨(국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,247430.165,249275.87833333333,197403.4166666667,198920.67916666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,224304.66833333333,226266.0183333333,208767.51633333333,209729.91183333332,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,238608.49666666667,240002.1441666667,220342.73233333332,220839.46649999995,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,309927.415,306032.62166666664,231112.54833333328,232132.09483333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,332127.1666666667,329066.31416666665,253346.68099999995,253605.57899999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,306350.9141666666,311146.31833333336,270479.5823333333,270128.5953333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,298602.5,289263.8025,282263.73216666665,282502.6833333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,452195.25,449954.1600000001,297123.2984999999,295102.2401666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,436343.6666666667,433670.34500000003,339840.6491666666,337092.6433333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,422628.8333333333,422119.8233333333,365123.89949999994,362620.18799999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,385306.5833333333,390161.89916666667,383224.23283333326,381230.8898333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,335420.6666666667,338858.3316666666,399015.3666666666,397034.00599999994,1,1,0.08333333333333333,0.08333333333333333,63594.699999999895,58175.67433333333,5299.558333333324,4847.97286111111,441.62986111111036
2018,345588.5,335977.835,406378.9999999999,406952.91183333326,1,1,0.15384615384615385,0.15384615384615385,60790.49999999988,70975.07683333324,9568.09230769229,9934.673166666658,1472.0142011834293
2019,481050.3308333333,464160.5016666667,385057.6499999999,384157.6468333333,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,8884.657142857128,9225.053654761898,1269.2367346938754
2020,493776.3358333334,462886.82083333336,393998.9828333332,390255.6781666666,0,0,0.13333333333333333,0.13333333333333333,0.0,0.0,8292.346666666652,8610.05007777777,1105.6462222222203
