연월,딸기_true,딸기_pred
2001_7,5359.9995,5834.3774
2001_8,5748.286,5624.713
2001_9,6136.572,7278.6255
2001_10,6524.857,8085.5337
2001_11,6913.1426,7480.0664
2001_12,7301.4287,7479.397
2002_1,7689.7144,7831.808
2002_2,6716.5,8187.84
2002_3,11430.999,7428.038
2002_4,9675.0,10920.688
2002_5,9663.999,10482.393
2002_6,7827.0,9213.393
2002_7,5667.0,7831.5225
2002_8,6165.0,6723.8
2002_9,6663.0,7374.205
2002_10,7161.0,8441.524
2002_11,7659.0,8351.624
2002_12,8157.0,8088.1626
2003_1,8654.999,8551.041
2003_2,7867.9995,9020.509
2003_3,13733.0,8383.825
2003_4,11172.999,13148.988
2003_5,9813.999,11456.612
2003_6,6943.9995,9001.552
2003_7,8354.714,6599.384
2003_8,9765.429,9738.091
2003_9,11176.143,11305.077
2003_10,12586.857,12216.387
2003_11,13997.57,12416.156
2003_12,15408.286,14036.258
2004_1,16819.0,15771.6
2004_2,15243.0,17545.652
2004_3,12517.0,14361.138
2004_4,10508.0,10828.726
2004_5,9190.0,8581.988
2004_6,8843.0,9181.023
2004_7,9166.125,10028.007
2004_8,9489.25,10520.575
2004_9,9812.375,10521.023
2004_10,10135.5,10423.13
2004_11,10458.625,10558.393
2004_12,10781.75,10878.22
2005_1,11104.875,11200.569
2005_2,8401.499,11525.09
2005_3,14798.0,8553.12
2005_4,12444.999,14775.959
2005_5,11324.0,12856.768
2005_6,6936.0,10828.923
2005_7,5697.0,5898.4185
2005_8,8872.749,6507.17
2005_9,12048.5,10359.532
2005_10,15224.249,13973.635
2005_11,18400.0,15459.379
2005_12,16283.0,18056.865
2006_1,16445.0,15461.062
2006_2,16864.0,17256.113
2006_3,13520.0,14527.891
2006_4,11763.999,12213.681
2006_5,10940.0,10307.636
2006_6,8000.0,10137.453
2006_7,6000.0,8111.6665
2006_8,6850.715,6761.867
2006_9,7701.4277,8346.571
2006_10,8552.143,9603.035
2006_11,9402.857,9497.565
2006_12,10253.571,9509.782
2007_1,11104.285,10352.66
2007_2,17330.0,11222.526
2007_3,16600.0,17574.059
2007_4,13114.0,15986.332
2007_5,13048.0,12445.403
2007_6,9532.0,10705.871
2007_7,11527.429,8416.239
2007_8,13522.856,12765.157
2007_9,15518.286,15045.399
2007_10,17513.715,17069.615
2007_11,19509.143,18143.816
2007_12,21504.572,20945.848
2008_1,23500.0,23148.594
2008_2,19782.0,24764.852
2008_3,15633.0,18151.55
2008_4,13048.0,13296.57
2008_5,11838.0,12473.882
2008_6,9840.0,12975.227
2008_7,11071.428,10098.023
2008_8,12302.856,12273.794
2008_9,13534.286,13700.393
2008_10,14765.714,14543.067
2008_11,15997.143,15093.639
2008_12,17228.572,16588.29
2009_1,18460.0,17999.127
2009_2,17297.0,19191.996
2009_3,14260.0,16032.313
2009_4,14345.0,12091.179
2009_5,12373.0,12841.736
2009_6,10587.0,11693.955
2009_7,11872.571,10318.567
2009_8,13158.143,12474.519
2009_9,14443.715,14739.315
2009_10,15729.286,15481.442
2009_11,17014.857,16243.479
2009_12,18300.43,17780.361
2010_1,19586.0,19118.951
2010_2,19730.0,20185.408
2010_3,17832.0,19209.121
2010_4,16927.0,16273.909
2010_5,15431.001,15472.861
2010_6,13989.001,14595.399
2010_7,15980.144,13631.413
2010_8,17971.287,16765.703
2010_9,19962.428,19546.871
2010_10,21953.57,21770.24
2010_11,23944.713,23518.646
2010_12,25935.857,25137.379
2011_1,27927.002,26628.443
2011_2,24514.0,26546.93
2011_3,22176.0,21880.52
2011_4,16975.0,17041.85
2011_5,14932.0,15638.907
2011_6,12013.0,12997.746
2011_7,13954.001,13757.786
2011_8,15894.999,15680.074
2011_9,17836.0,17901.215
2011_10,19777.0,19590.363
2011_11,21718.0,21266.906
2011_12,23659.0,23213.236
2012_1,25600.0,24787.395
2012_2,24400.0,26331.385
2012_3,24152.0,22360.93
2012_4,20152.0,19801.424
2012_5,15339.999,17308.434
2012_6,12000.0,12161.432
2012_7,12899.5,12529.402
2012_8,13799.0,14496.166
2012_9,14698.499,15777.548
2012_10,15598.0,15971.325
2012_11,16497.5,16149.229
2012_12,17397.0,17055.582
2013_1,18296.5,17844.469
2013_2,20600.0,18530.994
2013_3,20526.0,21707.033
2013_4,16720.0,19868.312
2013_5,15199.999,15320.646
2013_6,13200.0,12932.88
2013_7,15199.999,13191.854
2013_8,17200.0,16852.695
2013_9,19200.0,18906.52
2013_10,21200.0,21007.059
2013_11,23200.0,22878.541
2013_12,25200.0,24527.361
2014_1,27200.0,26208.148
2014_2,26560.0,26808.164
2014_3,21720.0,23641.785
2014_4,18771.0,18297.168
2014_5,15527.0,15263.827
2014_6,14800.001,14646.779
2014_7,16657.143,15582.631
2014_8,18514.285,18564.88
2014_9,20371.428,20451.936
2014_10,22228.57,21977.465
2014_11,24085.713,23421.953
2014_12,25942.857,25014.7
2015_1,27800.0,26239.086
2015_2,25390.0,25966.38
2015_3,23553.0,22595.426
2015_4,18018.0,18139.256
2015_5,16173.0,15660.037
2015_6,13354.0,13068.2295
2015_7,15474.857,14773.756
2015_8,17595.713,17489.996
2015_9,19716.572,19523.77
2015_10,21837.43,21784.488
2015_11,23958.285,23699.756
2015_12,26079.143,25430.309
2016_1,28200.0,27053.666
2016_2,26860.0,27071.969
2016_3,26067.0,24313.928
2016_4,19400.0,19718.186
2016_5,15899.999,15556.44
2016_6,14017.999,14057.277
2016_7,15657.285,15091.846
2016_8,17296.57,17901.736
2016_9,18935.857,19258.535
2016_10,20575.143,20447.305
2016_11,22214.428,21647.97
2016_12,23853.715,22951.51
2017_1,25493.0,24463.871
2017_2,26300.0,25463.123
2017_3,20860.0,24137.936
2017_4,15218.0,17644.074
2017_5,12100.0,13073.027
2017_6,11867.0,13832.802
2017_7,14672.5,13537.632
2017_8,17478.0,17562.639
2017_9,20283.5,19976.238
2017_10,23089.0,22170.84
2017_11,25894.5,26146.557
2017_12,28700.0,28841.305
2018_1,25663.0,30222.637
2018_2,25345.0,23601.547
2018_3,21567.0,18716.28
2018_4,16524.0,16448.066
2018_5,16352.001,12828.749
2018_6,17229.0,14844.618
2018_7,18679.143,19434.45
2018_8,20129.285,20851.602
2018_9,21579.428,20871.637
2018_10,23029.57,22228.363
2018_11,24479.715,23448.92
2018_12,25929.857,24600.504
2019_1,27380.0,24768.205
2019_2,22882.0,24392.14
2019_3,18412.0,20074.064
2019_4,16320.0,14999.065
2019_5,14608.999,16149.889
2019_6,13367.0,15378.612
2019_7,15534.999,14159.266
2019_8,17703.0,16927.338
2019_9,19871.0,19558.066
2019_10,22039.0,21765.096
2019_11,24207.0,23979.85
2019_12,26375.0,25746.31
2020_1,28543.0,27326.928
2020_2,31799.998,27185.906
2020_3,20363.0,29341.967
2020_4,17382.0,18162.643
2020_5,17680.0,13143.738
2020_6,16633.0,17948.121
2020_7,18849.857,18362.383
2020_8,21066.715,20747.379
2020_9,23283.572,21757.293
