연월,무_true,무_pred
2001_7,8609.999,8196.964
2001_8,14362.0,11349.653
2001_9,13772.0,16612.115
2001_10,9224.0,12417.332
2001_11,5862.0,8027.958
2001_12,4443.0,4178.2363
2002_1,4890.9995,4533.4404
2002_2,4631.0,6066.0527
2002_3,4259.0,4865.5063
2002_4,3968.0002,5793.999
2002_5,4864.9995,6232.0825
2002_6,7611.9995,7045.509
2002_7,7932.0,9947.387
2002_8,7764.9995,9427.255
2002_9,9049.0,8549.788
2002_10,13677.0,10392.22
2002_11,10366.999,16132.048
2002_12,9471.999,9667.006
2003_1,12605.0,12419.835
2003_2,11768.0,15296.148
2003_3,11642.0,9749.403
2003_4,15418.0,13621.418
2003_5,15897.001,16640.791
2003_6,10226.999,12632.72
2003_7,5522.0,8268.37
2003_8,5347.0,4486.071
2003_9,5192.9995,7125.6265
2003_10,9599.999,5093.405
2003_11,13409.0,12282.974
2003_12,12011.0,16149.3545
2004_1,9087.999,9451.105
2004_2,5749.9995,7497.3354
2004_3,5255.0,4676.7837
2004_4,5845.9995,6654.187
2004_5,5701.0,6911.592
2004_6,4457.9995,5762.2373
2004_7,6952.0,5639.743
2004_8,13667.0,9215.847
2004_9,28993.0,19765.8
2004_10,20979.0,20450.559
2004_11,9272.999,8942.149
2004_12,5711.0,6659.838
2005_1,4437.9995,4430.406
2005_2,4450.9995,3153.75
2005_3,4063.9995,5301.6714
2005_4,3347.0,4233.3374
2005_5,5895.0,5061.35
2005_6,6392.9995,8323.705
2005_7,6147.9995,8692.9
2005_8,11274.0,7668.5283
2005_9,12094.0,14004.268
2005_10,17035.0,13159.962
2005_11,16808.0,17754.219
2005_12,14146.0,13274.496
2006_1,12421.0,13295.167
2006_2,9682.0,12523.63
2006_3,10495.999,8305.316
2006_4,10689.0,13181.251
2006_5,9769.0,10164.629
2006_6,8074.0,10258.991
2006_7,8586.0,7919.9497
2006_8,8950.0,9748.028
2006_9,13490.0,9477.328
2006_10,16913.0,16228.292
2006_11,9217.0,13715.825
2006_12,5726.9995,8035.602
2007_1,5215.9995,5760.583
2007_2,4275.9995,3857.215
2007_3,4655.0,4112.2017
2007_4,5512.0,5322.8706
2007_5,6559.0,7499.1885
2007_6,6648.9995,8307.83
2007_7,13280.0,8306.9375
2007_8,12912.0,16547.65
2007_9,11726.0,12440.344
2007_10,13680.0,12783.174
2007_11,17682.0,16224.263
2007_12,16335.0,16488.959
2008_1,13846.0,13914.668
2008_2,9496.0,12328.993
2008_3,7437.9995,8490.325
2008_4,7850.0,7246.158
2008_5,7509.9995,10057.688
2008_6,7304.0,7495.775
2008_7,6590.9995,7517.6953
2008_8,6454.0,6925.826
2008_9,8606.0,6991.043
2008_10,7817.0,10692.069
2008_11,7316.0,7874.271
2008_12,7481.9995,7470.135
2009_1,7288.9995,8822.319
2009_2,7801.0,7568.588
2009_3,7541.9995,8419.208
2009_4,7093.0,8048.6704
2009_5,7179.9995,7189.7866
2009_6,8973.0,7897.381
2009_7,7209.0,10594.66
2009_8,7976.0,6749.734
2009_9,8285.999,8951.446
2009_10,8438.0,10824.467
2009_11,7904.9995,8435.674
2009_12,7362.0,8056.978
2010_1,6856.9995,7411.87
2010_2,7051.9995,7147.4897
2010_3,8128.0,7717.5605
2010_4,9660.0,9324.67
2010_5,13918.0,10620.424
2010_6,16753.0,15298.906
2010_7,16524.0,14023.396
2010_8,21700.0,14950.213
2010_9,23364.0,22325.633
2010_10,26947.0,20500.355
2010_11,33470.0,35491.22
2010_12,21914.0,23091.936
2011_1,19200.0,19770.887
2011_2,13450.0,12125.59
2011_3,12416.0,12782.095
2011_4,15164.0,15233.919
2011_5,14362.0,17167.977
2011_6,10896.0,12169.999
2011_7,7369.9995,9660.032
2011_8,13010.0,6200.151
2011_9,27727.0,21333.465
2011_10,17600.0,17154.016
2011_11,9749.999,10208.32
2011_12,7006.9995,6016.0117
2012_1,6332.9995,6219.478
2012_2,6830.0,7335.007
2012_3,8910.0,9130.358
2012_4,10267.0,10309.619
2012_5,9850.0,10765.84
2012_6,11210.0,9074.63
2012_7,12545.0,11785.713
2012_8,15125.0,13401.968
2012_9,11845.0,15342.554
2012_10,15030.0,11271.1875
2012_11,19048.0,18122.344
2012_12,15332.0,16117.724
2013_1,15542.0,14227.239
2013_2,11482.0,15123.19
2013_3,11000.0,10606.603
2013_4,10500.0,10485.719
2013_5,10854.999,10695.235
2013_6,16024.0,12729.316
2013_7,15674.0,18007.82
2013_8,13096.0,11154.95
2013_9,15657.0,12977.508
2013_10,16311.0,17194.363
2013_11,10857.0,15103.768
2013_12,9900.0,8594.688
2014_1,9062.0,10211.518
2014_2,8650.0,9325.8
2014_3,8157.9995,10755.607
2014_4,8447.999,8321.888
2014_5,9293.0,9049.607
2014_6,9806.0,10083.218
2014_7,9780.0,9993.815
2014_8,10245.0,9816.039
2014_9,10853.0,10860.379
2014_10,11589.0,11652.903
2014_11,10949.0,12084.631
2014_12,9380.0,11240.796
2015_1,9384.0,9320.789
2015_2,8805.0,10199.27
2015_3,9671.0,8882.192
2015_4,9755.0,10979.851
2015_5,9726.999,10345.725
2015_6,10500.0,9818.074
2015_7,13670.0,11445.923
2015_8,18043.0,14835.048
2015_9,13369.0,15197.907
2015_10,9115.0,11353.025
2015_11,8614.0,6872.1855
2015_12,9060.0,10150.28
2016_1,9190.0,10627.072
2016_2,10580.0,10141.329
2016_3,13633.0,11381.019
2016_4,15118.0,14540.907
2016_5,19190.0,13596.255
2016_6,17720.0,18784.781
2016_7,11433.0,14444.898
2016_8,12476.0,9369.778
2016_9,15781.999,15176.815
2016_10,23737.0,20140.844
2016_11,26560.0,25489.994
2016_12,17814.0,18992.527
2017_1,25429.0,24124.676
2017_2,21416.0,23723.484
2017_3,18950.0,21035.273
2017_4,16755.0,21372.986
2017_5,15809.999,16504.654
2017_6,15695.0,14693.941
2017_7,12276.0,14640.993
2017_8,14410.0,9739.85
2017_9,21623.0,15623.942
2017_10,17371.0,23333.88
2017_11,9628.0,14178.344
2017_12,8764.0,7318.761
2018_1,9282.0,11735.691
2018_2,9225.0,12101.066
2018_3,16594.0,11081.662
2018_4,18638.0,21102.982
2018_5,20267.0,11227.909
