연월,미나리_true,미나리_pred
2001_7,10602.0,16556.59
2001_8,21665.998,16155.044
2001_9,31593.998,34312.93
2001_10,29292.0,39087.312
2001_11,29450.0,35218.69
2001_12,29337.0,28819.33
2002_1,29772.002,24952.295
2002_2,27658.0,26650.96
2002_3,27028.998,23587.234
2002_4,26052.0,22953.24
2002_5,21618.002,22768.982
2002_6,19908.0,21689.168
2002_7,14707.001,19050.69
2002_8,15839.999,18350.56
2002_9,28737.0,25478.346
2002_10,40591.0,32489.45
2002_11,35008.0,41024.44
2002_12,36444.0,34856.414
2003_1,32331.0,39692.64
2003_2,29969.996,28718.914
2003_3,29126.002,29680.371
2003_4,29370.0,26920.11
2003_5,22038.0,29114.229
2003_6,14674.999,21305.623
2003_7,14350.002,14464.46
2003_8,18427.002,18648.25
2003_9,25050.0,31991.695
2003_10,49180.0,37431.91
2003_11,33236.996,40826.145
2003_12,34379.996,33797.562
2004_1,41383.0,40265.645
2004_2,37284.996,39955.36
2004_3,41225.0,40329.094
2004_4,32561.998,36674.254
2004_5,25663.0,27220.693
2004_6,17594.0,24396.164
2004_7,15761.999,17805.549
2004_8,22970.0,25301.646
2004_9,26438.998,31264.64
2004_10,37073.996,38328.734
2004_11,35586.0,37416.215
2004_12,31514.0,30803.807
2005_1,31733.0,29294.975
2005_2,27407.002,28487.89
2005_3,30775.998,27110.78
2005_4,30320.0,28784.734
2005_5,26978.998,27209.021
2005_6,18013.998,27807.709
2005_7,12799.999,15125.56
2005_8,27457.002,14942.517
2005_9,34575.0,32078.457
2005_10,41025.0,41953.03
2005_11,36907.0,36279.06
2005_12,40225.996,39021.64
2006_1,37411.0,40549.17
2006_2,38761.0,32427.459
2006_3,44888.0,36537.645
2006_4,34635.996,41423.445
2006_5,39998.0,30566.086
2006_6,23138.002,36320.184
2006_7,15636.002,17952.094
2006_8,28030.998,20645.115
2006_9,38448.0,37727.05
2006_10,35577.0,44744.3
2006_11,32068.0,36716.23
2006_12,34525.0,35379.566
2007_1,34448.0,30675.441
2007_2,29093.0,33887.973
2007_3,37144.996,25769.19
2007_4,31631.996,31773.982
2007_5,24950.002,28709.744
2007_6,18113.998,24618.152
2007_7,16178.0,13002.211
2007_8,21395.998,23686.58
2007_9,34350.0,30110.137
2007_10,50912.0,39803.746
2007_11,40111.0,41645.96
2007_12,33429.996,35570.71
2008_1,42111.0,41978.727
2008_2,35174.996,38990.938
2008_3,38082.996,38883.297
2008_4,37485.996,33822.477
2008_5,23700.0,32645.34
2008_6,18177.998,22998.81
2008_7,15615.001,14438.502
2008_8,25767.002,25148.545
2008_9,41168.0,37073.168
2008_10,39457.0,42160.8
2008_11,42205.0,37993.914
2008_12,43733.0,45814.598
2009_1,47136.0,46108.105
2009_2,42513.0,44375.984
2009_3,48908.0,38722.4
2009_4,43630.0,46866.613
2009_5,34698.0,40224.848
2009_6,24568.0,33932.63
2009_7,22050.002,19713.678
2009_8,31911.0,33437.066
2009_9,39286.0,42419.74
2009_10,46739.0,42935.254
2009_11,48993.0,39882.8
2009_12,54443.0,53050.5
2010_1,58329.0,58357.28
2010_2,52433.0,58272.574
2010_3,60608.0,50315.785
2010_4,55582.0,55221.04
2010_5,54681.996,43774.004
2010_6,40374.0,53167.605
2010_7,32156.998,29796.516
2010_8,34180.0,33637.203
2010_9,52950.0,43793.082
2010_10,99631.99,73172.64
2010_11,51986.0,64856.19
2010_12,53843.0,57803.293
2011_1,49911.0,50527.73
2011_2,55893.0,54647.664
2011_3,60406.004,61183.69
2011_4,50577.0,56131.535
2011_5,47478.996,47319.5
2011_6,38063.0,41933.633
2011_7,25379.0,29225.727
2011_8,34521.0,30883.75
2011_9,48565.996,50371.992
2011_10,41948.0,59327.297
2011_11,41902.996,41951.918
2011_12,57280.0,50300.844
2012_1,57529.0,55300.945
2012_2,55058.0,55112.594
2012_3,67079.0,59029.69
2012_4,56586.0,62345.324
2012_5,40133.0,41209.605
2012_6,29793.002,33962.586
2012_7,19349.998,20390.025
2012_8,25411.002,28329.71
2012_9,42157.0,47270.72
2012_10,57285.0,47936.945
2012_11,48464.0,43656.887
2012_12,52275.0,49235.09
2013_1,50084.0,54897.402
2013_2,47925.0,47004.168
2013_3,52129.0,52115.008
2013_4,48548.0,49633.06
2013_5,45181.0,47413.09
2013_6,28250.0,44866.31
2013_7,21300.0,22039.87
2013_8,36893.0,29660.861
2013_9,48986.0,56287.996
2013_10,56599.996,52279.816
2013_11,43850.0,40152.89
2013_12,58329.0,53821.703
2014_1,52829.0,58072.55
2014_2,43718.0,43150.812
2014_3,48270.0,46966.22
2014_4,53021.0,43409.74
2014_5,42245.0,56467.184
2014_6,35786.996,42222.87
2014_7,28958.0,32330.309
2014_8,33809.0,29733.785
2014_9,49768.0,49391.586
2014_10,60108.004,54405.215
2014_11,52714.0,48255.355
2014_12,57510.0,59850.94
2015_1,61886.0,58936.293
2015_2,55871.0,52959.18
2015_3,61359.0,50385.582
2015_4,58582.0,53563.75
2015_5,48095.0,42937.316
2015_6,33874.996,39738.09
2015_7,26216.0,23506.31
2015_8,30260.996,30141.082
2015_9,49493.0,48486.64
2015_10,52110.0,59630.523
2015_11,48721.0,45447.973
