연월,방울토마토_true,방울토마토_pred
2001_7,7148.0,7125.598
2001_8,6504.0,6525.5557
2001_9,9541.0,9898.487
2001_10,10624.0,10678.934
2001_11,7054.0,7200.7773
2001_12,7792.0005,7776.141
2002_1,9280.0,9326.373
2002_2,12535.0,12564.677
2002_3,11962.0,11786.645
2002_4,17056.0,17018.396
2002_5,16928.0,16976.045
2002_6,13752.001,13601.722
2002_7,9974.0,9887.535
2002_8,6892.0,7165.631
2002_9,7562.0,8131.6265
2002_10,12730.0,12746.651
2002_11,15284.999,15018.586
2002_12,16323.0,16542.006
2003_1,16517.0,16562.387
2003_2,14128.0,14153.976
2003_3,11548.0,11630.37
2003_4,14776.001,14347.246
2003_5,14808.0,15401.287
2003_6,11075.0,10092.301
2003_7,8056.0,8352.529
2003_8,13265.001,13335.518
2003_9,18808.0,18064.744
2003_10,10426.0,10165.104
2003_11,16062.001,15920.217
2003_12,14936.0,14900.968
2004_1,14977.0,14988.178
2004_2,16009.001,15742.25
2004_3,15616.999,15370.461
2004_4,20662.0,20405.502
2004_5,19758.0,19937.383
2004_6,14083.0,14184.438
2004_7,11046.0,11181.484
2004_8,8745.0,8759.957
2004_9,12739.0,11689.991
2004_10,20758.0,19469.082
2004_11,15524.0,16319.329
2004_12,12500.0,12581.033
2005_1,16540.0,16582.97
2005_2,13467.0,13497.058
2005_3,13000.0,13402.326
2005_4,18991.0,18693.156
2005_5,19562.0,19470.84
2005_6,13891.0,13945.952
2005_7,8467.0,8495.246
2005_8,11749.0,11739.499
2005_9,12350.0,12555.606
2005_10,11309.0,10887.386
2005_11,12771.0,12764.153
2005_12,10261.0,10928.281
2006_1,16127.001,15713.983
2006_2,14000.001,13891.405
2006_3,13830.0,13857.961
2006_4,18291.0,18361.207
2006_5,18400.0,18653.086
2006_6,13800.001,14153.58
2006_7,11738.0,11689.764
2006_8,11755.0,11508.513
2006_9,20900.0,19541.262
2006_10,21564.0,20980.102
2006_11,10816.0,10895.562
2006_12,9343.0,9347.302
2007_1,11560.0,11555.816
2007_2,11864.0,11987.989
2007_3,15021.001,14518.336
2007_4,20114.0,20094.629
2007_5,18914.0,19498.754
2007_6,13924.001,13989.255
2007_7,9450.0,9433.734
2007_8,7114.0005,6972.4507
2007_9,6844.9995,7788.0176
2007_10,15318.0,14929.567
2007_11,19382.0,19513.465
2007_12,21782.0,21728.254
2008_1,26432.0,26434.871
2008_2,18009.0,18005.988
2008_3,12400.0,12372.581
2008_4,16895.0,16911.08
2008_5,15086.001,15019.672
2008_6,13179.0,13231.806
2008_7,10840.0,11172.674
2008_8,10835.0,10781.567
2008_9,11650.0,11197.247
2008_10,12076.0,12845.854
2008_11,11236.0,11660.358
2008_12,8590.0,8961.124
2009_1,11905.0,11795.296
2009_2,13842.001,13969.882
2009_3,15460.001,15394.123
2009_4,19691.0,19721.842
2009_5,20355.0,19918.76
2009_6,13789.001,14066.307
2009_7,10482.0,10439.334
2009_8,10148.0,10365.135
2009_9,15076.0,15271.648
2009_10,14991.0,17548.77
2009_11,11848.0,11861.752
2009_12,10848.0,10895.46
2010_1,18533.0,18380.172
2010_2,18450.0,18674.994
2010_3,15346.999,14803.698
2010_4,18573.0,18559.18
2010_5,25309.0,25341.14
2010_6,23253.0,23504.473
2010_7,15619.0,15517.15
2010_8,13491.0,13471.649
2010_9,16391.0,16487.695
2010_10,24495.0,24592.72
2010_11,30305.0,30574.854
2010_12,26609.0,26643.482
2011_1,28487.0,28493.604
2011_2,27848.002,27816.203
2011_3,22824.0,22816.43
2011_4,22754.0,22754.756
2011_5,21815.0,21803.135
2011_6,18093.0,18120.348
2011_7,13714.0,13696.961
2011_8,15429.001,15314.78
2011_9,20236.0,20079.344
2011_10,25140.0,24616.281
2011_11,25540.0,25298.215
2011_12,13018.0,13067.787
2012_1,20048.0,20106.486
2012_2,17920.0,17841.926
2012_3,22600.0,22522.256
2012_4,30371.002,30421.723
2012_5,26200.0,26218.068
2012_6,21305.0,21378.201
2012_7,14000.001,13988.213
2012_8,10609.0,10618.335
2012_9,13745.0,13724.4375
2012_10,23730.0,23523.383
2012_11,23410.0,23373.941
2012_12,17209.0,17188.857
2013_1,23253.0,23253.748
2013_2,22745.0,22734.41
2013_3,21474.0,21581.377
2013_4,24440.0,24421.715
2013_5,22773.0,22763.15
2013_6,16571.0,16409.01
2013_7,11905.0,12013.985
2013_8,11861.0,11907.905
2013_9,20781.0,20934.047
