year,방울토마토_true,방울토마토_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,15047.000250000003,14882.810583333334,12613.100066666668,12594.918125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,14274.000166666667,14334.188941666667,14000.400100000003,13931.297141666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,13935.666749999999,14049.5685,14350.550133333334,14285.370038333334,1,1,0.3333333333333333,0.3333333333333333,414.8833833333356,235.80153833333497,138.29446111111187,78.60051277777832,46.09815370370396
2009,14036.250250000003,14270.692416666665,14397.600100000001,14379.839621666668,1,1,0.5,0.5,361.3498499999987,109.14720500000294,194.05830833333357,86.23718583333448,97.02915416666679
2010,20531.249916666668,20545.933916666665,14164.550150000001,14223.493305,0,0,0.4,0.4,0.0,0.0,155.24664666666686,68.98974866666758,62.09865866666675
2011,21241.50025,21156.487,15564.833466666669,15616.638871666664,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,129.37220555555572,57.491457222222984,43.12406851851857
2012,20095.583583333333,20075.485541666665,16803.73346666667,16871.374154999998,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,110.89046190476203,49.27839190476256,31.682989115646293
2013,19274.833333333332,19335.638083333335,17968.050150000003,18019.633475,0,0,0.25,0.25,0.0,0.0,97.02915416666679,43.11859291666724,24.257288541666696
2014,16602.416666666668,16631.708166666667,19035.883466666666,19076.847391666666,1,1,0.3333333333333333,0.3333333333333333,2433.4667999999983,2445.139224999999,356.63333703703694,310.00977425925964,118.87777901234564
2015,15338.249999999998,15366.790916666667,19549.11675,19549.050541666667,1,1,0.4,0.4,4210.866750000003,4182.259625000001,742.0566783333336,697.2347593333337,296.82267133333346
2016,20007.500333333333,19872.172333333332,18510.516766666668,18513.22194166667,0,0,0.36363636363636365,0.36363636363636365,0.0,0.0,674.5969803030305,633.8497812121216,245.30799283746563
2017,21789.917083333334,20341.03620833333,18263.716783333333,18256.359008333337,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,618.3805652777779,581.0289661111115,206.12685509259262
2018,20166.083416666665,22044.106833333328,18602.583483333332,18309.46914166667,0,0,0.3076923076923077,0.3076923076923077,0.0,0.0,570.8128294871797,536.3344302564105,175.63471676528607
2019,21014.250083333332,19544.285249999997,18780.8335,18851.162891666667,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,530.0404845238097,498.0248280952384,151.4401384353742
2020,23280.66675,20601.995666666666,19663.20018333333,19433.678308333336,0,0,0.26666666666666666,0.26666666666666666,0.0,0.0,494.70445222222236,464.8231728888892,131.92118725925928
