연월,배(신고)_true,배(신고)_pred
2001_7,40560.0,42046.605
2001_8,45880.0,40030.89
2001_9,41807.0,48080.426
2001_10,37371.0,38994.16
2001_11,23883.0,32189.176
2001_12,20977.0,20551.893
2002_1,26184.002,22884.06
2002_2,29477.002,28390.775
2002_3,35000.0,30541.064
2002_4,33880.0,35591.48
2002_5,33440.0,35060.117
2002_6,33632.0,34420.89
2002_7,32322.002,34325.41
2002_8,31448.0,33056.35
2002_9,30177.002,32193.523
2002_10,33905.0,31033.637
2002_11,23223.002,34856.11
2002_12,23569.0,24309.33
2003_1,24492.002,25075.64
2003_2,25544.0,25868.447
2003_3,24165.0,26947.607
2003_4,22728.0,25645.629
2003_5,22192.002,24404.494
2003_6,22917.0,23886.094
2003_7,25375.002,24453.678
2003_8,26877.002,26454.97
2003_9,27446.002,27875.014
2003_10,36600.0,28551.99
2003_11,28677.002,36882.594
2003_12,34112.0,29951.154
2004_1,37446.0,35025.98
2004_2,40174.0,38298.543
2004_3,40058.0,41695.15
2004_4,42038.0,40966.383
2004_5,45467.0,42463.96
2004_6,55517.0,47219.508
2004_7,68308.0,63809.273
2004_8,73745.0,70249.914
2004_9,72591.0,71717.16
2004_10,50968.0,50972.914
2004_11,27762.002,28175.355
2004_12,28045.002,29768.504
2005_1,30550.0,28785.541
2005_2,32429.002,33457.6
2005_3,33729.0,32880.43
2005_4,36264.0,34778.812
2005_5,39857.0,37360.32
2005_6,40382.0,41345.207
2005_7,41200.0,41601.973
2005_8,43027.0,41383.46
2005_9,42775.0,43388.203
2005_10,40264.0,42060.63
2005_11,24086.002,37336.746
2005_12,21591.002,17050.867
2006_1,24700.0,22796.604
2006_2,26209.002,27389.666
2006_3,25450.002,27730.973
2006_4,23655.002,26793.021
2006_5,22340.002,25227.207
2006_6,21990.002,24056.387
2006_7,23410.002,23734.467
2006_8,23110.0,24833.137
2006_9,20380.002,24607.36
2006_10,28112.002,22400.25
2006_11,25821.0,28502.066
2006_12,25962.0,27086.418
2007_1,32100.002,27286.703
2007_2,35064.0,32499.148
2007_3,43242.0,36013.25
2007_4,45743.0,44910.824
