year,배(신고)_true,배(신고)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,24261.584666666673,25429.796333333332,35276.85053333333,35637.31316666667,1,1,1.0,1.0,11015.265866666658,10207.516833333335,11015.265866666658,10207.516833333335,11015.265866666658
2007,41808.5835,40902.85683333333,33113.23413333333,33326.83409999999,0,0,0.5,0.5,0.0,0.0,5507.632933333329,5103.7584166666675,2753.8164666666644
2008,25100.250833333335,26315.376000000004,35370.66733333333,35229.69303333333,1,1,0.6666666666666666,0.6666666666666666,10270.416499999996,8914.317033333326,7095.227455555551,6373.9446222222205,4730.151637037034
2009,33299.999833333335,32774.077249999995,35038.63396666666,35059.47971666667,1,1,0.75,0.75,1738.6341333333257,2285.4024666666737,5756.079124999995,5351.809083333334,4317.059343749996
2010,33617.750166666665,33537.656833333334,31996.650533333333,32274.91776666667,0,0,0.6,0.6,0.0,0.0,4604.863299999995,4281.447266666667,2762.917979999997
2011,51760.083333333336,50666.91441666666,31617.6338,31791.952650000003,0,0,0.5,0.5,0.0,0.0,3837.3860833333297,3567.8727222222224,1918.6930416666648
2012,51595.583666666666,50584.71758333334,37117.33353333334,36839.37626666667,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,3289.1880714285685,3058.176619047619,1409.6520306122436
2013,58897.5,58950.529583333344,39074.73356666667,38775.748416666676,0,0,0.375,0.375,0.0,0.0,2878.0395624999974,2675.904541666667,1079.264835937499
2014,49103.166999999994,48772.97666666668,45834.1834,45302.779133333344,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,2558.2573888888865,2378.581814814815,852.7524629629621
2015,38192.25,37994.19875,48994.81683333334,48502.55901666668,1,1,0.4,0.4,10802.566833333338,10508.360266666677,3382.6883333333317,3191.5596600000013,1353.0753333333328
2016,44592.166999999994,45163.87383333334,49909.71680000001,49393.86740000002,1,1,0.45454545454545453,0.45454545454545453,5317.549800000015,4229.993566666679,3558.5848303030302,3285.9627424242444,1617.53855922865
2017,43781.00066666667,45045.12691666667,48476.13353333334,48293.259283333355,1,1,0.5,0.5,4695.132866666674,3248.1323666666867,3653.297166666667,3282.8102111111148,1826.6485833333336
2018,38157.583333333336,38499.37416666667,46913.216933333344,47185.34115000002,1,1,0.5384615384615384,0.5384615384615384,8755.633600000008,8685.966983333354,4045.784584615386,3698.4376551282103,2178.499391715977
2019,51425.25,48393.52541666667,42765.233600000014,43095.11006666669,0,0,0.5,0.5,0.0,0.0,3756.7999714285725,3434.2635369047666,1878.3999857142862
2020,53716.916999999994,52869.966416666655,43229.65020000002,43019.21981666668,0,0,0.4666666666666667,0.4666666666666667,0.0,0.0,3506.346640000001,3205.3126344444486,1636.2950986666672
