연월,배추_true,배추_pred
2001_7,6023.0,3057.4146
2001_8,6633.0,8616.797
2001_9,7107.9995,6528.415
2001_10,6098.0,7553.0806
2001_11,3796.9998,5076.391
2001_12,2323.0,3574.5444
2002_1,3046.0002,2838.0498
2002_2,3125.0,3699.4497
2002_3,2614.0002,3393.8545
2002_4,2283.9998,3341.951
2002_5,2153.0,2897.361
2002_6,3097.9995,2646.624
2002_7,3299.9998,4126.573
2002_8,3610.9998,4135.2324
2002_9,6887.9995,4825.981
2002_10,8710.0,9098.705
2002_11,4942.0,8207.3545
2002_12,4062.0002,3104.432
2003_1,6918.0,4614.497
2003_2,7161.0,8319.631
2003_3,7332.9995,6148.5293
2003_4,10429.0,7296.183
2003_5,9860.0,9517.565
2003_6,6523.9995,6632.0474
2003_7,3607.9998,5244.759
2003_8,5181.9995,3424.7637
2003_9,6528.9995,6861.2964
2003_10,8361.0,6813.138
2003_11,8474.0,8497.532
2003_12,5988.0,7010.197
2004_1,3870.9995,4644.106
2004_2,2963.9998,3898.608
2004_3,2709.0,3475.7195
2004_4,3542.0,2663.2456
2004_5,4162.0,4409.9873
2004_6,3270.0,5269.3267
2004_7,3400.0002,3932.0405
2004_8,6549.0,4601.1504
2004_9,12057.0,8585.413
2004_10,8607.0,11174.484
2004_11,3950.9995,5030.3447
2004_12,2776.0,4383.7217
2005_1,2485.0002,3197.1765
2005_2,2398.0,3083.0288
2005_3,2887.0,1839.7567
2005_4,3186.9998,3726.6777
2005_5,3578.9995,4090.6755
2005_6,3090.0002,4733.6816
2005_7,2960.9998,3801.2385
2005_8,4792.0,3923.318
2005_9,5883.0,6504.4995
2005_10,9085.0,6921.9893
2005_11,9937.0,10058.505
2005_12,6755.0,7693.3403
2006_1,7106.0,5041.9277
2006_2,6104.9995,7354.7207
2006_3,6778.0,5561.11
2006_4,8398.0,7941.694
2006_5,7942.0,8201.312
2006_6,5985.9995,6377.019
2006_7,3340.0,5107.6084
2006_8,4035.0,3043.3682
2006_9,9534.0,5369.5283
2006_10,10704.0,10655.048
2006_11,3839.0,6342.181
2006_12,3020.0002,1752.7994
2007_1,3495.0,4118.6094
2007_2,2781.0,3450.9795
2007_3,2287.0,2370.4966
2007_4,2679.0005,3013.4067
2007_5,3102.0,3488.4634
2007_6,2704.9998,3930.3577
2007_7,3990.9998,3383.4077
2007_8,5812.9995,5579.827
2007_9,6057.0,7330.0273
2007_10,9648.0,6607.5264
2007_11,9480.0,10394.131
2007_12,7913.9995,6697.7573
2008_1,6308.9995,6735.507
2008_2,4739.9995,5365.6836
2008_3,4667.0,5131.4346
2008_4,4690.9995,5618.393
2008_5,5193.0,5328.785
2008_6,3950.9995,6310.55
2008_7,3460.9998,4235.565
2008_8,3429.9998,4541.402
2008_9,6183.0,4280.575
2008_10,5204.0,8060.9263
2008_11,3731.9998,4887.75
2008_12,3969.9998,4368.0054
2009_1,3809.9998,4891.6846
2009_2,3911.0,4435.0503
2009_3,3960.0,5039.053
2009_4,6236.0,4981.6597
2009_5,11552.0,8108.5723
2009_6,9942.0,11412.423
2009_7,4270.0,6091.753
2009_8,4870.0,3763.9539
2009_9,6848.0,6246.664
2009_10,6855.0,8829.163
2009_11,4356.9995,6548.561
2009_12,3527.0002,3658.398
2010_1,3646.9998,4290.098
2010_2,4912.9995,4356.764
2010_3,7978.9995,6005.3696
2010_4,11327.0,9365.027
2010_5,13858.999,9582.288
2010_6,9453.0,9893.532
2010_7,6186.0,7131.2563
2010_8,8965.0,6797.472
2010_9,9291.0,11956.087
2010_10,19516.0,13401.117
2010_11,15725.999,15034.996
2010_12,9216.0,7683.3223
2011_1,11174.0,10321.895
2011_2,13310.0,12533.094
2011_3,12259.0,11952.453
2011_4,13105.0,13550.856
2011_5,8176.0,11097.316
2011_6,3793.9998,6044.6943
2011_7,3351.9998,4237.0845
2011_8,6729.0,5330.218
2011_9,10895.0,10900.082
2011_10,8995.0,9426.853
2011_11,5865.0,5994.8354
2011_12,3645.0,5459.202
2012_1,3219.0002,3397.1404
2012_2,3500.0,3775.526
2012_3,5245.0,3530.6892
2012_4,9210.0,6643.651
2012_5,12140.0,10377.3
2012_6,7262.0,9141.098
2012_7,4917.9995,4853.188
2012_8,7945.0,5535.8594
2012_9,9018.0,9707.342
2012_10,12790.0,10611.382
2012_11,9952.0,10456.529
2012_12,7900.0,6526.0967
2013_1,10816.0,7827.145
2013_2,12182.0,10942.724
2013_3,12358.0,12739.26
2013_4,12400.0,9261.438
2013_5,11243.0,9852.352
2013_6,6938.0,9420.1
2013_7,5289.0,5861.4507
2013_8,6287.0,7215.086
2013_9,13424.001,9241.431
2013_10,12511.0,14692.873
2013_11,5636.0,5900.225
2013_12,5586.0,5696.958
2014_1,5023.9995,6938.6094
2014_2,4623.0,8304.256
2014_3,4074.0,6534.272
2014_4,3604.0,4817.928
2014_5,3563.9998,4466.0303
2014_6,3369.0002,4546.107
2014_7,3907.0002,4212.965
2014_8,6010.0,5174.2847
2014_9,7683.9995,7734.569
2014_10,8042.0,8153.5405
2014_11,4969.9995,7252.8066
2014_12,4172.0,3432.3713
2015_1,3837.9998,5096.9663
2015_2,3800.0,4314.542
2015_3,4152.9995,4340.842
2015_4,4850.0,5291.0063
2015_5,4990.9995,6123.5083
2015_6,8978.0,5929.134
2015_7,7468.0,10619.011
2015_8,6448.0,4985.352
