year,배추_true,배추_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,6398.9166,6062.359724999999,5217.683231666667,5385.850445,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,4995.999925,5030.4158333333335,5431.399908333334,5451.434303333333,1,1,0.5,0.5,435.3999833333337,421.01847,217.69999166666685,210.509235,108.84999583333342
2008,4627.583099999999,5405.381408333334,5633.383243333334,5585.591338333334,1,1,0.6666666666666666,0.6666666666666666,1005.8001433333347,180.20992999999999,480.4000422222228,200.40946666666665,320.2666948148152
2009,5844.833291666666,6167.244650000001,5119.4499000000005,5326.99864,0,0,0.5,0.5,0.0,0.0,360.3000316666671,150.3071,180.15001583333355
2010,10006.499733333332,8791.444099999999,5324.116575,5525.978446666668,0,0,0.4,0.4,0.0,0.0,288.2400253333337,120.24568,115.29601013333348
2011,8441.5833,8904.0486,6374.766529999999,6291.369143333335,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,240.2000211111114,100.20473333333332,80.0666737037038
2012,7758.249975,7046.316808333333,6783.29987,6859.706918333334,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,205.88573238095265,85.88977142857142,58.82449496598647
2013,9555.833416666666,9054.253558333334,7335.74988,7262.887113333333,0,0,0.25,0.25,0.0,0.0,180.15001583333355,75.15355,45.03750395833339
2014,4920.249891666666,5963.978316666667,8321.399943333334,7992.661543333334,1,1,0.3333333333333333,0.3333333333333333,3401.1500516666674,2028.683226666667,538.038908703704,292.212402962963,179.34630290123465
2015,5514.5831499999995,5834.205308333334,8136.4832633333335,7952.008276666667,1,1,0.4,0.4,2621.900113333334,2117.8029683333334,746.425029166667,474.77145950000005,298.5700116666668
2016,10477.41675,9629.9344,7238.099946666667,7360.560518333335,0,0,0.36363636363636365,0.36363636363636365,0.0,0.0,678.5682083333336,431.61041772727276,246.75207575757585
2017,9194.083208333333,8559.923483333334,7645.266636666667,7505.737678333334,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,622.0208576388892,395.6428829166667,207.34028587962973
2018,9305.166666666666,8929.236458333333,7932.433283333335,7808.459013333335,0,0,0.3076923076923077,0.3076923076923077,0.0,0.0,574.1730993589746,365.208815,176.66864595660758
2019,7340.749883333334,7627.839041666666,7882.299933333334,7783.455593333335,1,1,0.35714285714285715,0.35714285714285715,541.5500499999998,155.61655166666878,571.8428815476193,350.23793904761925,204.2296005527212
2020,12303.666625,10764.368541666665,8366.399931666669,8116.227738333335,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,533.720022777778,326.8887431111113,177.90667425925932
