연월,백참깨(국산)_true,백참깨(국산)_pred
2001_7,329500.0,333282.56
2001_8,329500.0,333758.88
2001_9,329500.0,333759.5
2001_10,329500.0,333847.66
2001_11,329500.0,333843.22
2001_12,329500.0,333823.72
2002_1,328620.03,333823.72
2002_2,326000.0,332369.7
2002_3,326000.0,328745.06
2002_4,326000.0,330628.28
2002_5,326000.0,330116.56
2002_6,325840.0,330418.94
2002_7,324000.0,330044.75
2002_8,324880.0,327133.16
2002_9,323308.0,330016.47
2002_10,324870.0,326296.28
2002_11,337154.0,330579.25
2002_12,354615.0,349079.5
2003_1,389250.0,368572.16
2003_2,415000.03,414607.5
2003_3,439391.0,431624.12
2003_4,448720.0,457904.8
2003_5,448200.03,455490.25
2003_6,446000.0,450392.66
2003_7,438917.0,447487.28
2003_8,438654.03,438045.88
2003_9,444858.0,443150.28
2003_10,497750.0,452509.84
2003_11,595346.0,533435.25
2003_12,617440.0,644138.2
2004_1,632077.0,623861.8
2004_2,636783.0,637449.3
2004_3,637583.0,640847.3
2004_4,636577.0,630833.2
2004_5,642375.0,625326.06
2004_6,632917.0,631092.75
2004_7,601115.0,612044.0
2004_8,540545.0,563627.75
2004_9,491348.0,489223.0
2004_10,429211.0,456414.88
2004_11,415095.0,405039.47
2004_12,415636.0,427964.97
2005_1,438800.0,430433.66
2005_2,456238.03,456460.38
2005_3,459294.0,466858.72
2005_4,460000.0,463316.3
2005_5,460000.0,463061.94
2005_6,460000.0,462923.06
2005_7,458000.0,463424.72
2005_8,453727.0,460205.97
2005_9,409000.0,454792.88
2005_10,388273.0,384721.03
2005_11,375714.03,384291.66
2005_12,378261.0,376505.66
2006_1,379091.0,386077.3
2006_2,378000.0,382824.4
2006_3,370600.0,381811.03
2006_4,361091.0,370089.5
2006_5,354138.0,360102.88
2006_6,349500.0,354878.5
2006_7,347000.03,351453.12
2006_8,347300.0,350204.06
2006_9,348091.03,352086.88
2006_10,363864.03,352846.7
2006_11,418158.0,378534.3
2006_12,416000.03,455058.97
2007_1,417900.0,410711.53
2007_2,424500.03,425847.9
2007_3,439579.03,429000.03
2007_4,442571.0,452022.66
2007_5,452333.0,445971.0
2007_6,462000.0,461989.72
2007_7,467750.0,469858.2
2007_8,467048.0,473476.6
2007_9,459773.03,469060.75
2007_10,449412.03,458445.4
2007_11,449318.0,447235.78
2007_12,465955.0,454609.8
2008_1,480053.0,480447.22
2008_2,503591.03,489617.44
2008_3,529778.0,519478.88
2008_4,533000.0,545350.94
2008_5,532714.0,534624.8
2008_6,525316.0,533551.56
2008_7,515000.0,523959.38
2008_8,511304.0,512463.72
2008_9,495050.0,514272.8
2008_10,426524.0,489761.0
2008_11,400636.0,388633.94
2008_12,398000.0,396857.8
2009_1,398000.0,413519.44
2009_2,399158.0,401413.28
2009_3,403000.0,404005.97
2009_4,403591.0,409335.56
2009_5,400455.0,407365.78
2009_6,401316.0,402442.44
2009_7,403000.0,406197.94
2009_8,403000.0,407704.34
2009_9,403000.0,406782.03
2009_10,407364.0,406989.12
2009_11,414952.0,414061.25
2009_12,421524.0,423038.84
2010_1,444238.0,428623.0
2010_2,469750.0,461797.1
2010_3,481974.0,485882.3
2010_4,495045.0,490223.34
2010_5,498545.0,504695.75
2010_6,496000.0,501754.5
2010_7,496000.0,496687.22
2010_8,496545.0,499379.38
2010_9,492591.0,500535.0
2010_10,489737.0,493448.72
2010_11,499524.0,491818.5
2010_12,558727.0,509780.72
2011_1,608087.0,596250.5
2011_2,611905.0,630090.8
2011_3,612000.0,611991.5
2011_4,605015.0,609232.2
2011_5,600808.94,602635.5
2011_6,582550.0,592302.5
2011_7,560000.0,566990.06
2011_8,550714.0,541222.94
2011_9,544000.0,546933.25
2011_10,578699.94,543660.5
2011_11,580000.0,601920.4
2011_12,569726.94,580490.3
2012_1,566000.0,559735.94
2012_2,570600.0,566760.06
2012_3,578524.0,576052.44
2012_4,590429.0,583381.56
2012_5,591000.0,596580.94
2012_6,591000.0,590298.06
2012_7,591000.0,588913.25
2012_8,591000.0,590671.3
2012_9,588045.0,588940.94
2012_10,578500.0,584145.75
2012_11,581000.0,570753.1
2012_12,581000.0,581526.44
2013_1,581000.0,581458.0
2013_2,581000.0,578688.9
2013_3,581000.0,580782.56
2013_4,581700.0,580431.75
2013_5,586250.0,581545.5
2013_6,588000.0,588331.3
