year,백참깨(국산)_true,백참깨(국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,369402.76000000007,372997.3033333333,423823.0363333334,425532.6904999999,1,1,1.0,1.0,54420.27633333334,52535.387166666624,54420.27633333334,52535.387166666624,54420.27633333334
2007,449844.9266666667,449852.4475,431803.5883333335,433388.29983333324,0,0,0.5,0.5,0.0,0.0,27210.13816666667,26267.693583333312,13605.069083333336
2008,487580.5025,494084.9566666667,455984.45650000015,457037.92816666665,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,18140.092111111113,17511.795722222207,6046.697370370371
2009,404863.3333333333,408571.3325,459841.78883333347,463565.6158333332,1,1,0.5,0.5,54978.45550000016,54994.28333333321,27349.682958333375,26882.41762499996,13674.841479166687
2010,493223.0,488718.79416666663,428960.08883333346,432884.4743333332,0,0,0.4,0.4,0.0,0.0,21879.7463666667,21505.934099999966,8751.89854666668
2011,583625.5683333332,585310.0375,440982.90450000006,442844.9668333332,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,18233.12197222225,17921.61174999997,6077.707324074083
2012,583174.8333333334,581479.9816666666,483827.4661666667,485307.5136666666,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,15628.390261904786,15361.381499999976,4465.254360544224
2013,573638.75,576760.8216666667,510493.44750000007,511633.0204999998,0,0,0.25,0.25,0.0,0.0,13674.841479166687,13441.20881249998,3418.710369791672
2014,529350.9166666666,531687.9475,527705.0970000001,528168.1934999998,0,0,0.2222222222222222,0.2222222222222222,0.0,0.0,12155.414648148166,11947.741166666648,2701.2032551440366
2015,528347.0833333334,530157.5208333334,552602.6136666667,552791.5164999998,1,1,0.3,0.3,24255.5303333333,22633.995666666422,13365.42621666668,13016.366616666626,4009.6278650000036
2016,530005.6691666667,534018.28,559627.4303333333,561079.2618333332,1,1,0.36363636363636365,0.36363636363636365,29621.761166666634,27060.98183333315,14843.274848484858,14293.149818181764,5397.55449035813
2017,516723.8358333334,520809.08,548903.4505,550820.9103333333,1,1,0.4166666666666667,0.4166666666666667,32179.61466666666,30011.830333333288,16287.969833333342,15603.039861111058,6786.654097222226
2018,497888.9166666667,501456.25750000007,535613.251,538686.73,1,1,0.46153846153846156,0.46153846153846156,37724.33433333336,37230.472499999916,17936.920948717958,17266.68852564097,8278.578899408289
2019,497598.9216666667,500854.9783333332,520463.2843333334,523625.8171666666,1,1,0.5,0.5,22864.362666666682,22770.8388333334,18288.881071428583,17659.84211904757,9144.440535714291
2020,566882.3333333334,551688.3150000001,514112.88533333346,517459.22333333327,0,0,0.4666666666666667,0.4666666666666667,0.0,0.0,17069.622333333344,16482.519311111068,7965.823755555561
