연월,복숭아(백도)_true,복숭아(백도)_pred
2001_7,18977.57,18912.914
2001_8,21807.0,21484.832
2001_9,16229.999,18228.287
2001_10,17708.0,16387.562
2001_11,17713.5,17308.87
2001_12,17719.0,17766.527
2002_1,17724.5,17683.055
2002_2,3317.5715,4424.367
2002_3,4633.1426,6332.443
2002_4,5948.715,8560.964
2002_5,7264.2856,7414.2383
2002_6,8579.856,8582.923
2002_7,9895.428,9522.266
2002_8,11211.0,10896.528
2002_9,10620.0,12186.596
2002_10,14258.999,12562.728
2002_11,13530.25,14229.202
2002_12,12801.5,11928.249
2003_1,12072.75,11995.019
2003_2,4467.286,4488.427
2003_3,6931.5713,6961.196
2003_4,9395.856,9825.946
2003_5,11860.143,12183.94
2003_6,14324.428,14556.531
2003_7,16788.715,16830.72
2003_8,19253.0,19400.03
2003_9,14802.0,16071.793
2003_10,14224.999,14414.313
2003_11,14446.249,14651.727
2003_12,14667.5,14840.185
2004_1,14888.75,14898.942
2004_2,3946.2856,3950.3115
2004_3,5888.572,5762.9707
2004_4,7830.8564,8644.146
2004_5,9773.143,9803.466
2004_6,11715.429,11743.729
2004_7,13657.714,13571.786
2004_8,15600.0,15792.06
2004_9,16183.999,15435.698
2004_10,17691.0,14276.362
2004_11,17435.25,15619.522
2004_12,17179.5,16907.826
2005_1,16923.75,17060.473
2005_2,4714.285,3999.2476
2005_3,7423.5713,6091.5137
2005_4,10132.856,7793.3296
2005_5,12842.143,12608.294
2005_6,15551.428,15359.631
2005_7,18260.713,18238.088
2005_8,20970.0,20815.86
2005_9,14369.999,17511.28
2005_10,12875.0,14489.384
2005_11,13447.75,14067.502
2005_12,14020.5,13978.328
2006_1,14593.25,14619.496
2006_2,3897.25,3496.6584
2006_3,5788.5005,5436.7866
2006_4,7679.7495,8238.55
2006_5,9571.0,9870.299
2006_6,11462.25,11555.103
2006_7,13353.499,13232.583
2006_8,15244.751,15393.278
2006_9,17136.0,15418.689
2006_10,14405.0,14504.496
2006_11,11699.999,13861.644
2006_12,12937.333,13546.2
2007_1,14174.666,14094.689
2007_2,4169.572,4172.193
2007_3,6332.143,6304.212
2007_4,8494.714,7386.4463
2007_5,10657.285,10389.552
2007_6,12819.856,12738.867
2007_7,14982.429,15008.463
2007_8,17145.0,17433.387
2007_9,11577.0,15292.439
2007_10,11897.0,13160.428
2007_11,12026.75,11752.571
2007_12,12156.5,12274.089
2008_1,12286.25,12100.56
2008_2,4485.4287,7303.695
2008_3,6962.8564,6560.134
2008_4,9440.285,8936.587
2008_5,11917.714,11961.148
2008_6,14395.142,14543.464
2008_7,16872.572,16913.953
2008_8,19350.0,19479.934
2008_9,15926.001,16135.66
2008_10,14208.999,15037.406
2008_11,14502.501,15003.301
2008_12,14796.001,14501.66
2009_1,15089.501,15075.471
2009_2,4104.8574,4261.1553
2009_3,6200.7144,5879.359
2009_4,8296.571,8611.461
2009_5,10392.429,10248.892
2009_6,12488.285,12377.838
2009_7,14584.144,14585.604
2009_8,16680.0,16956.11
2009_9,11323.0,15301.988
2009_10,12928.0,12922.309
2009_11,12791.0,12341.7295
2009_12,12653.999,12525.294
2010_1,12517.0,12627.967
2010_2,4697.5,5659.224
2010_3,7385.0,6790.3193
2010_4,10072.5,9105.175
2010_5,12760.0,12522.986
2010_6,15447.5,15230.802
2010_7,18135.0,18121.266
2010_8,20822.5,20692.154
2010_9,23510.0,17375.477
2010_10,21259.0,20311.092
2010_11,21561.0,21043.834
2010_12,21863.0,21843.945
2011_1,22165.0,22217.81
2011_2,4120.125,4119.68
2011_3,6229.2505,6194.138
2011_4,8338.374,8324.224
2011_5,10447.5,10500.966
2011_6,12556.624,12556.701
2011_7,14665.75,14673.406
2011_8,16774.875,17053.988
2011_9,18884.0,15291.908
2011_10,14147.999,15636.055
2011_11,15063.0,15374.67
2011_12,15977.999,15222.498
2012_1,16893.0,16820.795
2012_2,4905.7144,4992.6123
2012_3,7799.428,7584.2183
2012_4,10693.143,10653.892
2012_5,13586.857,13658.784
2012_6,16480.572,16476.865
2012_7,19374.285,19292.242
2012_8,22268.0,21830.479
2012_9,18205.0,18573.771
2012_10,17280.0,18010.346
2012_11,17807.5,17992.646
2012_12,18335.0,18393.957
2013_1,18862.5,18869.988
2013_2,6148.2856,5730.892
2013_3,10283.571,9844.961
2013_4,14418.857,13968.264
2013_5,18554.143,18548.549
2013_6,22689.428,22673.469
2013_7,26824.715,26875.115
2013_8,30960.002,30991.062
2013_9,25762.0,25856.83
2013_10,24400.0,24308.736
2013_11,24911.75,24905.51
2013_12,25423.5,25445.428
2014_1,25935.25,25938.318
2014_2,4662.0,4706.218
2014_3,7309.9995,7289.1035
2014_4,9957.999,9943.469
2014_5,12605.999,12598.214
2014_6,15254.0,15261.227
2014_7,17902.0,17902.182
2014_8,20550.0,20469.166
2014_9,16695.0,17125.088
2014_10,16460.0,15766.386
2014_11,16711.25,16448.123
2014_12,16962.5,16922.564
2015_1,17213.75,17240.1
2015_2,5067.5713,6655.821
2015_3,8120.1426,7191.2383
2015_4,11172.714,10706.03
2015_5,14225.286,14329.771
2015_6,17277.857,17461.85
2015_7,20330.43,20202.111
2015_8,23383.0,22710.254
2015_9,19960.0,19434.28
2015_10,19650.0,19877.361
2015_11,19968.75,20140.36
2015_12,20287.5,20257.348
2016_1,20606.25,20565.102
2016_2,4257.7144,4204.103
2016_3,6499.428,6683.7725
2016_4,8741.143,8638.311
2016_5,10982.856,10907.143
2016_6,13224.571,13220.589
2016_7,15466.286,15514.253
2016_8,17708.0,17984.74
2016_9,15035.999,15364.026
2016_10,17400.0,14736.162
2016_11,17114.25,16985.943
2016_12,16828.5,17161.072
2017_1,16542.75,16502.88
2017_2,5320.9995,14466.246
2017_3,8625.0,6050.098
2017_4,11929.0,7839.101
