year,복숭아(백도)_true,복숭아(백도)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,11480.715166666667,11597.815250000001,13444.206288333336,13485.68534,1,1,1.0,1.0,1963.4911216666696,1887.8700899999985,1963.4911216666696,1887.8700899999985,1963.4911216666696
2007,11369.409583333334,11667.278025,12068.513688333336,12135.615323333332,1,1,1.0,1.0,699.1041050000022,468.337298333332,1331.297613333336,1178.1036941666653,1331.297613333336
2008,12928.645841666665,13206.4585,12345.974810000003,12397.011606666667,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,887.5317422222239,785.4024627777768,591.6878281481493
2009,11461.041733333333,11757.267566666667,12377.795690000003,12434.639523333335,1,1,0.75,0.75,916.7539566666692,677.3719566666678,894.8372958333352,758.3948362499996,671.1279718750014
2010,15835.833333333334,15110.353441666666,12140.16238666667,12345.979383333335,0,0,0.6,0.6,0.0,0.0,715.8698366666682,606.7158689999997,429.5219020000009
2011,13280.874708333335,13097.170333333333,12615.129131666672,12667.834556666669,0,0,0.5,0.5,0.0,0.0,596.5581972222235,505.59655749999973,298.27909861111175
2012,15302.37495,15356.717299999998,12975.161040000005,12967.705573333335,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,511.3355976190487,433.36847785714264,219.14382755102088
2013,20769.895966666667,20668.233666666667,13761.75411333334,13705.593428333337,0,0,0.375,0.375,0.0,0.0,447.4186479166676,379.1974181249998,167.78199296875036
2014,15083.833125,15030.838208333333,15330.00413833334,15197.948461666669,1,1,0.4444444444444444,0.4444444444444444,246.17101333333994,167.110253333336,425.05779962963123,355.6321775925927,188.91457761316943
2015,16388.083408333332,16350.543691666666,16054.562416666673,15852.662590000002,0,0,0.4,0.4,0.0,0.0,382.5520196666681,320.06895983333345,153.02080786666724
2016,13655.416449999999,13497.101374999998,16165.012431666673,16100.700640000001,1,1,0.45454545454545453,0.45454545454545453,2509.5959816666746,2603.5992650000026,575.9196525757596,527.6626239393943,261.7816602617089
2017,16576.979125,17250.23116666667,16239.92078000001,16180.686848333335,0,0,0.4166666666666667,0.4166666666666667,0.0,0.0,527.9263481944463,483.6907386111114,219.96931174768596
2018,19294.799916666667,19035.976591666666,16494.84161500001,16559.38962166667,0,0,0.38461538461538464,0.38461538461538464,0.0,0.0,487.3166291025658,446.483758717949,187.42947273175608
2019,17440.283375,17190.650416666667,16199.82240500001,16232.938206666668,0,0,0.35714285714285715,0.35714285714285715,0.0,0.0,452.5082984523825,414.5920616666669,161.6101065901366
2020,18129.016225000003,15411.972183333333,16671.11245500001,16664.900648333336,0,1,0.3333333333333333,0.4,0.0,1252.9284650000027,422.34107855555703,470.48115522222264,140.780359518519
