연월,사과(후지)_true,사과(후지)_pred
2001_7,27808.0,26472.918
2001_8,31925.0,27806.232
2001_9,24919.0,31186.287
2001_10,33850.0,27208.6
2001_11,29661.0,33906.945
2001_12,23092.0,31821.676
2002_1,26660.998,24612.719
2002_2,30009.998,27315.63
2002_3,36051.0,32676.336
2002_4,33925.0,36069.812
2002_5,34565.0,34284.8
2002_6,36709.0,35376.77
2002_7,35994.0,38157.19
2002_8,38683.0,37206.02
2002_9,40613.0,40253.535
2002_10,32242.498,41987.625
2002_11,23872.0,28497.15
2002_12,21677.0,21317.484
2003_1,24871.998,24496.43
2003_2,27819.0,28579.736
2003_3,29449.0,29795.193
2003_4,27435.0,29456.3
2003_5,27535.998,28366.639
2003_6,25927.998,28774.97
2003_7,25595.0,27936.29
2003_8,25323.0,27800.725
2003_9,26730.0,27304.32
2003_10,27494.0,28405.059
2003_11,28258.002,28848.71
2003_12,29519.998,29458.775
2004_1,33051.0,30536.38
2004_2,36817.0,33761.734
2004_3,36617.0,37349.28
2004_4,39144.0,37570.56
2004_5,44189.0,40043.188
2004_6,46633.0,45652.457
2004_7,48805.0,46375.348
2004_8,49800.0,47954.246
2004_9,48945.0,49441.965
2004_10,48000.0,47854.266
2004_11,35888.0,47513.387
2004_12,34012.0,29833.705
2005_1,43407.0,36581.625
2005_2,54793.996,52232.074
2005_3,58744.996,56838.258
2005_4,53503.0,53880.59
2005_5,55371.0,52250.637
2005_6,57152.0,57430.53
2005_7,57294.996,58151.617
2005_8,58364.0,54352.758
2005_9,57041.996,55734.348
2005_10,55293.996,52800.16
2005_11,25175.998,50115.71
2005_12,27212.0,24513.62
2006_1,31679.0,33235.812
2006_2,35533.0,34848.258
2006_3,32927.0,35275.91
2006_4,33121.0,33940.113
2006_5,34980.0,34042.418
2006_6,34673.0,36883.504
2006_7,39410.0,36445.934
2006_8,42953.0,41263.76
2006_9,42179.0,44236.156
2006_10,36850.0,41487.74
2006_11,31521.0,33534.004
2006_12,32190.0,29148.344
2007_1,36313.0,34717.22
2007_2,38727.0,39889.96
2007_3,45207.0,40781.043
2007_4,41905.0,45814.027
2007_5,46698.0,40638.19
2007_6,46978.0,47445.496
2007_7,42813.0,47133.414
2007_8,34743.0,36533.625
2007_9,29612.002,29876.129
2007_10,28503.502,29966.164
2007_11,27395.002,30819.035
2007_12,28079.0,29579.22
2008_1,29634.998,30805.35
2008_2,31267.0,31598.805
2008_3,32133.0,32819.81
2008_4,31467.002,33467.195
2008_5,32914.0,33025.32
2008_6,34505.0,34563.547
2008_7,41733.0,36436.156
2008_8,49409.0,43206.176
2008_9,46270.0,49206.574
2008_10,36185.0,43448.72
2008_11,26100.0,28511.164
2008_12,27293.998,25668.355
2009_1,28229.0,32061.033
2009_2,35439.0,31365.205
2009_3,32667.0,37685.418
2009_4,40139.0,33985.44
