year,사과(후지)_true,사과(후지)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,35668.0,36195.16275,36078.791099999995,36542.53295000001,1,1,1.0,1.0,410.7910999999949,347.37020000000484,410.7910999999949,347.37020000000484,410.7910999999949
2007,37247.79216666666,37766.12691666666,37503.89109999999,37834.81023333334,1,1,1.0,1.0,256.09893333333457,68.68331666667655,333.44501666666474,208.0267583333407,333.44501666666474
2008,34909.33316666667,35229.76433333333,38436.741299999994,38758.784433333334,1,1,1.0,1.0,3527.4081333333233,3529.0201000000015,1398.0993888888843,1315.0245388888943,1398.0993888888843
2009,35660.99966666667,35773.103,39985.95803333333,40151.018183333326,1,1,1.0,1.0,4324.958366666659,4377.9151833333235,2129.814133333328,2080.7472000000016,2129.814133333328
2010,37569.0,37408.747083333335,38753.141299999996,39074.19684999999,1,1,1.0,1.0,1184.1412999999957,1665.4497666666575,1940.6795666666615,1997.6877133333328,1940.6795666666615
2011,53773.95766666666,51824.68116666667,36211.024999999994,36474.58081666666,0,0,0.8333333333333334,0.8333333333333334,0.0,0.0,1617.2329722222178,1664.7397611111107,1347.694143518515
2012,59178.791333333334,58221.351749999994,39832.216533333325,39600.4845,0,0,0.7142857142857143,0.7142857142857143,0.0,0.0,1386.1996904761868,1426.9197952380948,990.1426360544192
2013,47286.708333333336,47454.617333333335,44218.41636666666,43691.52946666667,0,0,0.625,0.625,0.0,0.0,1212.9247291666634,1248.554820833333,758.0779557291646
2014,54040.45966666667,53106.60683333333,46693.891399999986,46136.500066666675,0,0,0.5555555555555556,0.5555555555555556,0.0,0.0,1078.1553148148118,1109.826507407407,598.9751748971178
2015,40974.416666666664,41113.718833333325,50369.78339999999,49603.20083333334,1,1,0.6,0.6,9395.366733333329,8489.482000000018,1909.8764566666637,1847.7920566666683,1145.9258739999982
2016,37476.958333333336,37933.428916666664,51050.86673333333,50344.195183333344,1,1,0.6363636363636364,0.6363636363636364,13573.908399999993,12410.76626666668,2970.2429969696936,2808.062439393942,1890.1546344352596
2017,38697.416666666664,38969.56166666667,47791.46686666666,47565.944733333345,1,1,0.6666666666666666,0.6666666666666666,9094.050199999998,8596.383066666676,3480.5602638888854,3290.42249166667,2320.373509259257
2018,38350.75,38301.10983333333,43695.191933333335,43715.58671666667,1,1,0.6923076923076923,0.6923076923076923,5344.441933333335,5414.476883333344,3623.935776923074,3453.811291025645,2508.878614792897
2019,38551.833333333336,38687.835250000004,41908.00026666666,41884.88521666667,1,1,0.7142857142857143,0.7142857142857143,3356.1669333333266,3197.0499666666656,3604.8094309523776,3435.471196428575,2574.8638792516986
2020,51955.75,49497.57833333333,38810.275,39001.130900000004,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,3364.4888022222194,3206.4397833333364,2242.9925348148126
