연월,생강(국산)_true,생강(국산)_pred
2001_7,162088.0,137201.86
2001_8,178816.0,147993.58
2001_9,205704.02,159237.4
2001_10,168080.0,174602.75
2001_11,65733.0,123980.74
2001_12,55385.004,39675.5
2002_1,63696.0,69464.08
2002_2,67692.0,71638.76
2002_3,68457.0,67966.55
2002_4,66120.0,69285.44
2002_5,66600.0,66346.08
2002_6,65832.01,67826.77
2002_7,65190.996,66554.7
2002_8,64687.996,66150.38
2002_9,59354.0,65604.49
2002_10,40608.996,59479.215
2002_11,25107.998,39211.41
2002_12,20200.002,26213.281
2003_1,21417.002,23307.447
2003_2,30888.004,25654.395
2003_3,35904.004,36719.92
2003_4,35232.0,39585.312
2003_5,33911.996,38594.805
2003_6,39357.996,37106.004
2003_7,46742.004,43111.535
2003_8,51284.996,49527.777
2003_9,51846.0,53233.87
2003_10,50921.996,53069.707
2003_11,31191.998,52101.777
2003_12,39416.0,29778.121
2004_1,44977.004,45210.605
2004_2,45104.0,46212.082
2004_3,53066.996,47432.824
2004_4,79369.0,56095.59
2004_5,77392.0,83076.79
2004_6,88408.0,74098.78
2004_7,89300.01,91105.86
2004_8,88464.0,88319.625
2004_9,102391.0,88876.2
2004_10,110358.0,105693.984
2004_11,74952.0,110577.19
2004_12,78482.0,68203.87
2005_1,90320.0,84176.36
2005_2,93190.0,94807.77
2005_3,105624.0,93261.555
2005_4,106709.0,107788.836
2005_5,99848.0,105741.35
2005_6,96936.01,98266.07
2005_7,96400.01,97810.66
2005_8,95673.01,97484.36
2005_9,92200.0,96195.414
2005_10,75273.01,92389.2
2005_11,40143.0,73785.38
2005_12,30748.004,37513.41
2006_1,32473.002,34480.023
2006_2,36700.0,35220.45
2006_3,37440.004,39990.742
2006_4,37200.004,40272.17
2006_5,37060.004,40121.145
2006_6,36749.996,39752.816
2006_7,37333.0,39399.566
2006_8,44890.0,40168.68
2006_9,49027.004,48440.027
2006_10,54581.996,50732.242
2006_11,48558.004,56852.152
2006_12,47151.996,48274.633
2007_1,57720.004,49271.895
2007_2,59227.0,60674.836
2007_3,58999.996,59361.49
2007_4,58999.996,60158.594
2007_5,58161.996,59837.188
2007_6,55629.0,59017.42
2007_7,54110.0,56379.83
2007_8,54742.996,55279.57
2007_9,58873.0,56165.844
2007_10,52176.0,60625.934
2007_11,26400.0,51724.453
2007_12,17673.0,24629.02
2008_1,22715.998,21476.928
2008_2,26163.998,27191.768
2008_3,28456.002,30548.395
2008_4,30161.996,33612.72
2008_5,32932.996,34518.242
2008_6,39305.0,37038.57
2008_7,42020.0,43240.03
2008_8,44173.996,44445.914
2008_9,51239.996,46780.594
2008_10,64171.0,53902.664
2008_11,58482.0,66538.93
2008_12,65950.0,57015.816
2009_1,78390.01,68974.02
2009_2,78368.01,79802.02
2009_3,79470.0,77674.445
2009_4,81436.0,80272.96
2009_5,94545.01,82391.18
2009_6,116821.0,97464.19
2009_7,118800.0,119505.016
2009_8,143548.0,115896.83
2009_9,145714.0,144455.78
2009_10,97545.01,138697.39
2009_11,60495.0,82558.45
2009_12,72305.0,60739.77
2010_1,81067.0,83271.02
2010_2,102840.0,82887.87
2010_3,106274.0,106991.766
2010_4,105436.0,104078.336
2010_5,106473.01,104516.375
2010_6,108053.01,107101.65
2010_7,107924.0,108073.65
2010_8,111309.0,107221.94
2010_9,126109.01,111245.6
2010_10,122189.0,126941.016
2010_11,75057.0,117423.4
2010_12,58636.004,66362.05
2011_1,65026.0,63150.383
2011_2,73752.0,71645.32
2011_3,78953.01,76013.37
2011_4,76882.01,79966.77
2011_5,73943.0,76498.14
2011_6,73350.0,74443.836
2011_7,72829.0,74583.266
2011_8,71524.0,73858.51
2011_9,68709.0,72367.83
2011_10,68850.0,69354.67
2011_11,44530.004,70197.68
2011_12,62400.0,41410.645
2012_1,73210.0,69544.29
2012_2,68379.99,73384.83
2012_3,67286.0,67988.484
2012_4,67971.0,68258.79
2012_5,68040.0,68997.58
2012_6,72971.0,68977.42
2012_7,91730.01,74720.07
2012_8,100482.0,95043.5
2012_9,126600.0,100113.836
2012_10,138390.0,129633.18
2012_11,91248.0,135559.11
2012_12,93255.01,79360.875
2013_1,100147.0,98298.45
2013_2,100318.0,105172.945
2013_3,108716.0,98609.195
2013_4,115940.0,110218.44
2013_5,115191.0,116133.66
2013_6,116152.0,112909.32
2013_7,121337.0,114788.664
2013_8,121643.0,120317.16
2013_9,119400.01,118258.266
2013_10,90411.01,115590.445
2013_11,56952.0,84602.88
2013_12,60056.996,55641.09
2014_1,60762.0,67199.305
