연월,수박_true,수박_pred
2001_7,8196.0,9289.581
2001_8,7484.0,8287.584
2001_9,9259.0,9665.986
2001_10,8700.0,11036.517
2001_11,7004.0,8606.883
2001_12,5888.0,5944.4087
2002_1,8188.0005,7470.522
2002_2,10065.0,11338.373
2002_3,11971.0,12873.609
2002_4,10572.0,11821.795
2002_5,10236.0,11167.865
2002_6,10800.0,9767.699
2002_7,8135.0,10036.38
2002_8,7848.0,8875.749
2002_9,7254.0,8573.203
2002_10,8378.0,7770.627
2002_11,7400.0,9393.3545
2002_12,7562.0,8340.279
2003_1,7746.0,8664.528
2003_2,7996.0,10123.852
2003_3,9330.0,9316.606
2003_4,11024.0,11101.005
2003_5,11555.999,12030.448
2003_6,9862.999,11148.461
2003_7,7974.9995,8683.368
2003_8,9296.0,7297.1924
2003_9,11185.0,10159.117
2003_10,9883.0,11675.916
2003_11,7881.0,8333.76
2003_12,7580.0,6869.5693
2004_1,7704.0,8416.814
2004_2,9574.0,8711.027
2004_3,9641.999,10860.027
2004_4,10188.0,10208.583
2004_5,9749.999,10181.778
2004_6,9400.0,10003.312
2004_7,9919.0,8826.37
2004_8,11018.0,10026.679
2004_9,13343.0,11051.253
2004_10,10720.999,13043.773
2004_11,8362.0,8785.253
2004_12,7505.0005,7494.79
2005_1,7670.0,7763.4014
2005_2,9657.0,9531.494
2005_3,10411.999,10857.85
2005_4,11218.0,10951.56
2005_5,11324.0,11016.512
2005_6,10454.999,11338.097
2005_7,8448.0,9398.93
2005_8,9127.0,8213.084
2005_9,9446.0,10192.648
2005_10,9559.0,9782.595
2005_11,8005.0,9271.476
2005_12,8765.0,7170.3345
2006_1,9736.0,9271.701
2006_2,10855.0,10463.785
2006_3,11270.0,10609.139
2006_4,12464.0,10898.4375
2006_5,11520.0,11807.119
2006_6,10950.0,10188.138
2006_7,9810.0,10785.204
2006_8,10080.0,9118.172
2006_9,13936.0,11179.224
2006_10,8264.0,14052.811
2006_11,6658.0,7390.529
2006_12,6105.0,5622.64
2007_1,7750.0,6876.235
2007_2,10318.0,11407.261
2007_3,17484.0,13450.493
2007_4,11105.0,14655.89
2007_5,11142.999,10132.146
2007_6,11971.0,12224.938
2007_7,9670.0,10259.735
2007_8,10810.0,10763.438
2007_9,10981.999,11646.963
2007_10,11588.0,9550.449
2007_11,11564.0,12181.707
2007_12,11581.999,10635.341
2008_1,11747.0,11246.188
2008_2,12873.0,11193.578
2008_3,13067.0,12511.451
2008_4,11942.999,12273.742
2008_5,13276.0,11786.78
2008_6,11725.999,12413.757
2008_7,9200.0,10725.432
2008_8,13269.999,10899.61
2008_9,12090.0,13347.132
2008_10,9200.0,10378.519
2008_11,7109.0,9028.689
2008_12,6540.0,6701.4766
2009_1,6990.0,8754.731
2009_2,9468.0,8880.877
2009_3,12170.0,12405.508
2009_4,17964.0,12940.75
2009_5,15818.0,15068.533
2009_6,10526.0,14009.015
2009_7,9598.0,10264.923
2009_8,11870.0,11913.038
2009_9,8352.0,10140.315
2009_10,8050.0,9513.118
2009_11,6724.0,8039.5312
2009_12,6067.0,6732.124
2010_1,10942.999,7426.235
2010_2,14680.0,15228.669
2010_3,15295.0,15648.986
2010_4,15636.0,13374.838
2010_5,17282.0,16842.025
2010_6,15505.0,14175.386
2010_7,14161.999,12909.032
2010_8,13736.0,12956.7705
2010_9,19273.0,16082.853
2010_10,16442.0,17680.871
2010_11,10300.0,11532.15
2010_12,10736.0,11006.722
2011_1,17113.0,16538.25
2011_2,18467.0,15848.997
2011_3,16941.0,16500.633
2011_4,16938.0,17191.766
2011_5,15570.0,14754.753
2011_6,14220.0,15055.691
2011_7,15568.0,16083.618
