year,수박_true,수박_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,10137.333333333334,10115.574958333333,9066.633225,9526.547308333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,11330.583083333333,11148.716333333336,9543.066558333334,9788.630309999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,11003.416416666665,11042.196216666665,10002.3665,10061.215984999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,10299.75,10721.871933333334,10347.799824999998,10346.258183333333,1,0,0.25,0.0,48.049824999998236,0.0,12.012456249999559,0.0,3.0031140624998898
2010,14499.1665,13738.711458333333,10455.649866666665,10530.471586666667,0,0,0.2,0.0,0.0,0.0,9.609964999999647,0.0,1.9219929999999295
2011,14942.583250000001,15028.638958333335,11454.049866666666,11353.41418,0,0,0.16666666666666666,0.0,0.0,0.0,8.008304166666372,0.0,1.3347173611110619
2012,15770.249916666668,15219.853958333335,12415.09985,12336.026979999999,0,0,0.14285714285714285,0.0,0.0,0.0,6.864260714285463,0.0,0.9806086734693518
2013,15247.083249999998,14764.803333333335,13303.033216666669,13150.254505,0,0,0.125,0.0,0.0,0.0,6.0062281249997795,0.0,0.7507785156249724
2014,12530.666666666666,12987.194383333333,14151.766583333336,13894.775928333334,1,1,0.2222222222222222,0.1111111111111111,1621.0999166666697,907.5815450000009,185.46108240740756,100.84239388888899,41.213573868312785
2015,14076.416583333334,14113.123416666669,14597.94991666667,14347.840418333337,1,1,0.3,0.2,521.5333333333365,234.71700166666778,219.06830750000046,114.22985466666687,65.72049225000013
2016,16491.083166666667,15532.582916666664,14513.39993333334,14422.722810000003,0,0,0.2727272727272727,0.18181818181818182,0.0,0.0,199.15300681818223,103.84532242424261,54.31445640495879
2017,15318.583333333334,15227.744500000003,14823.099916666673,14523.511601666669,0,0,0.25,0.16666666666666666,0.0,0.0,182.55692291666705,95.19154555555572,45.63923072916676
2018,17122.99975,13906.13245,14732.766600000006,14525.089710000004,0,1,0.23076923076923078,0.23076923076923078,0.0,618.9572600000047,168.51408269230802,135.4812158974364,38.887865236686466
2019,17502.333416666665,15030.832791666668,15107.949900000007,14353.355533333339,0,0,0.21428571428571427,0.21428571428571427,0.0,0.0,156.4773625000003,125.80398619047666,33.530863392857206
2020,16820.58325,14364.928166666667,16102.283250000004,14762.083215000006,0,1,0.2,0.26666666666666666,0.0,397.15504833333944,146.04553833333364,143.89405700000086,29.20910766666673
