연월,시금치_true,시금치_pred
2001_7,8148.0,10284.283
2001_8,17784.002,13495.746
2001_9,24196.0,24703.719
2001_10,14664.001,23321.285
2001_11,5896.0,9228.211
2001_12,5719.0005,7876.594
2002_1,6144.001,7286.608
2002_2,6877.0,7057.8413
2002_3,5395.0,8844.75
2002_4,4114.0,8893.051
2002_5,4803.9995,8033.227
2002_6,6992.0,8751.195
2002_7,6800.0,11187.807
2002_8,9192.001,10827.6455
2002_9,20546.0,15143.051
2002_10,18974.0,26996.734
2002_11,8146.0005,15535.235
2002_12,8308.0,8023.6704
2003_1,8150.0,12802.99
2003_2,8484.0,9504.36
2003_3,7834.9995,10031.228
2003_4,5220.0005,11166.482
2003_5,4832.0005,7669.0024
2003_6,5628.9995,8130.307
2003_7,6700.0005,8684.274
2003_8,10862.0,10283.2705
2003_9,14785.0,16890.8
2003_10,18470.002,19316.32
2003_11,9685.0,19164.61
2003_12,5616.0005,7958.866
2004_1,4954.0005,8273.927
2004_2,5596.0,6429.924
2004_3,6832.9995,7027.118
2004_4,5537.9995,9914.295
2004_5,5062.9995,9144.343
2004_6,6042.0,9769.348
2004_7,7422.9995,10483.45
2004_8,16600.002,11585.144
2004_9,22939.0,23811.283
2004_10,16589.0,22581.342
2004_11,8642.999,11001.783
2004_12,6014.0005,9095.215
2005_1,4675.0,6915.196
2005_2,5371.0,5171.0493
2005_3,6112.0,6943.3794
2005_4,5436.0005,9136.549
2005_5,5186.0,9125.184
2005_6,5563.9995,9875.117
2005_7,6457.0,9871.435
2005_8,15427.001,10698.603
2005_9,24867.0,22868.281
2005_10,20573.002,26000.139
2005_11,10933.001,12064.796
2005_12,6242.9995,8620.698
2006_1,7335.999,6739.056
2006_2,9100.0,8441.468
2006_3,8815.0,10925.901
2006_4,5632.0,11471.01
2006_5,6225.0005,8805.055
2006_6,6220.0005,10624.515
2006_7,7038.0005,8869.981
2006_8,13940.0,10542.403
2006_9,19845.0,20699.041
2006_10,18664.002,22955.795
2006_11,5395.0,14839.855
2006_12,5642.999,5210.11
2007_1,7700.0005,9071.712
2007_2,7376.9995,9705.006
2007_3,6616.0005,8570.004
2007_4,4956.999,11087.889
2007_5,6338.0005,8675.005
2007_6,5548.0,10415.101
2007_7,6815.0005,8315.719
2007_8,12743.0,11467.691
2007_9,17091.002,19278.16
2007_10,23129.0,20899.482
2007_11,11549.999,20244.658
2007_12,7985.999,7348.7627
2008_1,7952.9995,10088.59
2008_2,7355.001,9792.864
2008_3,7433.0,8107.009
2008_4,5170.9995,10058.938
2008_5,4362.0005,7593.479
2008_6,5826.0,7509.854
2008_7,7844.9995,9573.551
2008_8,10261.0,11925.342
2008_9,20540.0,15538.809
2008_10,14143.0,25480.422
2008_11,9464.0,10599.924
2008_12,5959.9995,11297.257
2009_1,5614.001,7603.7803
2009_2,7616.0005,6618.5747
2009_3,6594.999,10225.483
2009_4,5635.9995,8886.199
2009_5,7241.0,9891.237
2009_6,7153.0005,12227.122
2009_7,7645.0005,10434.985
2009_8,12129.999,12099.733
2009_9,14304.999,18085.941
2009_10,13345.0,18036.18
2009_11,8438.0,14601.107
2009_12,7913.999,9601.038
2010_1,10200.0,10822.069
2010_2,14920.001,13290.444
2010_3,13800.0,19187.76
2010_4,9541.0,15112.372
2010_5,12318.0,10734.442
2010_6,10925.999,16945.723
2010_7,12210.0,12490.387
2010_8,17627.0,15463.182
2010_9,28982.002,22183.37
2010_10,40779.0,30733.178
2010_11,14800.001,23372.777
2010_12,8709.0,5772.6353
2011_1,7530.0005,9131.382
2011_2,10324.001,7582.452
2011_3,11224.0,11518.397
2011_4,6954.9995,13685.954
2011_5,6352.0005,8694.007
2011_6,11270.0,10682.589
2011_7,12095.0,16087.759
2011_8,19410.002,15025.444
2011_9,26700.0,22752.379
2011_10,22960.0,22216.904
2011_11,10210.0,13577.258
2011_12,6700.0005,6128.7803
2012_1,7470.9995,7124.5747
2012_2,11065.001,8238.474
2012_3,15714.001,13036.305
2012_4,11429.0,20402.443
2012_5,9090.0,11400.278
2012_6,8676.0,12039.396
2012_7,10060.001,11486.644
2012_8,17709.0,12626.811
2012_9,32745.0,23341.164
2012_10,25870.0,31689.303
2012_11,10338.001,11515.172
2012_12,11254.999,6800.069
2013_1,14105.0,14193.548
2013_2,15650.001,13874.402
2013_3,11711.0,16528.414
2013_4,6440.0,11702.251
2013_5,10945.001,7465.1177
2013_6,8132.9995,15274.251
2013_7,10747.0,8865.359
2013_8,23983.002,15204.432
2013_9,34657.0,30000.742
2013_10,33367.0,27761.15
2013_11,10152.0,9926.508
2013_12,8038.0005,5673.913
2014_1,7752.0,8849.537
2014_2,7429.9995,7359.5693
2014_3,6930.0005,6878.056
2014_4,6376.0005,9620.437
2014_5,8544.999,9668.468
2014_6,8747.0,13117.406
2014_7,7747.0,12370.864
2014_8,12530.001,11525.352
2014_9,22832.002,18561.863
2014_10,15822.001,28169.295
2014_11,10152.0,10450.018
2014_12,8770.001,10814.299
2015_1,10038.0,11067.085
2015_2,11124.0,11556.434
2015_3,12465.0,13579.681
2015_4,9718.0,16134.039
2015_5,11254.999,11658.862
2015_6,10567.0,15450.247
2015_7,11455.0,13069.795
2015_8,15200.0,14714.758
2015_9,30790.002,19611.46
2015_10,17680.0,33971.062
2015_11,8913.999,7239.49
2015_12,9743.0,8892.379
2016_1,11276.001,12551.689
2016_2,10990.0,11292.689
2016_3,12621.999,12655.037
2016_4,10417.999,16547.213
2016_5,10200.0,12406.311
2016_6,11890.001,13375.77
2016_7,12419.0,15605.382
2016_8,17886.0,15256.715
2016_9,49582.0,22235.613
2016_10,35316.0,40918.96
2016_11,16706.0,12950.663
2016_12,14427.002,8799.579
2017_1,11429.0,12482.274
2017_2,10400.0,15853.831
2017_3,8894.999,9220.863
2017_4,7935.9995,10211.009
2017_5,8710.001,9744.9
2017_6,8611.0,11810.343
2017_7,10076.0,11474.305
2017_8,22324.0,14269.829
2017_9,38555.0,28824.883
2017_10,21219.0,30210.143
2017_11,11050.0,7692.545
2017_12,10336.001,7998.0815
2018_1,10368.0,11502.455
2018_2,11227.0,9692.306
2018_3,14900.0,12852.833
2018_4,10352.0,19263.184
2018_5,12575.999,10733.866
2018_6,10429.999,16821.172
2018_7,10524.0,12155.125
2018_8,22727.0,13052.674
2018_9,61809.0,29211.166
2018_10,43812.0,46612.22
2018_11,13781.0,11390.199
2018_12,10472.999,11977.851
2019_1,8683.999,9241.866
2019_2,8945.001,23805.816
2019_3,8706.0,12883.2705
2019_4,7849.9995,10836.421
2019_5,9026.999,10530.166
2019_6,9326.001,13139.088
2019_7,11211.001,12748.822
2019_8,17548.0,15583.455
2019_9,38648.0,22598.873
2019_10,32453.0,34635.844
2019_11,18362.002,12662.944
2019_12,10019.0,7759.0703
2020_1,9899.999,6004.42
2020_2,9345.0,8714.533
2020_3,9080.0,8827.368
2020_4,10188.0,10596.92
2020_5,10350.001,13908.059
2020_6,10284.0,13585.612
2020_7,14386.0,13683.399
2020_8,20711.0,19283.814
2020_9,39156.0,24488.164
2020_10,43377.0,30428.172
2020_11,12105.999,15523.82
2020_12,9849.001,7540.4067
