연월,애호박_true,애호박_pred
2001_7,9318.0,10138.562
2001_8,10899.0,11486.237
2001_9,8566.0,9709.961
2001_10,8365.0,10143.738
2001_11,11480.0,11207.023
2001_12,18480.0,18169.252
2002_1,20563.0,18525.902
2002_2,25954.0,21525.97
2002_3,24770.998,23802.607
2002_4,22136.0,23316.955
2002_5,16128.0,12851.4795
2002_6,14408.0,15138.0625
2002_7,7326.0,11096.452
2002_8,7620.0005,11682.786
2002_9,16258.0,15007.513
2002_10,25078.002,25000.338
2002_11,11531.0,11621.515
2002_12,18192.0,18393.54
2003_1,22950.0,22900.273
2003_2,27920.0,27854.787
2003_3,27122.0,27134.867
2003_4,28352.0,27650.422
2003_5,17040.0,17602.967
2003_6,10954.0,11538.052
2003_7,9263.0,10210.411
2003_8,10158.0,10045.072
2003_9,12346.0,15623.155
2003_10,30400.0,29839.08
2003_11,12707.999,14338.526
2003_12,16392.0,16650.77
2004_1,20438.0,20520.264
2004_2,24261.0,24258.475
2004_3,22350.0,22385.32
2004_4,21592.0,21695.275
2004_5,14208.0,13358.037
2004_6,13292.0,13863.298
2004_7,11985.0,10096.135
2004_8,14355.0,15907.986
2004_9,12451.999,13784.585
2004_10,16695.0,16587.63
2004_11,10937.999,10418.856
2004_12,15773.0,16178.418
2005_1,16910.0,16729.162
2005_2,22619.0,22838.605
2005_3,25247.0,25229.033
2005_4,21755.0,21732.809
2005_5,13781.0,13822.635
2005_6,8518.0,9213.5625
2005_7,8471.0,7472.727
2005_8,12114.0,10850.966
2005_9,17825.0,16249.657
2005_10,19773.002,19492.748
2005_11,17410.0,20847.24
2005_12,15938.999,17260.455
2006_1,17009.0,16984.775
2006_2,24018.0,24770.791
2006_3,20070.0,20787.02
2006_4,20136.002,20076.496
2006_5,14105.0,14090.628
2006_6,11304.999,11203.961
2006_7,9352.0,10007.56
2006_8,18685.0,16555.355
2006_9,12955.0,14287.127
2006_10,15626.999,15042.026
2006_11,8553.0,9053.083
2006_12,12789.999,12556.297
2007_1,22760.0,22784.299
2007_2,21918.0,22235.6
2007_3,25442.0,25389.348
2007_4,18000.0,17905.457
2007_5,14343.0,14492.049
2007_6,10448.0,10811.164
2007_7,10590.0,10862.564
2007_8,11247.999,12232.208
2007_9,17591.0,17385.988
2007_10,30071.0,30377.04
2007_11,18382.0,19747.432
2007_12,17273.0,17444.06
2008_1,17884.0,17908.297
2008_2,23145.0,23477.041
2008_3,19344.0,20774.74
2008_4,19371.0,19549.71
2008_5,11819.0,12809.051
2008_6,8216.0,8553.265
2008_7,10240.0,9225.13
2008_8,9174.0,9345.181
2008_9,14419.999,14089.161
2008_10,13067.0,12376.195
2008_11,15073.0,15905.264
2008_12,18210.0,15363.042
2009_1,20057.0,20371.85
2009_2,27189.0,27557.914
2009_3,24260.0,24468.145
2009_4,25382.0,25566.102
2009_5,13836.0,15575.017
2009_6,10547.0,10482.425
2009_7,10691.0,8987.445
2009_8,14878.0,15397.607
2009_9,11324.0,13104.74
2009_10,13091.0,14132.397
2009_11,11448.0,11979.518
2009_12,19038.0,18757.445
2010_1,18467.0,18977.215
2010_2,22730.0,19993.32
2010_3,29368.0,29411.154
2010_4,32545.0,32041.33
2010_5,19773.002,20290.295
2010_6,11758.0,12306.4795
2010_7,11161.999,10110.261
2010_8,12844.999,11938.053
2010_9,21164.0,21222.645
2010_10,42568.0,39423.812
2010_11,21200.0,20879.52
2010_12,19209.002,19311.594
2011_1,18757.0,18805.451
2011_2,27419.0,27345.89
2011_3,24506.0,24446.7
2011_4,23136.0,23030.77
2011_5,15590.0,15871.157
2011_6,15849.999,15083.007
2011_7,14642.999,12625.085
2011_8,25332.998,21196.174
2011_9,27827.0,27754.822
2011_10,17300.0,17175.89
2011_11,16820.0,17055.602
2011_12,26145.0,26254.436
2012_1,21819.0,21824.176
2012_2,29740.002,29581.03
2012_3,30657.0,29885.938
2012_4,28790.0,28364.938
2012_5,17700.0,17935.598
2012_6,12571.0,13495.428
2012_7,9589.999,12328.738
2012_8,12082.0,12300.482
2012_9,22736.0,19666.152
2012_10,36660.0,37202.92
2012_11,16971.0,16880.713
2012_12,25209.0,24991.986
2013_1,26874.0,26758.443
2013_2,29773.0,29803.988
2013_3,31684.0,31700.062
2013_4,22900.0,22960.371
2013_5,15973.0,15395.801
2013_6,12405.0,11103.403
2013_7,17400.0,13047.273
2013_8,17930.0,16949.436
2013_9,19257.0,19988.236
2013_10,20433.0,20514.348
2013_11,17571.0,17317.732
2013_12,14648.0,14433.463
2014_1,20000.0,19199.504
2014_2,29270.0,29063.936
2014_3,28810.0,28027.715
2014_4,27580.998,27396.83
2014_5,18682.0,18908.12
2014_6,12620.999,12581.482
2014_7,12800.0,12420.504
2014_8,9287.0,12868.952
2014_9,18568.0,17433.973
2014_10,15167.0,15229.036
2014_11,13343.0,13876.848
2014_12,21800.0,21669.031
2015_1,25467.0,25731.855
2015_2,28305.0,28463.234
2015_3,34388.0,34421.3
2015_4,22518.0,23043.564
2015_5,19200.0,18494.303
2015_6,10933.0,11694.846
2015_7,10755.0,11720.372
2015_8,13339.0,12569.171
2015_9,16680.0,16929.32
2015_10,15780.0,17644.172
2015_11,13371.0,15414.392
2015_12,21162.0,20009.174
2016_1,28181.0,28180.373
2016_2,31070.0,31049.68
2016_3,32878.0,32781.242
2016_4,25755.0,25065.672
2016_5,14400.0,14212.453
2016_6,11180.0,11837.443
2016_7,12847.999,12522.763
2016_8,14389.999,15374.701
2016_9,17882.0,15513.324
2016_10,30442.0,29608.844
2016_11,23780.0,24632.828
2016_12,20482.0,20519.451
2017_1,21390.0,21261.031
2017_2,29720.0,27173.717
2017_3,21879.998,22754.88
2017_4,17818.0,18812.402
2017_5,13020.0,20216.219
2017_6,10895.0,15625.008
2017_7,12086.0,12446.855
2017_8,21076.0,13826.331
2017_9,31827.0,30116.266
2017_10,27743.0,14623.282
2017_11,14112.999,23119.953
2017_12,13493.999,9896.12
2018_1,19053.0,22979.506
2018_2,30582.0,19434.994
2018_3,32389.0,37336.184
2018_4,30010.0,41737.406
2018_5,19362.0,29162.92
2018_6,19150.0,19014.582
2018_7,13216.0,15169.362
2018_8,12236.0,15973.575
2018_9,22227.0,10656.317
2018_10,33212.0,25625.76
2018_11,17990.0,43625.766
2018_12,24882.0,43027.477
2019_1,23358.0,23841.693
2019_2,25082.0,22912.025
2019_3,20929.0,22405.531
2019_4,17510.0,16143.375
2019_5,12773.0,11569.871
2019_6,12890.0,10191.52
2019_7,14695.0,13945.444
2019_8,13770.0,14523.4795
2019_9,23543.0,17426.518
2019_10,24295.0,14232.725
2019_11,19029.0,21450.162
2019_12,14733.0,28591.572
2020_1,20305.0,19224.766
2020_2,32240.0,17344.926
2020_3,31198.0,35266.273
2020_4,27132.0,33805.15
2020_5,15140.0,20684.191
2020_6,14136.999,14890.418
2020_7,14625.0,14144.619
2020_8,18268.0,16634.568
2020_9,42685.0,19376.047
2020_10,33678.0,42878.58
2020_11,14328.0,19281.59
2020_12,15743.0,25218.031
